Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.234,1.06,0.9385,16.4150943396%,31.4864144912%
Core_0_L1D_demand_MPKI,2.79029,7.74887,15.5076,-63.9910077211%,-82.0069514303%
Core_0_L2C_demand_MPKI,0.98028,4.37101,9.29529,-77.5731467098%,-89.454013807%
Core_0_LLC_demand_MPKI,0.77374,4.06198,8.72006,-80.9516541194%,-91.1268959159%
Core_0_L1D_prefetch_requested,52046472,20694354,0,151.500829647%,
Core_0_L1D_prefetch_issued,10996504,10528043,0,4.44964937928%,
Core_0_L1D_prefetch_useful,1088110,633901,0,71.6529868229%,
Core_0_L1D_prefetch_useless,223108,163877,0,36.143571093%,
Core_0_L1D_prefetch_late,13826,1557,0,787.989723828%,
Core_0_L1D_prefetch_accuracy,0.0989505,0.0602107,0,64.3403913258%,
Core_0_L1D_prefetch_coverage,0.795903,0.449962,0,76.8822700584%,
Core_0_vBerti_Requested,52046472,20694354,0,151.500829647%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,29351218,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,22695254,20694354,0,9.66882078078%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.563943,0,0,,
Core_0_vBerti_Issued,10996504,10528043,0,4.44964937928%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.432568,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.788718,0.49126,0,60.5500142491%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.837937,0,0,,
Core_0_DTLB_demand_mpki,1.56826,3.78898,3.85262,-58.6099689098%,-59.2936754728%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.05603,0.03424,0,63.6390186916%,
Core_0_DTLB_vberti_cross_page_prefetch,4647720,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,4141088,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,506632,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,120017,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.109007,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,5.06632,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,4647720,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,4647720,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,278188,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,108427,0,0,,
Core_0_DTLB_cross_page_prefetch_late,865,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0598547,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.639492,0,0,,
Core_0_STLB_demand_access,131543,324119,329037,-59.4152147822%,-60.0218212541%
Core_0_STLB_demand_hit,127935,97875,102805,30.7126436782%,24.444336365%
Core_0_STLB_demand_miss,3608,226244,226232,-98.405261576%,-98.4051769865%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0274283,0.698028,0.687558,-96.0706017524%,-96.0107656372%
Core_0_STLB_demand_mpki,0.03608,2.26244,2.26232,-98.405261576%,-98.4051769865%
Core_0_STLB_vberti_prefetch_access,390957,2856,0,13588.9705882%,
Core_0_STLB_vberti_prefetch_hit,165827,2856,0,5706.267507%,
Core_0_STLB_vberti_prefetch_miss,225130,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.575843,0,0,,
Core_0_STLB_vberti_prefetch_mpki,2.2513,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,1e-05,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,386615,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,161486,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,225129,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.582308,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,2.25129,0,0,,
Core_0_STLB_cross_page_prefetch_issued,386615,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,386615,0,0,,
Core_0_STLB_cross_page_prefetch_useful,25128,0,0,,
Core_0_STLB_cross_page_prefetch_useless,200001,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,4,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,1.99999e-05,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,205,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.000910573,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0649949,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.874443,0,0,,
DRAM_read_traffic_MPKI,14.0798,15.048,13.1272,-6.43407761829%,7.25668840271%
cache_demand.count,77334,406197,872006,-80.9614546636%,-91.1314830403%
cache_prefetch.count,1300804,1068885,411079,21.6972826824%,216.43650004%
stlb_demand.count,1326,29714,29639,-95.5374570909%,-95.5261648504%
stlb_prefetch.count,28516,0,0,,
stlb_miss_touch_dram.count,30439,29500,29482,3.18305084746%,3.24604843633%
stlb_miss_touch_dram.share,13.31,13.04,13.03,2.07055214724%,2.14888718342%
