Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.194,0.194,0.1941,0%,-0.0515198351365%
Core_0_L1D_demand_MPKI,45.319,45.5844,48.0878,-0.582216723265%,-5.75780135502%
Core_0_L2C_demand_MPKI,36.3881,36.4012,36.5665,-0.0359878245772%,-0.487878249217%
Core_0_LLC_demand_MPKI,32.6706,32.7103,32.7228,-0.121368498607%,-0.159521801313%
Core_0_L1D_prefetch_requested,121177713,74626035,0,62.3799428711%,
Core_0_L1D_prefetch_issued,9166431,8259117,0,10.9856053619%,
Core_0_L1D_prefetch_useful,157919,162506,0,-2.82266500929%,
Core_0_L1D_prefetch_useless,27982,27333,0,2.37441920023%,
Core_0_L1D_prefetch_late,8492,8131,0,4.43979830279%,
Core_0_L1D_prefetch_accuracy,0.017228,0.019676,0,-12.4415531612%,
Core_0_L1D_prefetch_coverage,0.0336727,0.0344224,0,-2.17794227015%,
Core_0_vBerti_Requested,121177713,74626035,0,62.3799428711%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,44610605,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,76567108,74626035,0,2.60106677247%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.368142,0,0,,
Core_0_vBerti_Issued,9166431,8259117,0,10.9856053619%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.134552,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.924355,0.889327,0,3.93870870895%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.972353,0,0,,
Core_0_DTLB_demand_mpki,47.088,47.4515,48.9251,-0.766045330495%,-3.75492334201%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.01024,0.01332,0,-23.1231231231%,
Core_0_DTLB_vberti_cross_page_prefetch,954032,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,908963,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,45069,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,14317,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0472406,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.45069,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,954032,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,954032,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,11862,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,18890,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1052,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0124335,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00251279,0,0,,
Core_0_STLB_demand_access,3348178,3358690,3358725,-0.312979167473%,-0.314017968128%
Core_0_STLB_demand_hit,1642800,1646636,1646700,-0.23295980411%,-0.236837310986%
Core_0_STLB_demand_miss,1705378,1712054,1712025,-0.389940971488%,-0.388253676202%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.509345,0.509739,0.509725,-0.0772944585366%,-0.0745500024523%
Core_0_STLB_demand_mpki,17.0538,17.1205,17.1202,-0.389591425484%,-0.387845936379%
Core_0_STLB_vberti_prefetch_access,31530,1002,0,3046.70658683%,
Core_0_STLB_vberti_prefetch_hit,13967,1002,0,1293.91217565%,
Core_0_STLB_vberti_prefetch_miss,17563,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.557025,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.17563,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,30752,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,13189,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,17563,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.571117,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.17563,0,0,,
Core_0_STLB_cross_page_prefetch_issued,30752,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,30752,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2598,0,0,,
Core_0_STLB_cross_page_prefetch_useless,14965,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,8149,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.544537,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,16942,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.964642,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0844823,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0015211,0,0,,
DRAM_read_traffic_MPKI,36.2265,35.9182,35.777,0.858339226353%,1.25639377254%
cache_demand.count,3263014,3267666,3268452,-0.142364611316%,-0.166378456835%
cache_prefetch.count,234541,201291,186597,16.5183738965%,25.6938750355%
stlb_demand.count,123688,122862,122649,0.672299002132%,0.847132875115%
stlb_prefetch.count,1411,0,0,,
stlb_miss_touch_dram.count,151497,149246,149842,1.50824812725%,1.10449673656%
stlb_miss_touch_dram.share,8.79,8.72,8.75,0.802752293578%,0.457142857143%
