Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.739,0.4783,0.1849,54.5055404558%,299.67550027%
Core_0_L1D_demand_MPKI,26.9666,38.1076,162.684,-29.2356380355%,-83.4239384328%
Core_0_L2C_demand_MPKI,1.4463,6.22037,37.4795,-76.7489715242%,-96.1410904628%
Core_0_LLC_demand_MPKI,0.89942,3.6669,12.8319,-75.4719245139%,-92.9907496162%
Core_0_L1D_prefetch_requested,73395875,55923723,0,31.2428269484%,
Core_0_L1D_prefetch_issued,45478630,44994316,0,1.07638929326%,
Core_0_L1D_prefetch_useful,6515196,5771299,0,12.8895938332%,
Core_0_L1D_prefetch_useless,289410,257829,0,12.2488160758%,
Core_0_L1D_prefetch_late,851162,568117,0,49.8216036485%,
Core_0_L1D_prefetch_accuracy,0.143258,0.128267,0,11.6873396899%,
Core_0_L1D_prefetch_coverage,0.707262,0.602303,0,17.4262787999%,
Core_0_vBerti_Requested,73395875,55923723,0,31.2428269484%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,15493652,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,57902223,55923723,0,3.53785458811%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.211097,0,0,,
Core_0_vBerti_Issued,45478630,44994316,0,1.07638929326%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.200386,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.380365,0.195434,0,94.6258071779%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.411805,0,0,,
Core_0_DTLB_demand_mpki,0.43389,2.97873,2.97175,-85.433725111%,-85.399512072%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,6050224,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,5605345,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,444879,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,322842,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.073531,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,4.44879,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,6050224,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,6050224,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,110316,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,11721,0,0,,
Core_0_DTLB_cross_page_prefetch_late,642,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0182334,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.717713,0,0,,
Core_0_STLB_demand_access,28429,135948,135923,-79.0883278901%,-79.0844816551%
Core_0_STLB_demand_hit,7424,4571,4546,62.4152264275%,63.3084029916%
Core_0_STLB_demand_miss,21005,131377,131377,-84.0116610975%,-84.0116610975%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.738858,0.966377,0.966555,-23.5435032084%,-23.557583376%
Core_0_STLB_demand_mpki,0.21005,1.31377,1.31377,-84.0116610975%,-84.0116610975%
Core_0_STLB_vberti_prefetch_access,122037,0,0,,
Core_0_STLB_vberti_prefetch_hit,2404,0,0,,
Core_0_STLB_vberti_prefetch_miss,119633,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.980301,0,0,,
Core_0_STLB_vberti_prefetch_mpki,1.19633,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,122037,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2404,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,119633,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.980301,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.19633,0,0,,
Core_0_STLB_cross_page_prefetch_issued,122037,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,122037,0,0,,
Core_0_STLB_cross_page_prefetch_useful,536,0,0,,
Core_0_STLB_cross_page_prefetch_useless,119097,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,8,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,6.71721e-05,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,136,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.00113681,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00439211,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0248828,0,0,,
DRAM_read_traffic_MPKI,75.4419,73.0271,70.5938,3.30671764318%,6.86760027085%
cache_demand.count,89696,366677,1283190,-75.538143925%,-93.0099205885%
cache_prefetch.count,7424274,6907118,5747277,7.48729064713%,29.178983369%
stlb_demand.count,15086,28915,28912,-47.8263876881%,-47.82097399%
stlb_prefetch.count,15133,0,0,,
stlb_miss_touch_dram.count,29242,27995,27997,4.45436685122%,4.44690502554%
stlb_miss_touch_dram.share,20.79,21.31,21.31,-2.44016893477%,-2.44016893477%
