Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2024,0.1997,0.1936,1.35202804206%,4.54545454545%
Core_0_L1D_demand_MPKI,21.9025,25.5163,62.8764,-14.1627116784%,-65.165785573%
Core_0_L2C_demand_MPKI,59.5312,61.0957,71.4883,-2.56073668032%,-16.7259537575%
Core_0_LLC_demand_MPKI,49.9631,51.3788,55.4551,-2.75541663098%,-9.9035075223%
Core_0_L1D_prefetch_requested,29407474,27783362,0,5.8456280417%,
Core_0_L1D_prefetch_issued,11773362,11177305,0,5.33274344755%,
Core_0_L1D_prefetch_useful,2446696,2281929,0,7.22051387225%,
Core_0_L1D_prefetch_useless,1246,1031,0,20.8535402522%,
Core_0_L1D_prefetch_late,4489,19921,0,-77.4659906631%,
Core_0_L1D_prefetch_accuracy,0.207816,0.204157,0,1.79224812277%,
Core_0_L1D_prefetch_coverage,0.527653,0.472101,0,11.7669735925%,
Core_0_vBerti_Requested,29407474,27783362,0,5.8456280417%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,4060611,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,25346863,27783362,0,-8.76963342305%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.138081,0,0,,
Core_0_vBerti_Issued,11773362,11177305,0,5.33274344755%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.112964,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.599647,0.597698,0,0.326084410522%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.672472,0,0,,
Core_0_DTLB_demand_mpki,179.611,181.411,183.141,-0.992222081351%,-1.92747664368%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00022,0.00014,0,57.1428571429%,
Core_0_DTLB_vberti_cross_page_prefetch,1083871,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,970154,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,113717,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,60836,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.104917,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.13717,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1083871,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1083871,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,48375,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,4506,0,0,,
Core_0_DTLB_cross_page_prefetch_late,137,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0446317,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00268609,0,0,,
Core_0_STLB_demand_access,2912062,2959308,2960019,-1.59652188958%,-1.62015851925%
Core_0_STLB_demand_hit,533639,537734,538468,-0.76152893438%,-0.896803524072%
Core_0_STLB_demand_miss,2378423,2421574,2421551,-1.7819401761%,-1.78100729656%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.816749,0.818291,0.818086,-0.188441520193%,-0.163430250609%
Core_0_STLB_demand_mpki,23.7842,24.2157,24.2155,-1.78190182402%,-1.78109062377%
Core_0_STLB_vberti_prefetch_access,52884,3,0,1762700%,
Core_0_STLB_vberti_prefetch_hit,9286,3,0,309433.333333%,
Core_0_STLB_vberti_prefetch_miss,43598,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.824408,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.43598,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,52881,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,9283,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,43598,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.824455,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.43598,0,0,,
Core_0_STLB_cross_page_prefetch_issued,52881,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,52881,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2970,0,0,,
Core_0_STLB_cross_page_prefetch_useless,40628,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1885,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0463966,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,18804,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.431304,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0561638,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00124717,0,0,,
DRAM_read_traffic_MPKI,91.4302,91.2809,90.9198,0.163561051655%,0.561373870158%
cache_demand.count,4996274,5136119,5543557,-2.72277569893%,-9.87241585141%
cache_prefetch.count,2538143,2383613,1943079,6.48301548951%,30.624797036%
stlb_demand.count,1603602,1608363,1605346,-0.296015265211%,-0.108637016568%
stlb_prefetch.count,5006,0,0,,
stlb_miss_touch_dram.count,1606959,1606768,1603735,0.0118872170718%,0.201030718916%
stlb_miss_touch_dram.share,66.35,66.35,66.23,0%,0.181186773366%
