Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5138,0.5145,0.5141,-0.136054421769%,-0.0583544057576%
Core_0_L1D_demand_MPKI,21.0163,21.0325,21.0468,-0.077023653869%,-0.144915141494%
Core_0_L2C_demand_MPKI,12.51,12.5818,12.6106,-0.570665564546%,-0.797741582478%
Core_0_LLC_demand_MPKI,9.2059,9.25589,9.28251,-0.540088527413%,-0.825315566587%
Core_0_L1D_prefetch_requested,97380,21330,0,356.540084388%,
Core_0_L1D_prefetch_issued,97358,21330,0,356.436943272%,
Core_0_L1D_prefetch_useful,3195,1470,0,117.346938776%,
Core_0_L1D_prefetch_useless,3519,1085,0,224.331797235%,
Core_0_L1D_prefetch_late,22,23,0,-4.34782608696%,
Core_0_L1D_prefetch_accuracy,0.032817,0.068917,0,-52.3818506319%,
Core_0_L1D_prefetch_coverage,0.00151794,0.00069843,0,117.336025085%,
Core_0_vBerti_Requested,97380,21330,0,356.540084388%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,76891,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,20489,21330,0,-3.94280356306%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.789597,0,0,,
Core_0_vBerti_Issued,97358,21330,0,356.436943272%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.78955,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.000225919,0,0,,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.000286119,0,0,,
Core_0_DTLB_demand_mpki,23.1784,23.0947,23.098,0.362420815165%,0.348082085029%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,73823,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,41014,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,32809,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,1651,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.444428,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.32809,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,73823,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,73823,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,8814,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,22344,0,0,,
Core_0_DTLB_cross_page_prefetch_late,10,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.119394,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00378827,0,0,,
Core_0_STLB_demand_access,2068285,2058853,2058923,0.458119156637%,0.454703745599%
Core_0_STLB_demand_hit,1650083,1631342,1631414,1.14880877216%,1.14434472182%
Core_0_STLB_demand_miss,418202,427511,427509,-2.17748783072%,-2.17703019118%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.202197,0.207645,0.207637,-2.62370873366%,-2.61995694409%
Core_0_STLB_demand_mpki,4.18202,4.27511,4.27509,-2.17748783072%,-2.17703019118%
Core_0_STLB_vberti_prefetch_access,31158,0,0,,
Core_0_STLB_vberti_prefetch_hit,9344,0,0,,
Core_0_STLB_vberti_prefetch_miss,21814,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.700109,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.21814,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,31158,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,9344,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,21814,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.700109,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.21814,0,0,,
Core_0_STLB_cross_page_prefetch_issued,31158,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,31158,0,0,,
Core_0_STLB_cross_page_prefetch_useful,8073,0,0,,
Core_0_STLB_cross_page_prefetch_useless,13741,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,5611,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.40834,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,13567,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.62194,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.259099,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0189385,0,0,,
DRAM_read_traffic_MPKI,10.4132,10.0092,9.92139,4.03628661631%,4.95706750768%
cache_demand.count,920590,925589,928251,-0.540088527413%,-0.825315566587%
cache_prefetch.count,72281,26700,15194,170.715355805%,375.720679215%
stlb_demand.count,47660,48632,48694,-1.99868399408%,-2.12346490327%
stlb_prefetch.count,790,0,0,,
stlb_miss_touch_dram.count,48498,48660,48715,-0.332922318126%,-0.445448013959%
stlb_miss_touch_dram.share,11.02,11.38,11.4,-3.16344463972%,-3.33333333333%
