Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.036,1.039,1.035,-0.288739172281%,0.0966183574879%
Core_0_L1D_demand_MPKI,56.8491,57.3965,64.198,-0.953716690042%,-11.4472413471%
Core_0_L2C_demand_MPKI,2.80332,2.62764,3.13496,6.68584737635%,-10.5787633654%
Core_0_LLC_demand_MPKI,0.64768,0.67597,0.86081,-4.18509697176%,-24.7592383917%
Core_0_L1D_prefetch_requested,34252003,23323699,0,46.8549349741%,
Core_0_L1D_prefetch_issued,8261528,7907782,0,4.4733908952%,
Core_0_L1D_prefetch_useful,173026,155678,0,11.1435141767%,
Core_0_L1D_prefetch_useless,24554,20232,0,21.3621984974%,
Core_0_L1D_prefetch_late,3761,4021,0,-6.46605322059%,
Core_0_L1D_prefetch_accuracy,0.0209436,0.0196867,0,6.38451340245%,
Core_0_L1D_prefetch_coverage,0.029537,0.026407,0,11.852917787%,
Core_0_vBerti_Requested,34252003,23323699,0,46.8549349741%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,5396096,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,28855907,23323699,0,23.7192565382%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.157541,0,0,,
Core_0_vBerti_Issued,8261528,7907782,0,4.4733908952%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.102161,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.758802,0.660955,0,14.8038822613%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.843589,0,0,,
Core_0_DTLB_demand_mpki,45.244,45.6147,45.6383,-0.812676615214%,-0.863967325689%
Core_0_DTLB_vberti_same_page_prefetch_mpki,1e-05,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,663733,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,578409,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,85324,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,14133,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.128552,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.85324,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,663733,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,663733,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,23642,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,47549,0,0,,
Core_0_DTLB_cross_page_prefetch_late,779,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0356197,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00519828,0,0,,
Core_0_STLB_demand_access,3049044,3055032,3055195,-0.19600449357%,-0.201329211392%
Core_0_STLB_demand_hit,2872571,2879314,2879476,-0.23418772666%,-0.239800574827%
Core_0_STLB_demand_miss,176473,175718,175719,0.429665714383%,0.429094178774%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0578781,0.0575176,0.0575148,0.626764677247%,0.631663502264%
Core_0_STLB_demand_mpki,1.76473,1.75718,1.75719,0.429665714383%,0.429094178774%
Core_0_STLB_vberti_prefetch_access,71192,0,0,,
Core_0_STLB_vberti_prefetch_hit,66359,0,0,,
Core_0_STLB_vberti_prefetch_miss,4833,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.0678868,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.04833,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,71191,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,66358,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,4833,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.0678878,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.04833,0,0,,
Core_0_STLB_cross_page_prefetch_issued,71191,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,71191,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1900,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2933,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,229,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0780771,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,3630,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.751086,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0266888,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0106518,0,0,,
DRAM_read_traffic_MPKI,1.03516,0.98386,0.91324,5.21415648568%,13.3502693706%
cache_demand.count,64707,67545,86081,-4.20164334888%,-24.8301018808%
cache_prefetch.count,36837,29047,3867,26.8186043309%,852.598913887%
stlb_demand.count,1857,1794,1376,3.51170568562%,34.9563953488%
stlb_prefetch.count,115,0,0,,
stlb_miss_touch_dram.count,1967,1790,1373,9.88826815642%,43.2629278951%
stlb_miss_touch_dram.share,1.08,1.02,0.78,5.88235294118%,38.4615384615%
