Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.48,0.4802,0.4515,-0.0416493127863%,6.3122923588%
Core_0_L1D_demand_MPKI,22.2676,22.451,26.6449,-0.816890116253%,-16.4282845873%
Core_0_L2C_demand_MPKI,19.1148,19.214,20.425,-0.516290205059%,-6.4146878825%
Core_0_LLC_demand_MPKI,19.0634,19.1642,20.2636,-0.525980734912%,-5.92293570738%
Core_0_L1D_prefetch_requested,5694844,5408894,0,5.28666304054%,
Core_0_L1D_prefetch_issued,5671616,5382400,0,5.37336504162%,
Core_0_L1D_prefetch_useful,343957,335377,0,2.55831497091%,
Core_0_L1D_prefetch_useless,137619,133315,0,3.22844391104%,
Core_0_L1D_prefetch_late,816,1062,0,-23.1638418079%,
Core_0_L1D_prefetch_accuracy,0.0606453,0.0623099,0,-2.67148559057%,
Core_0_L1D_prefetch_coverage,0.133798,0.129967,0,2.94767133195%,
Core_0_vBerti_Requested,5694844,5408894,0,5.28666304054%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,245527,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,5449317,5408894,0,0.74734317219%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0431139,0,0,,
Core_0_vBerti_Issued,5671616,5382400,0,5.37336504162%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0430436,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.00407878,0.00489823,0,-16.7295124974%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.00570202,0,0,,
Core_0_DTLB_demand_mpki,19.289,19.4657,19.4621,-0.907750556106%,-0.889420977181%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,186639,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,157883,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,28756,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,18222,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.154073,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.28756,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,186639,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,186639,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,7829,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2705,0,0,,
Core_0_DTLB_cross_page_prefetch_late,36,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0419473,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00404238,0,0,,
Core_0_STLB_demand_access,1840395,1848180,1848388,-0.421225205337%,-0.432430853262%
Core_0_STLB_demand_hit,33810,33778,33994,0.0947362188407%,-0.541271989175%
Core_0_STLB_demand_miss,1806585,1814402,1814394,-0.430830653846%,-0.430391634893%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.981629,0.981724,0.981609,-0.00967685418713%,0.00203747113158%
Core_0_STLB_demand_mpki,18.0658,18.144,18.1439,-0.430996472663%,-0.430447698676%
Core_0_STLB_vberti_prefetch_access,10534,0,0,,
Core_0_STLB_vberti_prefetch_hit,1166,0,0,,
Core_0_STLB_vberti_prefetch_miss,9368,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.889311,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.09368,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,10534,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1166,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,9368,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.889311,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.09368,0,0,,
Core_0_STLB_cross_page_prefetch_issued,10534,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,10534,0,0,,
Core_0_STLB_cross_page_prefetch_useful,34,0,0,,
Core_0_STLB_cross_page_prefetch_useless,9334,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,17,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0018213,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,5665,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.604718,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00322764,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,1.88197e-05,0,0,,
DRAM_read_traffic_MPKI,30.9613,30.4898,29.1814,1.54641880235%,6.0994332006%
cache_demand.count,1906338,1916420,2026361,-0.526085096169%,-5.92308083308%
cache_prefetch.count,653183,633607,390369,3.08961233067%,67.3245057881%
stlb_demand.count,535377,498955,501414,7.29965628163%,6.77344469839%
stlb_prefetch.count,1236,0,0,,
stlb_miss_touch_dram.count,536393,498781,501437,7.54078443245%,6.97116487216%
stlb_miss_touch_dram.share,29.54,27.49,27.64,7.45725718443%,6.87409551375%
