Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2319,0.2324,0.2328,-0.215146299484%,-0.386597938144%
Core_0_L1D_demand_MPKI,60.9007,60.9232,62.2848,-0.0369317435722%,-2.2222115187%
Core_0_L2C_demand_MPKI,47.1597,47.19,48.3426,-0.064208518754%,-2.4469101786%
Core_0_LLC_demand_MPKI,15.6892,15.6423,16.3645,0.299828030405%,-4.12661553974%
Core_0_L1D_prefetch_requested,86543714,79550616,0,8.79075279568%,
Core_0_L1D_prefetch_issued,37294693,37292868,0,0.00489369710048%,
Core_0_L1D_prefetch_useful,287497,283091,0,1.55638999474%,
Core_0_L1D_prefetch_useless,15524,11634,0,33.4364792849%,
Core_0_L1D_prefetch_late,1,38,0,-97.3684210526%,
Core_0_L1D_prefetch_accuracy,0.00770879,0.00759102,0,1.55143841012%,
Core_0_L1D_prefetch_coverage,0.0450794,0.0444035,0,1.52217730584%,
Core_0_vBerti_Requested,86543714,79550616,0,8.79075279568%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,6498369,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,80045345,79550616,0,0.621904675132%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0750877,0,0,,
Core_0_vBerti_Issued,37294693,37292868,0,0.00489369710048%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0514058,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.569065,0.531206,0,7.12699028249%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.704978,0,0,,
Core_0_DTLB_demand_mpki,22.2743,22.3881,22.4013,-0.508305751716%,-0.566931383446%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.0007,0.00059,0,18.6440677966%,
Core_0_DTLB_vberti_cross_page_prefetch,1412512,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1398777,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,13735,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,6888,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00972381,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.13735,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1412512,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1412512,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,4801,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2046,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00339891,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00215076,0,0,,
Core_0_STLB_demand_access,1738712,1734392,1735984,0.249078639662%,0.157144305477%
Core_0_STLB_demand_hit,863897,856736,858408,0.83584674859%,0.639439520601%
Core_0_STLB_demand_miss,874815,877656,877576,-0.323703136536%,-0.314616625797%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.50314,0.506031,0.505521,-0.571308872381%,-0.470999226541%
Core_0_STLB_demand_mpki,8.74815,8.77656,8.77576,-0.323703136536%,-0.314616625797%
Core_0_STLB_vberti_prefetch_access,6893,37,0,18529.7297297%,
Core_0_STLB_vberti_prefetch_hit,3740,37,0,10008.1081081%,
Core_0_STLB_vberti_prefetch_miss,3153,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.457421,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.03153,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,6847,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3694,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,3153,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.460494,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.03153,0,0,,
Core_0_STLB_cross_page_prefetch_issued,6847,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,6847,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1286,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1867,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,190,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.101768,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,3104,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.984459,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.187819,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00146787,0,0,,
DRAM_read_traffic_MPKI,16.9827,16.9096,16.6286,0.432298812509%,2.12946369508%
cache_demand.count,1568920,1564231,1636448,0.29976390955%,-4.1264983672%
cache_prefetch.count,121714,119271,18432,2.04827661376%,560.340711806%
stlb_demand.count,7408,7454,7977,-0.617118325731%,-7.13300739626%
stlb_prefetch.count,232,0,0,,
stlb_miss_touch_dram.count,7636,7450,7973,2.4966442953%,-4.226765333%
stlb_miss_touch_dram.share,0.87,0.85,0.91,2.35294117647%,-4.3956043956%
