Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1787,0.1789,0.1777,-0.111794298491%,0.562746201463%
Core_0_L1D_demand_MPKI,72.7972,73.0212,79.9229,-0.306760228536%,-8.91571752276%
Core_0_L2C_demand_MPKI,67.4482,67.4803,67.953,-0.0475694387844%,-0.742866392948%
Core_0_LLC_demand_MPKI,60.5073,60.4738,60.9373,0.0553958904517%,-0.705643341599%
Core_0_L1D_prefetch_requested,21177866,19333769,0,9.53821781982%,
Core_0_L1D_prefetch_issued,11001952,10621284,0,3.58401112333%,
Core_0_L1D_prefetch_useful,334443,329202,0,1.59203164015%,
Core_0_L1D_prefetch_useless,74003,71191,0,3.9499374921%,
Core_0_L1D_prefetch_late,650,800,0,-18.75%,
Core_0_L1D_prefetch_accuracy,0.0303985,0.0309946,0,-1.9232382415%,
Core_0_L1D_prefetch_coverage,0.0439238,0.0431383,0,1.82088770304%,
Core_0_vBerti_Requested,21177866,19333769,0,9.53821781982%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,1773908,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,19403958,19333769,0,0.363038370842%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0837624,0,0,,
Core_0_vBerti_Issued,11001952,10621284,0,3.58401112333%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0480088,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.480498,0.450636,0,6.62663435678%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.702244,0,0,,
Core_0_DTLB_demand_mpki,72.6094,72.8033,72.8678,-0.26633408101%,-0.354614795561%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00097,0.00131,0,-25.9541984733%,
Core_0_DTLB_vberti_cross_page_prefetch,445496,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,306987,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,138509,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,25295,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.31091,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.38509,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,445496,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,445496,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,7533,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,105681,0,0,,
Core_0_DTLB_cross_page_prefetch_late,104,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0169092,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00103639,0,0,,
Core_0_STLB_demand_access,7003226,7008574,7010809,-0.0763065353951%,-0.108161554537%
Core_0_STLB_demand_hit,365956,366525,368802,-0.155241797967%,-0.771687789112%
Core_0_STLB_demand_miss,6637270,6642049,6642007,-0.0719506887107%,-0.0713188046926%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.947745,0.947703,0.947395,0.00443176818054%,0.0369434079766%
Core_0_STLB_demand_mpki,66.3727,66.4205,66.4201,-0.0719657334709%,-0.0713639395304%
Core_0_STLB_vberti_prefetch_access,113283,91,0,124386.813187%,
Core_0_STLB_vberti_prefetch_hit,4549,91,0,4898.9010989%,
Core_0_STLB_vberti_prefetch_miss,108734,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.959844,0,0,,
Core_0_STLB_vberti_prefetch_mpki,1.08734,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,113214,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,4480,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,108734,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.960429,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.08734,0,0,,
Core_0_STLB_cross_page_prefetch_issued,113214,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,113214,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2435,0,0,,
Core_0_STLB_cross_page_prefetch_useless,106299,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,70908,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.667062,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,74431,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.684524,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0215079,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000366733,0,0,,
DRAM_read_traffic_MPKI,72.9418,71.5325,70.6349,1.97015342676%,3.2659492687%
cache_demand.count,6050711,6047360,6093723,0.0554126098%,-0.705841076137%
cache_prefetch.count,605666,482994,363027,25.3982451128%,66.8377283232%
stlb_demand.count,636015,622893,606742,2.10662184356%,4.82462067897%
stlb_prefetch.count,1789,0,0,,
stlb_miss_touch_dram.count,629965,614699,598952,2.48349192044%,5.17787735912%
stlb_miss_touch_dram.share,9.34,9.25,9.02,0.972972972973%,3.54767184035%
