Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5314,0.5006,0.4578,6.15261685977%,16.0768894714%
Core_0_L1D_demand_MPKI,1.05788,1.58348,29.2153,-33.1927147801%,-96.3790205817%
Core_0_L2C_demand_MPKI,1.01591,1.33521,1.93987,-23.9138412684%,-47.6299958245%
Core_0_LLC_demand_MPKI,1.01461,1.33335,1.79841,-23.905201185%,-43.5829427105%
Core_0_L1D_prefetch_requested,178550144,156853825,0,13.8321899386%,
Core_0_L1D_prefetch_issued,50947591,48852969,0,4.28760430098%,
Core_0_L1D_prefetch_useful,1603198,1571077,0,2.04452105148%,
Core_0_L1D_prefetch_useless,1977,1950,0,1.38461538462%,
Core_0_L1D_prefetch_late,2482,1120,0,121.607142857%,
Core_0_L1D_prefetch_accuracy,0.0314676,0.0321593,0,-2.15085527359%,
Core_0_L1D_prefetch_coverage,0.938099,0.908439,0,3.2649412894%,
Core_0_vBerti_Requested,178550144,156853825,0,13.8321899386%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,22283445,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,156266699,156853825,0,-0.374314110606%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.124802,0,0,,
Core_0_vBerti_Issued,50947591,48852969,0,4.28760430098%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0578846,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.714659,0.688545,0,3.7926351945%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.867656,0,0,,
Core_0_DTLB_demand_mpki,0.9315,1.36278,1.38632,-31.6470743627%,-32.8077211611%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1950614,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1849275,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,101339,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,76248,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0519524,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.01339,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1950614,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1950614,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,25083,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,8,0,0,,
Core_0_DTLB_cross_page_prefetch_late,158,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.012859,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.212149,0,0,,
Core_0_STLB_demand_access,92700,117741,117741,-21.2678676077%,-21.2678676077%
Core_0_STLB_demand_hit,8187,8144,8144,0.527996070727%,0.527996070727%
Core_0_STLB_demand_miss,84513,109597,109597,-22.8874877962%,-22.8874877962%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.911683,0.930831,0.930831,-2.05708662475%,-2.05708662475%
Core_0_STLB_demand_mpki,0.84513,1.09597,1.09597,-22.8874877962%,-22.8874877962%
Core_0_STLB_vberti_prefetch_access,25091,0,0,,
Core_0_STLB_vberti_prefetch_hit,7,0,0,,
Core_0_STLB_vberti_prefetch_miss,25084,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.999721,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.25084,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,25091,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,7,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,25084,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.999721,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.25084,0,0,,
Core_0_STLB_cross_page_prefetch_issued,25091,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,25091,0,0,,
Core_0_STLB_cross_page_prefetch_useful,24,0,0,,
Core_0_STLB_cross_page_prefetch_useless,25060,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,5261,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.209735,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.000956518,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000283899,0,0,,
DRAM_read_traffic_MPKI,17.3233,17.3215,17.3205,0.0103917097249%,0.0161658150746%
cache_demand.count,101461,133335,179841,-23.905201185%,-43.5829427105%
cache_prefetch.count,1605496,1573598,1526971,2.02707425912%,5.14253381367%
stlb_demand.count,22180,25219,25239,-12.0504381617%,-12.1201315425%
stlb_prefetch.count,3196,0,0,,
stlb_miss_touch_dram.count,25227,25104,25121,0.489961759082%,0.421957724613%
stlb_miss_touch_dram.share,23.02,22.91,22.92,0.480139676997%,0.43630017452%
