Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2356,0.2357,0.2354,-0.0424268137463%,0.0849617672048%
Core_0_L1D_demand_MPKI,58.1448,58.2078,60.6369,-0.108232917238%,-4.10987369077%
Core_0_L2C_demand_MPKI,32.5772,32.5883,33.4442,-0.0340613042104%,-2.5923777516%
Core_0_LLC_demand_MPKI,10.4698,10.4766,11.5931,-0.0649065536529%,-9.68938420267%
Core_0_L1D_prefetch_requested,125852770,116518403,0,8.01106671536%,
Core_0_L1D_prefetch_issued,53158773,53779627,0,-1.15444088149%,
Core_0_L1D_prefetch_useful,400928,395214,0,1.44579898485%,
Core_0_L1D_prefetch_useless,17721,12457,0,42.2573653368%,
Core_0_L1D_prefetch_late,84,252,0,-66.6666666667%,
Core_0_L1D_prefetch_accuracy,0.00754209,0.00734877,0,2.63064431191%,
Core_0_L1D_prefetch_coverage,0.0645055,0.0635802,0,1.45532728743%,
Core_0_vBerti_Requested,125852770,116518403,0,8.01106671536%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,8588079,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,117264691,116518403,0,0.640489382609%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0682391,0,0,,
Core_0_vBerti_Issued,53158773,53779627,0,-1.15444088149%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0393013,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.577611,0.538445,0,7.27390912721%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.756731,0,0,,
Core_0_DTLB_demand_mpki,16.223,16.5307,16.6748,-1.8613851803%,-2.70947777485%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1516913,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1500931,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,15982,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,7826,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0105359,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.15982,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1516913,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1516913,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,6708,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1448,0,0,,
Core_0_DTLB_cross_page_prefetch_late,4,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00442214,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00411783,0,0,,
Core_0_STLB_demand_access,1278715,1283639,1283654,-0.38359694587%,-0.384761002575%
Core_0_STLB_demand_hit,1052312,1055663,1055714,-0.317430846776%,-0.322246365967%
Core_0_STLB_demand_miss,226403,227976,227940,-0.689984910692%,-0.674300254453%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.177055,0.177601,0.177571,-0.307430701404%,-0.290587990156%
Core_0_STLB_demand_mpki,2.26403,2.27976,2.2794,-0.689984910692%,-0.674300254453%
Core_0_STLB_vberti_prefetch_access,8156,0,0,,
Core_0_STLB_vberti_prefetch_hit,5563,0,0,,
Core_0_STLB_vberti_prefetch_miss,2593,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.317925,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.02593,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,8156,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,5563,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,2593,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.317925,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.02593,0,0,,
Core_0_STLB_cross_page_prefetch_issued,8156,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,8156,0,0,,
Core_0_STLB_cross_page_prefetch_useful,317,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2276,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,113,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0496485,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1892,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.729657,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0388671,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0013982,0,0,,
DRAM_read_traffic_MPKI,12.0984,12.077,11.8623,0.17719632359%,1.99033914165%
cache_demand.count,1046985,1047662,1159308,-0.0646200778495%,-9.68879711%
cache_prefetch.count,153310,150245,17165,2.04000133116%,793.154675211%
stlb_demand.count,9266,9791,9755,-5.36206720458%,-5.01281394157%
stlb_prefetch.count,276,0,0,,
stlb_miss_touch_dram.count,9479,9722,9697,-2.49948570253%,-2.24811797463%
stlb_miss_touch_dram.share,4.14,4.26,4.25,-2.81690140845%,-2.58823529412%
