Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3417,0.3309,0.2681,3.26382592928%,27.4524431182%
Core_0_L1D_demand_MPKI,72.2428,73.3102,96.9705,-1.45600475786%,-25.5002294512%
Core_0_L2C_demand_MPKI,41.5574,41.8431,46.33,-0.682788799109%,-10.3013166415%
Core_0_LLC_demand_MPKI,21.3789,21.7022,26.2442,-1.48971072057%,-18.5385723322%
Core_0_L1D_prefetch_requested,59431188,52045921,0,14.1899054875%,
Core_0_L1D_prefetch_issued,25181585,24033339,0,4.77772148098%,
Core_0_L1D_prefetch_useful,730692,709249,0,3.02333877101%,
Core_0_L1D_prefetch_useless,243497,224358,0,8.5305627613%,
Core_0_L1D_prefetch_late,7792,8334,0,-6.50347972162%,
Core_0_L1D_prefetch_accuracy,0.0290169,0.029511,0,-1.67429094236%,
Core_0_L1D_prefetch_coverage,0.0918535,0.0882121,0,4.12800511494%,
Core_0_vBerti_Requested,59431188,52045921,0,14.1899054875%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,7680284,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,51750904,52045921,0,-0.566839810559%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.12923,0,0,,
Core_0_vBerti_Issued,25181585,24033339,0,4.77772148098%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0888797,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.57629,0.538228,0,7.07172425069%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.708587,0,0,,
Core_0_DTLB_demand_mpki,70.7393,71.8446,72.3664,-1.53845939709%,-2.24841915585%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00305,0.00272,0,12.1323529412%,
Core_0_DTLB_vberti_cross_page_prefetch,1750027,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1586911,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,163116,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,72446,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0932077,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.63116,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1750027,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1750027,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,31773,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,58897,0,0,,
Core_0_DTLB_cross_page_prefetch_late,589,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0181557,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00447148,0,0,,
Core_0_STLB_demand_access,6781639,6797930,6802518,-0.23964648062%,-0.306930463102%
Core_0_STLB_demand_hit,6520570,6510645,6515166,0.152442653531%,0.0829449318713%
Core_0_STLB_demand_miss,261069,287285,287352,-9.12543293245%,-9.14662156519%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0384964,0.0422607,0.042242,-8.90732997797%,-8.8670044032%
Core_0_STLB_demand_mpki,2.61069,2.87285,2.87352,-9.12543293245%,-9.14662156519%
Core_0_STLB_vberti_prefetch_access,90793,102,0,88912.745098%,
Core_0_STLB_vberti_prefetch_hit,57541,102,0,56312.745098%,
Core_0_STLB_vberti_prefetch_miss,33252,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.36624,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.33252,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,90670,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,57418,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,33252,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.366737,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.33252,0,0,,
Core_0_STLB_cross_page_prefetch_issued,90670,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,90670,0,0,,
Core_0_STLB_cross_page_prefetch_useful,8073,0,0,,
Core_0_STLB_cross_page_prefetch_useless,25179,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1214,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0482148,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,30586,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.919852,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0890372,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0299953,0,0,,
DRAM_read_traffic_MPKI,39.2282,38.1729,33.3138,2.76452666682%,17.7536036117%
cache_demand.count,2137798,2170140,2624320,-1.49031859696%,-18.5389739056%
cache_prefetch.count,1778286,1640391,700523,8.40622753965%,153.851194036%
stlb_demand.count,2666,6756,6538,-60.5387803434%,-59.2230039768%
stlb_prefetch.count,4071,0,0,,
stlb_miss_touch_dram.count,6657,6675,6458,-0.269662921348%,3.08144936513%
stlb_miss_touch_dram.share,2.26,2.32,2.25,-2.58620689655%,0.444444444444%
