Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1876,0.1767,0.137,6.16864742501%,36.9343065693%
Core_0_L1D_demand_MPKI,117.413,118.567,132.729,-0.97328936382%,-11.5393018858%
Core_0_L2C_demand_MPKI,63.3947,64.7979,75.0538,-2.16550227708%,-15.5343233787%
Core_0_LLC_demand_MPKI,35.1028,36.3164,46.7663,-3.34174092146%,-24.9399674552%
Core_0_L1D_prefetch_requested,67035228,57488343,0,16.6066449332%,
Core_0_L1D_prefetch_issued,36147449,33426266,0,8.14085246614%,
Core_0_L1D_prefetch_useful,749398,709316,0,5.6507959781%,
Core_0_L1D_prefetch_useless,355756,297366,0,19.6357350874%,
Core_0_L1D_prefetch_late,9342,8952,0,4.35656836461%,
Core_0_L1D_prefetch_accuracy,0.0207317,0.0212203,0,-2.30251221708%,
Core_0_L1D_prefetch_coverage,0.0599965,0.056447,0,6.28819955002%,
Core_0_vBerti_Requested,67035228,57488343,0,16.6066449332%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,11546145,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,55489083,57488343,0,-3.47767894441%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.17224,0,0,,
Core_0_vBerti_Issued,36147449,33426266,0,8.14085246614%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.122739,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.460769,0.418556,0,10.085388813%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.615741,0,0,,
Core_0_DTLB_demand_mpki,61.0987,63.6871,63.926,-4.06424534953%,-4.4227700779%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00119,0.00077,0,54.5454545455%,
Core_0_DTLB_vberti_cross_page_prefetch,3345914,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,3166838,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,179076,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,92358,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0535208,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.79076,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,3345914,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,3345914,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,82645,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,4073,0,0,,
Core_0_DTLB_cross_page_prefetch_late,134,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0247003,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0133459,0,0,,
Core_0_STLB_demand_access,6077603,6154839,6156480,-1.25488254039%,-1.28120289516%
Core_0_STLB_demand_hit,5518069,5513021,5514565,0.0915650421067%,0.0635408232562%
Core_0_STLB_demand_miss,559534,641818,641915,-12.8204568896%,-12.8336306209%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0920649,0.104279,0.104267,-11.7129048035%,-11.7027439171%
Core_0_STLB_demand_mpki,5.59534,6.41818,6.41915,-12.8204568896%,-12.8336306209%
Core_0_STLB_vberti_prefetch_access,86772,29,0,299113.793103%,
Core_0_STLB_vberti_prefetch_hit,3797,27,0,13962.962963%,
Core_0_STLB_vberti_prefetch_miss,82975,2,0,4148650%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.956242,0.0689655,0,1286.55124664%,
Core_0_STLB_vberti_prefetch_mpki,0.82975,2e-05,0,4148650%,
Core_0_STLB_vberti_same_page_prefetch_mpki,5e-05,2e-05,0,150%,
Core_0_STLB_vberti_cross_page_prefetch,86718,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3748,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,82970,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.956779,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.8297,0,0,,
Core_0_STLB_cross_page_prefetch_issued,86718,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,86718,0,0,,
Core_0_STLB_cross_page_prefetch_useful,4819,0,0,,
Core_0_STLB_cross_page_prefetch_useless,78151,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,141,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0018042,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,73997,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.891852,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0555709,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00853898,0,0,,
DRAM_read_traffic_MPKI,80.1051,77.3357,60.8011,3.58101109837%,31.7494255861%
cache_demand.count,3510276,3631643,4676634,-3.34193091116%,-24.9401171868%
cache_prefetch.count,4482586,4085597,1385761,9.71679291913%,223.474682864%
stlb_demand.count,6934,16332,17718,-57.5434729366%,-60.8646574105%
stlb_prefetch.count,10718,0,0,,
stlb_miss_touch_dram.count,17509,16187,17571,8.16704763081%,-0.352854134654%
stlb_miss_touch_dram.share,2.73,2.52,2.74,8.33333333333%,-0.36496350365%
