Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1939,0.1912,0.1785,1.41213389121%,8.62745098039%
Core_0_L1D_demand_MPKI,26.853,27.0673,37.3838,-0.791730242765%,-28.1694209791%
Core_0_L2C_demand_MPKI,16.9935,17.2046,19.5869,-1.22699743092%,-13.240482159%
Core_0_LLC_demand_MPKI,13.0347,13.2894,15.8335,-1.91656508195%,-17.6764455111%
Core_0_L1D_prefetch_requested,58065236,51132366,0,13.5586724072%,
Core_0_L1D_prefetch_issued,26115356,24454898,0,6.78987906635%,
Core_0_L1D_prefetch_useful,637419,626327,0,1.77095989794%,
Core_0_L1D_prefetch_useless,69086,63993,0,7.95868298095%,
Core_0_L1D_prefetch_late,236,255,0,-7.45098039216%,
Core_0_L1D_prefetch_accuracy,0.0244078,0.0256115,0,-4.69984186791%,
Core_0_L1D_prefetch_coverage,0.191836,0.187914,0,2.08712496142%,
Core_0_vBerti_Requested,58065236,51132366,0,13.5586724072%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,6749263,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,51315973,51132366,0,0.359081760465%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.116236,0,0,,
Core_0_vBerti_Issued,26115356,24454898,0,6.78987906635%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0693435,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.550241,0.521733,0,5.46409753648%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.731685,0,0,,
Core_0_DTLB_demand_mpki,16.8593,17.2501,17.2487,-2.26549411308%,-2.25756143941%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1238490,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1190173,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,48317,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,13400,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0390128,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.48317,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1238490,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1238490,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,31825,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,3092,0,0,,
Core_0_DTLB_cross_page_prefetch_late,267,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0256966,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0185271,0,0,,
Core_0_STLB_demand_access,1680456,1708507,1708425,-1.64184284876%,-1.63712191053%
Core_0_STLB_demand_hit,530850,526853,526807,0.758655640188%,0.767453735429%
Core_0_STLB_demand_miss,1149606,1181654,1181618,-2.71213062369%,-2.70916658345%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.684104,0.69163,0.691642,-1.08815407082%,-1.08987019296%
Core_0_STLB_demand_mpki,11.4961,11.8165,11.8162,-2.71146278509%,-2.70899273878%
Core_0_STLB_vberti_prefetch_access,34917,0,0,,
Core_0_STLB_vberti_prefetch_hit,662,0,0,,
Core_0_STLB_vberti_prefetch_miss,34255,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.981041,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.34255,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,34917,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,662,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,34255,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.981041,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.34255,0,0,,
Core_0_STLB_cross_page_prefetch_issued,34917,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,34917,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1277,0,0,,
Core_0_STLB_cross_page_prefetch_useless,32978,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,685,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0207714,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,16561,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.483462,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0365724,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00110958,0,0,,
DRAM_read_traffic_MPKI,32.8181,31.8297,26.7349,3.10527589013%,22.7537787686%
cache_demand.count,1303476,1328941,1583351,-1.91618740034%,-17.6761185612%
cache_prefetch.count,1796517,1669924,916782,7.58076415454%,95.95901752%
stlb_demand.count,177759,184106,173356,-3.44747047896%,2.53986017213%
stlb_prefetch.count,4063,0,0,,
stlb_miss_touch_dram.count,181664,183992,173274,-1.26527240315%,4.84204208364%
stlb_miss_touch_dram.share,15.35,15.57,14.66,-1.41297366731%,4.70668485675%
