Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2311,0.2243,0.1894,3.03165403477%,22.0168954593%
Core_0_L1D_demand_MPKI,24.1076,25.1806,49.3337,-4.26121696862%,-51.1336064394%
Core_0_L2C_demand_MPKI,16.3377,17.1369,24.5532,-4.66362060816%,-33.4599970676%
Core_0_LLC_demand_MPKI,14.5016,15.3003,21.6823,-5.22015908185%,-33.1177965437%
Core_0_L1D_prefetch_requested,124446082,108605750,0,14.5851688331%,
Core_0_L1D_prefetch_issued,34781188,33621313,0,3.44982065394%,
Core_0_L1D_prefetch_useful,1931608,1854774,0,4.1424993018%,
Core_0_L1D_prefetch_useless,740662,681684,0,8.65180934275%,
Core_0_L1D_prefetch_late,10414,9456,0,10.1311336717%,
Core_0_L1D_prefetch_accuracy,0.055536,0.0551666,0,0.669608059949%,
Core_0_L1D_prefetch_coverage,0.444828,0.424159,0,4.87293679964%,
Core_0_vBerti_Requested,124446082,108605750,0,14.5851688331%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,15855736,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,108590346,108605750,0,-0.0141834110993%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.12741,0,0,,
Core_0_vBerti_Issued,34781188,33621313,0,3.44982065394%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0724975,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.720512,0.690428,0,4.35729721274%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.840969,0,0,,
Core_0_DTLB_demand_mpki,18.5587,19.5383,19.5127,-5.0137422396%,-4.88912349393%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,2e-05,0,-100%,
Core_0_DTLB_vberti_cross_page_prefetch,1777370,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1640660,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,136710,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,82443,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.076917,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.3671,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1777370,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1777370,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,52087,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2180,0,0,,
Core_0_DTLB_cross_page_prefetch_late,771,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0293057,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0272999,0,0,,
Core_0_STLB_demand_access,1838518,1888409,1888682,-2.6419594484%,-2.6560320901%
Core_0_STLB_demand_hit,449238,448893,449174,0.0768557317668%,0.0142483759078%
Core_0_STLB_demand_miss,1389280,1439516,1439508,-3.48978406631%,-3.48924771519%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.755652,0.76229,0.762176,-0.870797203164%,-0.855970274582%
Core_0_STLB_demand_mpki,13.8928,14.3952,14.3951,-3.49005223964%,-3.48938180353%
Core_0_STLB_vberti_prefetch_access,54267,1,0,5426600%,
Core_0_STLB_vberti_prefetch_hit,2642,1,0,264100%,
Core_0_STLB_vberti_prefetch_miss,51625,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.951315,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.51625,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,54267,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2642,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,51625,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.951315,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.51625,0,0,,
Core_0_STLB_cross_page_prefetch_issued,54267,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,54267,0,0,,
Core_0_STLB_cross_page_prefetch_useful,708,0,0,,
Core_0_STLB_cross_page_prefetch_useless,50917,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,223,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00437968,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,33841,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.655516,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0130466,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000509357,0,0,,
DRAM_read_traffic_MPKI,49.0215,48.1677,42.2244,1.77255712853%,16.0975644414%
cache_demand.count,1450149,1530022,2168232,-5.22038245202%,-33.1183655624%
cache_prefetch.count,3394447,3234177,2003044,4.95551109293%,69.4644251449%
stlb_demand.count,51092,52570,51163,-2.81148944265%,-0.138772159568%
stlb_prefetch.count,6459,0,0,,
stlb_miss_touch_dram.count,57526,52545,51102,9.47949376725%,12.5709365583%
stlb_miss_touch_dram.share,3.99,3.65,3.55,9.31506849315%,12.3943661972%
