Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.9396,0.8043,0.6948,16.8220813129%,35.2331606218%
Core_0_L1D_demand_MPKI,17.27,18.3084,31.7969,-5.6717135304%,-45.68652919%
Core_0_L2C_demand_MPKI,10.1333,12.6425,19.6749,-19.8473403203%,-48.4963074781%
Core_0_LLC_demand_MPKI,6.77852,9.87324,14.0883,-31.3445231758%,-51.8854652442%
Core_0_L1D_prefetch_requested,83405391,71433517,0,16.7594632083%,
Core_0_L1D_prefetch_issued,19167103,18981491,0,0.977857851103%,
Core_0_L1D_prefetch_useful,1238110,1094686,0,13.1018392489%,
Core_0_L1D_prefetch_useless,367793,261196,0,40.8111150247%,
Core_0_L1D_prefetch_late,193816,105742,0,83.2914073878%,
Core_0_L1D_prefetch_accuracy,0.0645956,0.0576712,0,12.0066861796%,
Core_0_L1D_prefetch_coverage,0.417559,0.374184,0,11.5918906207%,
Core_0_vBerti_Requested,83405391,71433517,0,16.7594632083%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,13197085,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,70208306,71433517,0,-1.7151766446%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.158228,0,0,,
Core_0_vBerti_Issued,19167103,18981491,0,0.977857851103%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.127033,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.770193,0.734278,0,4.89119924606%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.8155,0,0,,
Core_0_DTLB_demand_mpki,1.62957,5.87379,5.61694,-72.2569244049%,-70.9882961185%
Core_0_DTLB_vberti_same_page_prefetch_mpki,1e-05,4e-05,0,-75%,
Core_0_DTLB_vberti_cross_page_prefetch,1884548,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1239515,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,645033,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,544238,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.342275,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,6.45033,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1884548,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1884548,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,100665,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,130,0,0,,
Core_0_DTLB_cross_page_prefetch_late,18973,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.053416,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.381854,0,0,,
Core_0_STLB_demand_access,48564,149033,149038,-67.4139284588%,-67.4150216723%
Core_0_STLB_demand_hit,19918,20039,20042,-0.603822546035%,-0.61870072847%
Core_0_STLB_demand_miss,28646,128994,128996,-77.792765555%,-77.7931098639%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.589861,0.86554,0.865524,-31.850521062%,-31.8492612568%
Core_0_STLB_demand_mpki,0.28646,1.28994,1.28996,-77.792765555%,-77.7931098639%
Core_0_STLB_vberti_prefetch_access,100796,2,0,5039700%,
Core_0_STLB_vberti_prefetch_hit,402,2,0,20000%,
Core_0_STLB_vberti_prefetch_miss,100394,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.996012,0,0,,
Core_0_STLB_vberti_prefetch_mpki,1.00394,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,100795,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,401,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,100394,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.996022,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.00394,0,0,,
Core_0_STLB_cross_page_prefetch_issued,100795,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,100795,0,0,,
Core_0_STLB_cross_page_prefetch_useful,662,0,0,,
Core_0_STLB_cross_page_prefetch_useless,99732,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,107,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00107288,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,2009,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.0200112,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00656779,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0225877,0,0,,
DRAM_read_traffic_MPKI,42.0425,37.3552,31.5756,12.5479183621%,33.1486970952%
cache_demand.count,659059,979818,1408821,-32.7365898565%,-53.2191101637%
cache_prefetch.count,3521193,2731611,1725134,28.9053602435%,104.111274834%
stlb_demand.count,11320,24096,23609,-53.02124834%,-52.0521834893%
stlb_prefetch.count,12680,0,0,,
stlb_miss_touch_dram.count,23777,23904,23431,-0.531291834003%,1.4766761982%
stlb_miss_touch_dram.share,18.43,18.53,18.16,-0.539665407447%,1.48678414097%
