Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.6253,0.6077,0.4956,2.89616587132%,26.1702986279%
Core_0_L1D_demand_MPKI,56.0891,62.0591,131.24,-9.61986235701%,-57.2621914051%
Core_0_L2C_demand_MPKI,20.438,22.6877,40.207,-9.91594564456%,-49.1680553138%
Core_0_LLC_demand_MPKI,13.3312,15.1806,19.3561,-12.182654177%,-31.1266215818%
Core_0_L1D_prefetch_requested,92842721,83623934,0,11.0241010666%,
Core_0_L1D_prefetch_issued,15551393,15005754,0,3.63619848759%,
Core_0_L1D_prefetch_useful,2460438,2261251,0,8.80870810007%,
Core_0_L1D_prefetch_useless,238294,223549,0,6.59586936197%,
Core_0_L1D_prefetch_late,356874,305394,0,16.8569127095%,
Core_0_L1D_prefetch_accuracy,0.158213,0.150692,0,4.99097496881%,
Core_0_L1D_prefetch_coverage,0.304912,0.267061,0,14.1731664301%,
Core_0_vBerti_Requested,92842721,83623934,0,11.0241010666%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,13613039,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,79229682,83623934,0,-5.25477789648%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.146625,0,0,,
Core_0_vBerti_Issued,15551393,15005754,0,3.63619848759%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.113539,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.832497,0.820557,0,1.45510915147%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.870294,0,0,,
Core_0_DTLB_demand_mpki,7.49365,10.1363,9.97844,-26.0711502225%,-24.9015878233%
Core_0_DTLB_vberti_same_page_prefetch_mpki,5e-05,5e-05,0,0%,
Core_0_DTLB_vberti_cross_page_prefetch,1366578,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1147102,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,219476,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,123987,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.160603,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,2.19476,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1366578,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1366578,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,69155,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,26334,0,0,,
Core_0_DTLB_cross_page_prefetch_late,2390,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0506045,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0844879,0,0,,
Core_0_STLB_demand_access,369623,437166,436848,-15.4501951204%,-15.3886477676%
Core_0_STLB_demand_hit,301671,317287,316961,-4.92172701686%,-4.82393732983%
Core_0_STLB_demand_miss,67952,119879,119887,-43.3161771453%,-43.3199596287%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.183841,0.274218,0.274436,-32.9580844438%,-33.0113396202%
Core_0_STLB_demand_mpki,0.67952,1.19879,1.19887,-43.3161771453%,-43.3199596287%
Core_0_STLB_vberti_prefetch_access,95493,4,0,2387225%,
Core_0_STLB_vberti_prefetch_hit,36871,4,0,921675%,
Core_0_STLB_vberti_prefetch_miss,58622,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.613888,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.58622,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,95489,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,36867,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,58622,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.613914,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.58622,0,0,,
Core_0_STLB_cross_page_prefetch_issued,95489,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,95489,0,0,,
Core_0_STLB_cross_page_prefetch_useful,6532,0,0,,
Core_0_STLB_cross_page_prefetch_useless,52090,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,3350,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0643118,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,19777,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.337365,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0684058,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0876967,0,0,,
DRAM_read_traffic_MPKI,50.373,49.1007,44.3594,2.5912054207%,13.5565404401%
cache_demand.count,1314523,1489349,1930451,-11.7384172548%,-31.9059121418%
cache_prefetch.count,3695638,3397576,2481187,8.77278389063%,48.9463712328%
stlb_demand.count,19027,23143,24298,-17.7850754008%,-21.6931434686%
stlb_prefetch.count,8117,0,0,,
stlb_miss_touch_dram.count,26684,22918,23684,16.4324984728%,12.6667792603%
stlb_miss_touch_dram.share,21.08,19.12,19.76,10.2510460251%,6.68016194332%
