Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3751,0.3749,0.3701,0.0533475593492%,1.35098621994%
Core_0_L1D_demand_MPKI,121.251,121.983,127.043,-0.600083618209%,-4.55908629362%
Core_0_L2C_demand_MPKI,100.746,101.167,103.776,-0.41614360414%,-2.91975023127%
Core_0_LLC_demand_MPKI,85.7803,86.1292,88.7329,-0.405089098703%,-3.32751437178%
Core_0_L1D_prefetch_requested,625931521,483401402,0,29.4848377374%,
Core_0_L1D_prefetch_issued,8270525,7375313,0,12.1379526537%,
Core_0_L1D_prefetch_useful,147382,126883,0,16.155828598%,
Core_0_L1D_prefetch_useless,33639,29914,0,12.4523634419%,
Core_0_L1D_prefetch_late,19005,18165,0,4.62427745665%,
Core_0_L1D_prefetch_accuracy,0.0178202,0.0172037,0,3.58353144963%,
Core_0_L1D_prefetch_coverage,0.0120091,0.0102946,0,16.6543624813%,
Core_0_vBerti_Requested,625931521,483401402,0,29.4848377374%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,144104110,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,481827411,483401402,0,-0.325607454486%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.230223,0,0,,
Core_0_vBerti_Issued,8270525,7375313,0,12.1379526537%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.16279,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.986787,0.984743,0,0.207566847391%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.990657,0,0,,
Core_0_DTLB_demand_mpki,63.2587,64.0884,65.29,-1.29461805881%,-3.11119620156%
Core_0_DTLB_vberti_same_page_prefetch_mpki,6e-05,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1025502,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,975571,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,49931,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,21638,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0486893,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.49931,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1025502,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1025502,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,25570,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2723,0,0,,
Core_0_DTLB_cross_page_prefetch_late,757,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0249341,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00402586,0,0,,
Core_0_STLB_demand_access,2991212,3016041,3015976,-0.823231514426%,-0.821094067062%
Core_0_STLB_demand_hit,625654,637143,637097,-1.80320587372%,-1.7961158191%
Core_0_STLB_demand_miss,2365558,2378898,2378879,-0.56076384948%,-0.559969632756%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.790836,0.788749,0.788759,0.264596215019%,0.263325046053%
Core_0_STLB_demand_mpki,23.6556,23.789,23.7888,-0.560763378032%,-0.559927360775%
Core_0_STLB_vberti_prefetch_access,28297,0,0,,
Core_0_STLB_vberti_prefetch_hit,14024,0,0,,
Core_0_STLB_vberti_prefetch_miss,14273,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.5044,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.14273,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,28293,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,14020,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,14273,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.504471,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.14273,0,0,,
Core_0_STLB_cross_page_prefetch_issued,28293,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,28293,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1913,0,0,,
Core_0_STLB_cross_page_prefetch_useless,12360,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,2533,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.204935,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,9803,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.686821,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0676139,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000808035,0,0,,
DRAM_read_traffic_MPKI,107.048,106.721,105.721,0.306406424228%,1.25519054871%
cache_demand.count,4873319,4911523,5275020,-0.777844265414%,-7.61515596149%
cache_prefetch.count,5632310,5563929,5101760,1.22900561815%,10.3993523804%
stlb_demand.count,197864,196651,195306,0.616828798226%,1.30973958813%
stlb_prefetch.count,1316,0,0,,
stlb_miss_touch_dram.count,198449,196001,194642,1.24897321952%,1.95589852139%
stlb_miss_touch_dram.share,8.34,8.24,8.18,1.21359223301%,1.95599022005%
