Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.073,1.052,1.037,1.99619771863%,3.47155255545%
Core_0_L1D_demand_MPKI,30.5097,30.8474,42.6818,-1.09474380337%,-28.5182443102%
Core_0_L2C_demand_MPKI,6.60663,6.72875,7.31319,-1.81489875534%,-9.6614473301%
Core_0_LLC_demand_MPKI,6.31015,6.45388,6.64924,-2.22703242081%,-5.099680565%
Core_0_L1D_prefetch_requested,61448994,52958661,0,16.0320008846%,
Core_0_L1D_prefetch_issued,7457152,7377963,0,1.07331793342%,
Core_0_L1D_prefetch_useful,371494,359670,0,3.28745794756%,
Core_0_L1D_prefetch_useless,40356,40675,0,-0.784265519361%,
Core_0_L1D_prefetch_late,5191,4245,0,22.285041225%,
Core_0_L1D_prefetch_accuracy,0.0498171,0.0487492,0,2.19060005087%,
Core_0_L1D_prefetch_coverage,0.108546,0.104421,0,3.95035481369%,
Core_0_vBerti_Requested,61448994,52958661,0,16.0320008846%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,7964401,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,53484593,52958661,0,0.993099126883%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.12961,0,0,,
Core_0_vBerti_Issued,7457152,7377963,0,1.07331793342%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0668845,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.878645,0.860684,0,2.08682861538%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.937375,0,0,,
Core_0_DTLB_demand_mpki,19.5447,19.7504,22.0036,-1.04149789371%,-11.1749895472%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,1e-05,0,-100%,
Core_0_DTLB_vberti_cross_page_prefetch,406537,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,365813,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,40724,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,29126,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.100173,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.40724,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,406537,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,406537,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,6341,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,5257,0,0,,
Core_0_DTLB_cross_page_prefetch_late,190,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0155976,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00323387,0,0,,
Core_0_STLB_demand_access,339173,343932,344026,-1.38370375539%,-1.41064919512%
Core_0_STLB_demand_hit,168981,168205,168296,0.461341815047%,0.407020963065%
Core_0_STLB_demand_miss,170192,175727,175730,-3.14977208966%,-3.15142548227%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.501785,0.510935,0.510804,-1.79083445057%,-1.7656478806%
Core_0_STLB_demand_mpki,1.70192,1.75727,1.7573,-3.14977208966%,-3.15142548227%
Core_0_STLB_vberti_prefetch_access,11598,1,0,1159700%,
Core_0_STLB_vberti_prefetch_hit,1248,1,0,124700%,
Core_0_STLB_vberti_prefetch_miss,10350,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.892395,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.1035,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,11598,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1248,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,10350,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.892395,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.1035,0,0,,
Core_0_STLB_cross_page_prefetch_issued,11598,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,11598,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1794,0,0,,
Core_0_STLB_cross_page_prefetch_useless,8556,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1304,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.152408,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,3721,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.359517,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.154682,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0104311,0,0,,
DRAM_read_traffic_MPKI,16.4533,16.3215,15.4616,0.807523818276%,6.41395457133%
cache_demand.count,630994,645372,664924,-2.22786238015%,-5.10283882068%
cache_prefetch.count,925328,899304,794853,2.89379342247%,16.4149849092%
stlb_demand.count,87383,87477,86382,-0.107456817221%,1.15880623278%
stlb_prefetch.count,1625,0,0,,
stlb_miss_touch_dram.count,89397,87869,86673,1.738952304%,3.14284725347%
stlb_miss_touch_dram.share,49.52,50,49.32,-0.96%,0.405515004055%
