Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5115,0.5079,0.5027,0.708800945068%,1.75054704595%
Core_0_L1D_demand_MPKI,60.7818,61.1662,71.444,-0.628451661212%,-14.923856447%
Core_0_L2C_demand_MPKI,53.9289,54.0622,54.4203,-0.246567842226%,-0.902971868953%
Core_0_LLC_demand_MPKI,45.7238,45.8308,45.724,-0.233467449837%,-0.000437407051001%
Core_0_L1D_prefetch_requested,56161593,49169713,0,14.2198918265%,
Core_0_L1D_prefetch_issued,14894118,14477503,0,2.87767165374%,
Core_0_L1D_prefetch_useful,726136,713397,0,1.78568174523%,
Core_0_L1D_prefetch_useless,5777,5681,0,1.68984333744%,
Core_0_L1D_prefetch_late,1634,1658,0,-1.44752714113%,
Core_0_L1D_prefetch_accuracy,0.0487532,0.0492762,0,-1.06136430975%,
Core_0_L1D_prefetch_coverage,0.106717,0.10445,0,2.17041646721%,
Core_0_vBerti_Requested,56161593,49169713,0,14.2198918265%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,7390321,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,48771272,49169713,0,-0.810338266567%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.13159,0,0,,
Core_0_vBerti_Issued,14894118,14477503,0,2.87767165374%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0615971,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.734799,0.705561,0,4.1439365271%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.87586,0,0,,
Core_0_DTLB_demand_mpki,60.8092,60.9887,61.6381,-0.294316816066%,-1.34478512478%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.03068,0.0291,0,5.4295532646%,
Core_0_DTLB_vberti_cross_page_prefetch,764156,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,671057,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,93099,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,30315,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.121832,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.93099,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,764156,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,764156,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,12595,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,50189,0,0,,
Core_0_DTLB_cross_page_prefetch_late,88,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0164822,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00206695,0,0,,
Core_0_STLB_demand_access,5751725,5750959,5762265,0.0133195176665%,-0.182914183919%
Core_0_STLB_demand_hit,2478923,2460417,2471723,0.752148924349%,0.291294776963%
Core_0_STLB_demand_miss,3272802,3290542,3290542,-0.53912091078%,-0.53912091078%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.569012,0.572173,0.57105,-0.552455288872%,-0.356886437265%
Core_0_STLB_demand_mpki,32.728,32.9054,32.9054,-0.539121238459%,-0.539121238459%
Core_0_STLB_vberti_prefetch_access,64428,1616,0,3886.88118812%,
Core_0_STLB_vberti_prefetch_hit,29963,1595,0,1778.55799373%,
Core_0_STLB_vberti_prefetch_miss,34465,21,0,164019.047619%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.534938,0.012995,0,4016.49095806%,
Core_0_STLB_vberti_prefetch_mpki,0.34465,0.00021,0,164019.047619%,
Core_0_STLB_vberti_same_page_prefetch_mpki,0.00035,0.00021,0,66.6666666667%,
Core_0_STLB_vberti_cross_page_prefetch,62784,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,28354,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,34430,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.548388,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.3443,0,0,,
Core_0_STLB_cross_page_prefetch_issued,62784,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,62784,0,0,,
Core_0_STLB_cross_page_prefetch_useful,13439,0,0,,
Core_0_STLB_cross_page_prefetch_useless,20991,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,13409,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.638798,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,33562,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.974789,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.214051,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00408947,0,0,,
DRAM_read_traffic_MPKI,54.3631,53.99,53.3189,0.69105389887%,1.95840499335%
cache_demand.count,4570979,4581788,4571148,-0.235912268311%,-0.00369710190963%
cache_prefetch.count,837538,789867,735066,6.03531987031%,13.940516906%
stlb_demand.count,25074,27343,25675,-8.29828475295%,-2.34079844206%
stlb_prefetch.count,2716,1,0,271500%,
stlb_miss_touch_dram.count,27845,27381,25713,1.69460574851%,8.2915256874%
stlb_miss_touch_dram.share,0.84,0.83,0.78,1.20481927711%,7.69230769231%
