Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.6426,0.6143,0.5528,4.60686960768%,16.2445730825%
Core_0_L1D_demand_MPKI,8.30776,9.12861,29.3598,-8.99205903199%,-71.7036219593%
Core_0_L2C_demand_MPKI,5.95772,6.36696,10.1021,-6.42755726438%,-41.0249354095%
Core_0_LLC_demand_MPKI,4.46424,4.91474,7.26462,-9.16630381261%,-38.5481966022%
Core_0_L1D_prefetch_requested,109323034,89400034,0,22.285226424%,
Core_0_L1D_prefetch_issued,16674217,16570380,0,0.626642237535%,
Core_0_L1D_prefetch_useful,1302523,1256067,0,3.69852882052%,
Core_0_L1D_prefetch_useless,54191,53462,0,1.36358535034%,
Core_0_L1D_prefetch_late,38783,30984,0,25.1710560289%,
Core_0_L1D_prefetch_accuracy,0.078116,0.0758019,0,3.05282585265%,
Core_0_L1D_prefetch_coverage,0.610567,0.579119,0,5.43031743044%,
Core_0_vBerti_Requested,109323034,89400034,0,22.285226424%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,15786601,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,93536433,89400034,0,4.62684275937%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.144403,0,0,,
Core_0_vBerti_Issued,16674217,16570380,0,0.626642237535%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.104196,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.847478,0.814649,0,4.02983370752%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.889945,0,0,,
Core_0_DTLB_demand_mpki,3.82633,4.86328,4.96305,-21.3220295767%,-22.9036580329%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00011,9e-05,0,22.2222222222%,
Core_0_DTLB_vberti_cross_page_prefetch,1505430,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1428701,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,76729,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,51903,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0509682,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.76729,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1505430,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1505430,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,23407,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1419,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1302,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0155484,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.057647,0,0,,
Core_0_STLB_demand_access,331330,353970,353951,-6.39602226177%,-6.39099762396%
Core_0_STLB_demand_hit,215146,215211,215192,-0.0302029171371%,-0.0213762593405%
Core_0_STLB_demand_miss,116184,138759,138759,-16.2692149698%,-16.2692149698%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.350659,0.392008,0.392029,-10.5479990204%,-10.5527907374%
Core_0_STLB_demand_mpki,1.16184,1.38759,1.38759,-16.2692149698%,-16.2692149698%
Core_0_STLB_vberti_prefetch_access,24835,7,0,354685.714286%,
Core_0_STLB_vberti_prefetch_hit,2127,7,0,30285.7142857%,
Core_0_STLB_vberti_prefetch_miss,22708,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.914355,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.22708,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,24826,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2118,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,22708,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.914686,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.22708,0,0,,
Core_0_STLB_cross_page_prefetch_issued,24826,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,24826,0,0,,
Core_0_STLB_cross_page_prefetch_useful,267,0,0,,
Core_0_STLB_cross_page_prefetch_useless,22441,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,82,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00365403,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,9317,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.410296,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0107549,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00229281,0,0,,
DRAM_read_traffic_MPKI,19.759,19.7949,19.0604,-0.181359845213%,3.66519065707%
cache_demand.count,442990,487342,726461,-9.10079574508%,-39.0208146067%
cache_prefetch.count,1526713,1485998,1173445,2.73990947498%,30.105203056%
stlb_demand.count,3336,6152,6136,-45.7737321196%,-45.6323337679%
stlb_prefetch.count,2864,0,0,,
stlb_miss_touch_dram.count,6149,6101,6091,0.786756269464%,0.952224593663%
stlb_miss_touch_dram.share,4.43,4.4,4.39,0.681818181818%,0.911161731207%
