Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2771,0.2729,0.2637,1.53902528399%,5.08153204399%
Core_0_L1D_demand_MPKI,27.2526,28.3773,54.4244,-3.96337917984%,-49.9257685891%
Core_0_L2C_demand_MPKI,23.3466,23.6422,25.747,-1.25030665505%,-9.32302792558%
Core_0_LLC_demand_MPKI,12.7071,13.0121,14.6244,-2.343972149%,-13.1102814474%
Core_0_L1D_prefetch_requested,125926162,104558753,0,20.4357917314%,
Core_0_L1D_prefetch_issued,37045221,36896720,0,0.402477510196%,
Core_0_L1D_prefetch_useful,1444897,1417024,0,1.96700973307%,
Core_0_L1D_prefetch_useless,89799,85757,0,4.71331786326%,
Core_0_L1D_prefetch_late,6480,5820,0,11.3402061856%,
Core_0_L1D_prefetch_accuracy,0.0390036,0.0384051,0,1.55838677676%,
Core_0_L1D_prefetch_coverage,0.346485,0.333045,0,4.03549069946%,
Core_0_vBerti_Requested,125926162,104558753,0,20.4357917314%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,13881384,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,112044778,104558753,0,7.15963492793%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.110234,0,0,,
Core_0_vBerti_Issued,37045221,36896720,0,0.402477510196%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0666667,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.705818,0.64712,0,9.07065150204%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.822087,0,0,,
Core_0_DTLB_demand_mpki,24.2281,24.8227,24.972,-2.39538809235%,-2.97893640878%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00546,0.00492,0,10.9756097561%,
Core_0_DTLB_vberti_cross_page_prefetch,1863895,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1796058,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,67837,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,37414,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0363953,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.67837,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1863895,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1863895,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,23941,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,6482,0,0,,
Core_0_DTLB_cross_page_prefetch_late,191,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0128446,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0097848,0,0,,
Core_0_STLB_demand_access,2334921,2350752,2352550,-0.673444072365%,-0.749357080615%
Core_0_STLB_demand_hit,2003710,1995242,1997022,0.424409670606%,0.334898664111%
Core_0_STLB_demand_miss,331211,355510,355528,-6.83496948046%,-6.83968632569%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.141851,0.151232,0.151125,-6.20305226407%,-6.13664185277%
Core_0_STLB_demand_mpki,3.31211,3.5551,3.55528,-6.83496948046%,-6.83968632569%
Core_0_STLB_vberti_prefetch_access,30669,209,0,14574.1626794%,
Core_0_STLB_vberti_prefetch_hit,6061,203,0,2885.71428571%,
Core_0_STLB_vberti_prefetch_miss,24608,6,0,410033.333333%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.802374,0.0287081,0,2694.93940734%,
Core_0_STLB_vberti_prefetch_mpki,0.24608,6e-05,0,410033.333333%,
Core_0_STLB_vberti_same_page_prefetch_mpki,6e-05,6e-05,0,0%,
Core_0_STLB_vberti_cross_page_prefetch,30423,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,5821,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,24602,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.808664,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.24602,0,0,,
Core_0_STLB_cross_page_prefetch_issued,30423,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,30423,0,0,,
Core_0_STLB_cross_page_prefetch_useful,7243,0,0,,
Core_0_STLB_cross_page_prefetch_useless,17359,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1184,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0682067,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,21475,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.872897,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.238076,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0214002,0,0,,
DRAM_read_traffic_MPKI,28.6314,28.6113,28.1404,0.0702519633851%,1.74482239058%
cache_demand.count,1270422,1300938,1462165,-2.34569210831%,-13.1136362859%
cache_prefetch.count,1575975,1544365,1336800,2.04679593231%,17.8916068223%
stlb_demand.count,13418,15827,15077,-15.2208251722%,-11.0035152882%
stlb_prefetch.count,3326,2,0,166200%,
stlb_miss_touch_dram.count,16694,15778,15026,5.80555203448%,11.1007586849%
stlb_miss_touch_dram.share,4.69,4.44,4.23,5.63063063063%,10.8747044917%
