Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.293,0.2929,0.293,0.034141345169%,0%
Core_0_L1D_demand_MPKI,33.2754,33.3434,34.2128,-0.2039384106%,-2.73991020904%
Core_0_L2C_demand_MPKI,21.353,21.3539,21.3982,-0.00421468677852%,-0.211232720509%
Core_0_LLC_demand_MPKI,19.5548,19.5677,19.5999,-0.0659249681874%,-0.230103214812%
Core_0_L1D_prefetch_requested,1909528,1717564,0,11.1765267553%,
Core_0_L1D_prefetch_issued,1506529,1384551,0,8.80993188405%,
Core_0_L1D_prefetch_useful,48302,45486,0,6.19091588621%,
Core_0_L1D_prefetch_useless,4781,4513,0,5.93840017727%,
Core_0_L1D_prefetch_late,282,331,0,-14.8036253776%,
Core_0_L1D_prefetch_accuracy,0.0320618,0.0328525,0,-2.40681835477%,
Core_0_L1D_prefetch_coverage,0.0143081,0.0134581,0,6.31589897534%,
Core_0_vBerti_Requested,1909528,1717564,0,11.1765267553%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,210731,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,1698797,1717564,0,-1.09265215154%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.110358,0,0,,
Core_0_vBerti_Issued,1506529,1384551,0,8.80993188405%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0983273,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.211046,0.193887,0,8.85000025788%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.297052,0,0,,
Core_0_DTLB_demand_mpki,37.7071,37.6974,37.6728,0.0257312175375%,0.0910471215306%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,107094,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,99186,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,7908,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,5886,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0738417,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.07908,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,107094,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,107094,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,312,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1710,0,0,,
Core_0_DTLB_cross_page_prefetch_late,242,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00291333,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,8.27363e-05,0,0,,
Core_0_STLB_demand_access,2781244,2779736,2779572,0.0542497560919%,0.06015314588%
Core_0_STLB_demand_hit,1528672,1527249,1527064,0.0931740665733%,0.1053001053%
Core_0_STLB_demand_miss,1252572,1252487,1252508,0.00678649758441%,0.00510974780201%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.450364,0.450578,0.450612,-0.0474945514428%,-0.0550362617951%
Core_0_STLB_demand_mpki,12.5257,12.5249,12.5251,0.00638727654512%,0.00479038091513%
Core_0_STLB_vberti_prefetch_access,2022,0,0,,
Core_0_STLB_vberti_prefetch_hit,1529,0,0,,
Core_0_STLB_vberti_prefetch_miss,493,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.243818,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.00493,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,2022,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1529,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,493,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.243818,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00493,0,0,,
Core_0_STLB_cross_page_prefetch_issued,2022,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,2022,0,0,,
Core_0_STLB_cross_page_prefetch_useful,5,0,0,,
Core_0_STLB_cross_page_prefetch_useless,488,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,144,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.295082,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,482,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.977688,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0024728,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,3.99177e-06,0,0,,
DRAM_read_traffic_MPKI,20.6156,20.6398,20.4874,-0.117249198151%,0.625750461259%
cache_demand.count,1955479,1956773,1959990,-0.066129285308%,-0.230154235481%
cache_prefetch.count,43620,43828,26707,-0.474582458702%,63.3279664507%
stlb_demand.count,62430,63381,62041,-1.50044966157%,0.627004722683%
stlb_prefetch.count,27,0,0,,
stlb_miss_touch_dram.count,62514,63462,62118,-1.49380731776%,0.637496377861%
stlb_miss_touch_dram.share,4.99,5.07,4.96,-1.57790927022%,0.604838709677%
