Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.02818,0.02817,0.02817,0.0354987575435%,0.0354987575435%
Core_0_L1D_demand_MPKI,185.017,185.544,199.619,-0.284029664123%,-7.31493495108%
Core_0_L2C_demand_MPKI,173.96,174.164,174.612,-0.117130979996%,-0.37339930818%
Core_0_LLC_demand_MPKI,136.163,136.378,136.832,-0.15765006086%,-0.488920720299%
Core_0_L1D_prefetch_requested,22857288,22175789,0,3.0731668668%,
Core_0_L1D_prefetch_issued,21705016,21151353,0,2.61762450847%,
Core_0_L1D_prefetch_useful,1217653,1198913,0,1.56308255895%,
Core_0_L1D_prefetch_useless,44288,40744,0,8.69821323385%,
Core_0_L1D_prefetch_late,4250,3938,0,7.92280345353%,
Core_0_L1D_prefetch_accuracy,0.0561001,0.0566826,0,-1.02765222485%,
Core_0_L1D_prefetch_coverage,0.061749,0.0606942,0,1.73789258282%,
Core_0_vBerti_Requested,22857288,22175789,0,3.0731668668%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,736929,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,22120359,22175789,0,-0.249957284496%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0322404,0,0,,
Core_0_vBerti_Issued,21705016,21151353,0,2.61762450847%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0267261,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0504116,0.0461961,0,9.12522918601%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.212828,0,0,,
Core_0_DTLB_demand_mpki,170.398,170.776,170.801,-0.221342577411%,-0.235947096328%
Core_0_DTLB_vberti_same_page_prefetch_mpki,5e-05,4e-05,0,25%,
Core_0_DTLB_vberti_cross_page_prefetch,501410,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,445373,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,56037,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,27051,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.111759,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.56037,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,501410,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,501410,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,20807,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,8179,0,0,,
Core_0_DTLB_cross_page_prefetch_late,157,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.041497,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00121959,0,0,,
Core_0_STLB_demand_access,17019685,17039971,17040325,-0.119049498382%,-0.121124450385%
Core_0_STLB_demand_hit,1319640,1319302,1319659,0.0256196079442%,-0.00143976587891%
Core_0_STLB_demand_miss,15700045,15720669,15720666,-0.131190345653%,-0.131171287527%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.922464,0.922576,0.922557,-0.0121399212639%,-0.0100806779419%
Core_0_STLB_demand_mpki,157,157.207,157.207,-0.131673525988%,-0.131673525988%
Core_0_STLB_vberti_prefetch_access,28990,4,0,724650%,
Core_0_STLB_vberti_prefetch_hit,6612,1,0,661100%,
Core_0_STLB_vberti_prefetch_miss,22378,3,0,745833.333333%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.771921,0.75,0,2.9228%,
Core_0_STLB_vberti_prefetch_mpki,0.22378,3e-05,0,745833.333333%,
Core_0_STLB_vberti_same_page_prefetch_mpki,3e-05,3e-05,0,0%,
Core_0_STLB_vberti_cross_page_prefetch,28986,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,6611,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,22375,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.771924,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.22375,0,0,,
Core_0_STLB_cross_page_prefetch_issued,28986,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,28986,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2986,0,0,,
Core_0_STLB_cross_page_prefetch_useless,19389,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,2568,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.132446,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,22202,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.992268,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.103015,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000190154,0,0,,
DRAM_read_traffic_MPKI,150.626,150.524,150.241,0.0677632802742%,0.25625495038%
cache_demand.count,13616291,13637846,13683178,-0.158052818605%,-0.488826499224%
cache_prefetch.count,1334070,1302154,1229130,2.45101577847%,8.53774621073%
stlb_demand.count,109475,112361,111835,-2.56850686626%,-2.11025171011%
stlb_prefetch.count,2794,0,0,,
stlb_miss_touch_dram.count,112241,112326,111805,-0.0756725958371%,0.389964670632%
stlb_miss_touch_dram.share,0.71,0.71,0.71,0%,0%
