Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.02153,0.02153,0.02153,0%,0%
Core_0_L1D_demand_MPKI,181.339,181.688,195.63,-0.192087534675%,-7.30511680213%
Core_0_L2C_demand_MPKI,179.012,179.2,179.554,-0.104910714286%,-0.301859050759%
Core_0_LLC_demand_MPKI,178.701,178.891,179.242,-0.106209926715%,-0.301826580824%
Core_0_L1D_prefetch_requested,23108906,22314850,0,3.55841961743%,
Core_0_L1D_prefetch_issued,21656790,21081546,0,2.72866136098%,
Core_0_L1D_prefetch_useful,1160353,1143951,0,1.43380267162%,
Core_0_L1D_prefetch_useless,21864,18172,0,20.3169711644%,
Core_0_L1D_prefetch_late,6487,6032,0,7.54310344828%,
Core_0_L1D_prefetch_accuracy,0.0535792,0.0542631,0,-1.26034082093%,
Core_0_L1D_prefetch_coverage,0.0601399,0.059233,0,1.53107220637%,
Core_0_vBerti_Requested,23108906,22314850,0,3.55841961743%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,810789,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,22298117,22314850,0,-0.0749859398562%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0350856,0,0,,
Core_0_vBerti_Issued,21656790,21081546,0,2.72866136098%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0289722,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0628379,0.0552683,0,13.6960970394%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.22613,0,0,,
Core_0_DTLB_demand_mpki,182.279,182.539,182.633,-0.142435315193%,-0.193831344828%
Core_0_DTLB_vberti_same_page_prefetch_mpki,8e-05,8e-05,0,0%,
Core_0_DTLB_vberti_cross_page_prefetch,524756,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,461390,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,63366,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,30980,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.120753,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.63366,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,524756,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,524756,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,18308,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,14078,0,0,,
Core_0_DTLB_cross_page_prefetch_late,176,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0348886,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00100339,0,0,,
Core_0_STLB_demand_access,18186673,18203507,18203969,-0.0924766859485%,-0.0950122470545%
Core_0_STLB_demand_hit,460938,459288,459750,0.359251711345%,0.258401305057%
Core_0_STLB_demand_miss,17725735,17744219,17744219,-0.104169138129%,-0.104169138129%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.974655,0.974769,0.974745,-0.0116950785263%,-0.00923318406352%
Core_0_STLB_demand_mpki,177.257,177.442,177.442,-0.104259419979%,-0.104259419979%
Core_0_STLB_vberti_prefetch_access,32394,8,0,404825%,
Core_0_STLB_vberti_prefetch_hit,13870,0,0,,
Core_0_STLB_vberti_prefetch_miss,18524,8,0,231450%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.571834,1,0,-42.8166%,
Core_0_STLB_vberti_prefetch_mpki,0.18524,8e-05,0,231450%,
Core_0_STLB_vberti_same_page_prefetch_mpki,8e-05,8e-05,0,0%,
Core_0_STLB_vberti_cross_page_prefetch,32386,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,13870,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,18516,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.571729,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.18516,0,0,,
Core_0_STLB_cross_page_prefetch_issued,32386,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,32386,0,0,,
Core_0_STLB_cross_page_prefetch_useful,4367,0,0,,
Core_0_STLB_cross_page_prefetch_useless,14149,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,75,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00530073,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,18366,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.991899,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.134842,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000246304,0,0,,
DRAM_read_traffic_MPKI,194.7,194.693,194.695,0.00359540404636%,0.00256811936619%
cache_demand.count,17870098,17889108,17924166,-0.106265779155%,-0.301648623428%
cache_prefetch.count,1221102,1202060,1166515,1.58411393774%,4.67949404851%
stlb_demand.count,375671,378173,378776,-0.661601965238%,-0.819745707225%
stlb_prefetch.count,3081,8,0,38412.5%,
stlb_miss_touch_dram.count,378688,378112,378700,0.152335815843%,-0.00316873514655%
stlb_miss_touch_dram.share,2.13,2.13,2.13,0%,0%
