Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.813,1.812,1.813,0.0551876379691%,0%
Core_0_L1D_demand_MPKI,14.7904,14.7916,14.7915,-0.00811271262068%,-0.00743670351215%
Core_0_L2C_demand_MPKI,15.3123,15.3119,15.4107,0.00261234725933%,-0.638517393759%
Core_0_LLC_demand_MPKI,1.45684,1.45728,1.45704,-0.030193236715%,-0.0137264591226%
Core_0_L1D_prefetch_requested,14184,10792,0,31.4306893996%,
Core_0_L1D_prefetch_issued,13601,10220,0,33.0821917808%,
Core_0_L1D_prefetch_useful,139,97,0,43.2989690722%,
Core_0_L1D_prefetch_useless,21,5,0,320%,
Core_0_L1D_prefetch_late,0,0,0,,
Core_0_L1D_prefetch_accuracy,0.0102198,0.00949119,0,7.67669807474%,
Core_0_L1D_prefetch_coverage,9.39711e-05,6.55733e-05,0,43.3069557274%,
Core_0_vBerti_Requested,14184,10792,0,31.4306893996%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,3915,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,10269,10792,0,-4.8461823573%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.276015,0,0,,
Core_0_vBerti_Issued,13601,10220,0,33.0821917808%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.274318,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0411027,0.0530022,0,-22.450954866%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0469987,0,0,,
Core_0_DTLB_demand_mpki,17.2088,17.2134,17.2076,-0.0267233666794%,0.00697366280016%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,2660,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,2651,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,9,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00338346,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,9e-05,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2660,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2660,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,0,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,9,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0,0,0,,
Core_0_STLB_demand_access,1647013,1646966,1647018,0.00285373225677%,-0.000303578952993%
Core_0_STLB_demand_hit,1480079,1480037,1480092,0.00283776689367%,-0.000878323779873%
Core_0_STLB_demand_miss,166934,166929,166926,0.00299528542075%,0.0047925428034%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.101356,0.101355,0.10135,0.000986631147946%,0.00592007893439%
Core_0_STLB_demand_mpki,1.66934,1.66929,1.66926,0.00299528542075%,0.0047925428034%
Core_0_STLB_vberti_prefetch_access,9,0,0,,
Core_0_STLB_vberti_prefetch_hit,1,0,0,,
Core_0_STLB_vberti_prefetch_miss,8,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.888889,0,0,,
Core_0_STLB_vberti_prefetch_mpki,8e-05,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,9,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,8,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.888889,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,8e-05,0,0,,
Core_0_STLB_cross_page_prefetch_issued,9,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,9,0,0,,
Core_0_STLB_cross_page_prefetch_useful,0,0,0,,
Core_0_STLB_cross_page_prefetch_useless,8,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,7,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.875,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0,0,0,,
DRAM_read_traffic_MPKI,1.62884,1.62914,1.62716,-0.0184146236665%,0.103247375796%
cache_demand.count,145684,145728,145704,-0.030193236715%,-0.0137264591226%
cache_prefetch.count,10394,10307,10320,0.844086543126%,0.717054263566%
stlb_demand.count,6806,6879,6692,-1.06120075592%,1.70352659892%
stlb_prefetch.count,0,0,0,,
stlb_miss_touch_dram.count,6806,6878,6693,-1.04681593486%,1.68833109219%
stlb_miss_touch_dram.share,4.08,4.12,4.01,-0.970873786408%,1.74563591022%
