Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1822,0.1816,0.1832,0.330396475771%,-0.545851528384%
Core_0_L1D_demand_MPKI,110.262,111.615,121.818,-1.21220266093%,-9.48628281535%
Core_0_L2C_demand_MPKI,78.1176,78.2487,78.6014,-0.16754271956%,-0.615510665204%
Core_0_LLC_demand_MPKI,71.8071,71.9123,71.9977,-0.146289299605%,-0.264730678897%
Core_0_L1D_prefetch_requested,27650409,25334914,0,9.13954158281%,
Core_0_L1D_prefetch_issued,12460205,11869687,0,4.9750090293%,
Core_0_L1D_prefetch_useful,376499,362904,0,3.74616978595%,
Core_0_L1D_prefetch_useless,503143,475083,0,5.90633636649%,
Core_0_L1D_prefetch_late,2577,4375,0,-41.0971428571%,
Core_0_L1D_prefetch_accuracy,0.0302161,0.030574,0,-1.17060247269%,
Core_0_L1D_prefetch_coverage,0.0330185,0.0314901,0,4.85358890572%,
Core_0_vBerti_Requested,27650409,25334914,0,9.13954158281%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,2126816,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,25523593,25334914,0,0.744739058518%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0769181,0,0,,
Core_0_vBerti_Issued,12460205,11869687,0,4.9750090293%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0516748,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.549366,0.531489,0,3.36356914254%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.697257,0,0,,
Core_0_DTLB_demand_mpki,106.557,107.446,108.679,-0.827392364537%,-1.95253912899%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00035,0.00029,0,20.6896551724%,
Core_0_DTLB_vberti_cross_page_prefetch,508506,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,403463,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,105043,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,68569,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.206572,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.05043,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,508506,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,508506,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,8388,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,28086,0,0,,
Core_0_DTLB_cross_page_prefetch_late,76,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0164954,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000786562,0,0,,
Core_0_STLB_demand_access,7726893,7734757,7735246,-0.101670938079%,-0.107986223063%
Core_0_STLB_demand_hit,264742,264534,265003,0.0786288341007%,-0.0984894510628%
Core_0_STLB_demand_miss,7462151,7470223,7470243,-0.108055676517%,-0.108323116129%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.965738,0.965799,0.965741,-0.00631601399463%,-0.00031064229436%
Core_0_STLB_demand_mpki,74.6215,74.7022,74.7024,-0.108028946939%,-0.108296386729%
Core_0_STLB_vberti_prefetch_access,36488,7,0,521157.142857%,
Core_0_STLB_vberti_prefetch_hit,7184,7,0,102528.571429%,
Core_0_STLB_vberti_prefetch_miss,29304,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.803113,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.29304,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,36474,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,7170,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,29304,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.803422,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.29304,0,0,,
Core_0_STLB_cross_page_prefetch_issued,36474,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,36474,0,0,,
Core_0_STLB_cross_page_prefetch_useful,367,0,0,,
Core_0_STLB_cross_page_prefetch_useless,28937,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,5591,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.193213,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,25249,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.861623,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.010062,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,4.91791e-05,0,0,,
DRAM_read_traffic_MPKI,98.2582,97.4048,87.4672,0.876137520944%,12.3371961147%
cache_demand.count,7180712,7191228,7199713,-0.146233716967%,-0.263913297655%
cache_prefetch.count,1950546,1853779,882168,5.21998576961%,121.108224284%
stlb_demand.count,691277,695471,664843,-0.603044555416%,3.97597628312%
stlb_prefetch.count,3288,0,0,,
stlb_miss_touch_dram.count,609356,604068,584537,0.875398133985%,4.24592455225%
stlb_miss_touch_dram.share,8.13,8.09,7.82,0.494437577256%,3.9641943734%
