Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2924,0.2852,0.2666,2.52454417952%,9.67741935484%
Core_0_L1D_demand_MPKI,41.8416,42.9918,55.8394,-2.67539391233%,-25.0679627646%
Core_0_L2C_demand_MPKI,35.6331,36.8224,41.9639,-3.22982749631%,-15.0863003677%
Core_0_LLC_demand_MPKI,29.8441,31.1198,36.0884,-4.09931940437%,-17.3027898161%
Core_0_L1D_prefetch_requested,247073217,218103270,0,13.2826743038%,
Core_0_L1D_prefetch_issued,83976290,83335261,0,0.769217006472%,
Core_0_L1D_prefetch_useful,950758,926997,0,2.5632229662%,
Core_0_L1D_prefetch_useless,59156,47095,0,25.6099373607%,
Core_0_L1D_prefetch_late,5547,6187,0,-10.3442702441%,
Core_0_L1D_prefetch_accuracy,0.0113217,0.0111237,0,1.77998327894%,
Core_0_L1D_prefetch_coverage,0.185155,0.177376,0,4.38559895364%,
Core_0_vBerti_Requested,247073217,218103270,0,13.2826743038%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,27077448,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,219995769,218103270,0,0.86770776064%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.109593,0,0,,
Core_0_vBerti_Issued,83976290,83335261,0,0.769217006472%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0457735,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.660116,0.617909,0,6.83061745338%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.858041,0,0,,
Core_0_DTLB_demand_mpki,33.0077,35.1552,35.3285,-6.10862688877%,-6.56920050384%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00035,0.00018,0,94.4444444444%,
Core_0_DTLB_vberti_cross_page_prefetch,2948863,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,2769066,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,179797,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,92379,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0609716,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.79797,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2948863,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2948863,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,74444,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,12974,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1349,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.025245,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0220561,0,0,,
Core_0_STLB_demand_access,2894694,2966527,2967032,-2.4214510773%,-2.43805931315%
Core_0_STLB_demand_hit,795013,794383,794875,0.0793068331019%,0.0173612203177%
Core_0_STLB_demand_miss,2099681,2172144,2172157,-3.33601271371%,-3.33659123167%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.725355,0.732218,0.732098,-0.93728916798%,-0.921051553207%
Core_0_STLB_demand_mpki,20.9968,21.7214,21.7216,-3.33588074434%,-3.33677077195%
Core_0_STLB_vberti_prefetch_access,87445,12,0,728608.333333%,
Core_0_STLB_vberti_prefetch_hit,3285,12,0,27275%,
Core_0_STLB_vberti_prefetch_miss,84160,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.962434,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.8416,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,87418,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3258,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,84160,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.962731,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.8416,0,0,,
Core_0_STLB_cross_page_prefetch_issued,87418,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,87418,0,0,,
Core_0_STLB_cross_page_prefetch_useful,266,0,0,,
Core_0_STLB_cross_page_prefetch_useless,83894,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,12082,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.144015,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,18772,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.223051,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00304285,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00012667,0,0,,
DRAM_read_traffic_MPKI,58.8349,56.1583,49.786,4.76616991611%,18.1755915318%
cache_demand.count,2983887,3111664,3608657,-4.10638809332%,-17.3130890522%
cache_prefetch.count,2757390,2365692,1235928,16.5574385846%,123.102802105%
stlb_demand.count,133183,138478,134012,-3.82371206979%,-0.618601319285%
stlb_prefetch.count,9032,0,0,,
stlb_miss_touch_dram.count,145265,141269,135899,2.82864605823%,6.89188294248%
stlb_miss_touch_dram.share,6.65,6.5,6.26,2.30769230769%,6.23003194888%
