Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.176,0.1745,0.1746,0.859598853868%,0.801832760596%
Core_0_L1D_demand_MPKI,124.644,125.526,135.148,-0.70264327709%,-7.77222008465%
Core_0_L2C_demand_MPKI,80.4274,80.5265,81.3404,-0.123065077956%,-1.12244345983%
Core_0_LLC_demand_MPKI,80.1573,80.2535,80.7825,-0.119870161426%,-0.773929997215%
Core_0_L1D_prefetch_requested,14627253,14109001,0,3.67320124224%,
Core_0_L1D_prefetch_issued,9475867,9118796,0,3.91576914321%,
Core_0_L1D_prefetch_useful,241381,227565,0,6.07123239514%,
Core_0_L1D_prefetch_useless,341030,317641,0,7.36334415268%,
Core_0_L1D_prefetch_late,4616,4289,0,7.62415481464%,
Core_0_L1D_prefetch_accuracy,0.0254732,0.0249556,0,2.07408357242%,
Core_0_L1D_prefetch_coverage,0.0189977,0.0178061,0,6.69208866624%,
Core_0_vBerti_Requested,14627253,14109001,0,3.67320124224%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,614365,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,14012888,14109001,0,-0.681217614202%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0420014,0,0,,
Core_0_vBerti_Issued,9475867,9118796,0,3.91576914321%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0412051,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.352177,0.353689,0,-0.427494211016%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.364459,0,0,,
Core_0_DTLB_demand_mpki,120.52,121.236,123.018,-0.59058365502%,-2.03059714838%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00145,0.00119,0,21.8487394958%,
Core_0_DTLB_vberti_cross_page_prefetch,328211,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,232878,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,95333,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,57825,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.290463,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.95333,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,328211,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,328211,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,6838,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,30670,0,0,,
Core_0_DTLB_cross_page_prefetch_late,148,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0208342,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000567051,0,0,,
Core_0_STLB_demand_access,7792258,7798461,7801277,-0.0795413351429%,-0.115609277814%
Core_0_STLB_demand_hit,237659,237162,240025,0.209561396851%,-0.985730653057%
Core_0_STLB_demand_miss,7554599,7561299,7561252,-0.0886091133283%,-0.0879880739327%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.969501,0.969589,0.969233,-0.00907601055706%,0.0276507300102%
Core_0_STLB_demand_mpki,75.546,75.613,75.6125,-0.0886091016095%,-0.0879484212266%
Core_0_STLB_vberti_prefetch_access,37608,88,0,42636.3636364%,
Core_0_STLB_vberti_prefetch_hit,17959,88,0,20307.9545455%,
Core_0_STLB_vberti_prefetch_miss,19649,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.522469,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.19649,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,37508,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,17859,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,19649,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.523862,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.19649,0,0,,
Core_0_STLB_cross_page_prefetch_issued,37508,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,37508,0,0,,
Core_0_STLB_cross_page_prefetch_useful,256,0,0,,
Core_0_STLB_cross_page_prefetch_useless,19393,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1825,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0941061,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,17967,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.914398,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00682521,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,3.38855e-05,0,0,,
DRAM_read_traffic_MPKI,102.011,102.185,97.5177,-0.170279395215%,4.60767635004%
cache_demand.count,8015735,8025345,8078185,-0.119745630873%,-0.773069693254%
cache_prefetch.count,1486759,1441904,988826,3.11081736371%,50.3559776948%
stlb_demand.count,696274,751202,684759,-7.31201461125%,1.68161353118%
stlb_prefetch.count,2352,0,0,,
stlb_miss_touch_dram.count,650206,692763,626959,-6.14308212188%,3.70789796462%
stlb_miss_touch_dram.share,8.58,9.16,8.29,-6.33187772926%,3.49819059107%
