Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3684,0.3659,0.3624,0.68324678874%,1.65562913907%
Core_0_L1D_demand_MPKI,51.2687,52.3128,75.6448,-1.99587863773%,-32.2244225644%
Core_0_L2C_demand_MPKI,14.5788,14.7566,17.3692,-1.20488459401%,-16.0652188932%
Core_0_LLC_demand_MPKI,11.3457,11.54,12.321,-1.68370883882%,-7.91575359143%
Core_0_L1D_prefetch_requested,58829102,54628150,0,7.69008652133%,
Core_0_L1D_prefetch_issued,20780320,20759005,0,0.102678331645%,
Core_0_L1D_prefetch_useful,549777,537281,0,2.3257848314%,
Core_0_L1D_prefetch_useless,390497,373195,0,4.63618215678%,
Core_0_L1D_prefetch_late,50803,45527,0,11.5887275683%,
Core_0_L1D_prefetch_accuracy,0.0264566,0.0258818,0,2.22086562758%,
Core_0_L1D_prefetch_coverage,0.0968489,0.0931396,0,3.98251656653%,
Core_0_vBerti_Requested,58829102,54628150,0,7.69008652133%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,4398888,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,54430214,54628150,0,-0.36233333913%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.074774,0,0,,
Core_0_vBerti_Issued,20780320,20759005,0,0.102678331645%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0476862,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.646768,0.619994,0,4.31842888802%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.774731,0,0,,
Core_0_DTLB_demand_mpki,30.3093,31.59,31.6853,-4.05413105413%,-4.34270781719%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,5e-05,0,-100%,
Core_0_DTLB_vberti_cross_page_prefetch,773204,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,608894,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,164310,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,120304,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.212505,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.6431,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,773204,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,773204,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,14624,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,29382,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1406,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0189135,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00480175,0,0,,
Core_0_STLB_demand_access,1135269,1147849,1147764,-1.09596297074%,-1.0886384309%
Core_0_STLB_demand_hit,424183,426161,426081,-0.464143832965%,-0.445455206874%
Core_0_STLB_demand_miss,711086,721688,721683,-1.4690558801%,-1.46837323312%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.626359,0.628731,0.628773,-0.377267861772%,-0.383922337632%
Core_0_STLB_demand_mpki,7.11086,7.21688,7.21683,-1.4690558801%,-1.46837323312%
Core_0_STLB_vberti_prefetch_access,44006,2,0,2200200%,
Core_0_STLB_vberti_prefetch_hit,5261,2,0,262950%,
Core_0_STLB_vberti_prefetch_miss,38745,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.880448,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.38745,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,44006,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,5261,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,38745,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.880448,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.38745,0,0,,
Core_0_STLB_cross_page_prefetch_issued,44006,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,44006,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2031,0,0,,
Core_0_STLB_cross_page_prefetch_useless,36714,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,6512,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.177371,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,18521,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.478023,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0461528,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00284806,0,0,,
DRAM_read_traffic_MPKI,34.1212,33.0052,24.5206,3.38128537321%,39.1532017977%
cache_demand.count,1134383,1153851,1232081,-1.68721958034%,-7.92951112792%
cache_prefetch.count,2014718,1887084,981446,6.76355689519%,105.280575803%
stlb_demand.count,258288,259582,238533,-0.498493732231%,8.2818729484%
stlb_prefetch.count,4735,0,0,,
stlb_miss_touch_dram.count,254391,251387,232763,1.19497030475%,9.2918548051%
stlb_miss_touch_dram.share,33.93,34.83,32.25,-2.58397932817%,5.20930232558%
