Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1159,0.1159,0.1153,0%,0.520381613183%
Core_0_L1D_demand_MPKI,26.171,26.1933,26.8606,-0.085136275307%,-2.56732909913%
Core_0_L2C_demand_MPKI,18.9733,19.0128,19.3044,-0.20775477573%,-1.71515302211%
Core_0_LLC_demand_MPKI,18.9445,18.9845,19.2922,-0.210698201164%,-1.80228278786%
Core_0_L1D_prefetch_requested,3466974,2904790,0,19.3536882184%,
Core_0_L1D_prefetch_issued,3250584,2727787,0,19.1656093383%,
Core_0_L1D_prefetch_useful,54483,52672,0,3.43825941677%,
Core_0_L1D_prefetch_useless,9036,8424,0,7.26495726496%,
Core_0_L1D_prefetch_late,0,0,0,,
Core_0_L1D_prefetch_accuracy,0.016761,0.0193094,0,-13.197717174%,
Core_0_L1D_prefetch_coverage,0.0203935,0.0197125,0,3.45466074826%,
Core_0_vBerti_Requested,3466974,2904790,0,19.3536882184%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,591724,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,2875250,2904790,0,-1.01694098369%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.170674,0,0,,
Core_0_vBerti_Issued,3250584,2727787,0,19.1656093383%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.17175,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0624147,0.0609349,0,2.42849335931%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0565044,0,0,,
Core_0_DTLB_demand_mpki,20.5939,20.6163,20.6174,-0.10865189195%,-0.113981394356%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,427633,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,421841,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,5792,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,2502,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0135443,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.05792,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,427633,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,427633,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,1737,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1553,0,0,,
Core_0_DTLB_cross_page_prefetch_late,28,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00406189,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000842742,0,0,,
Core_0_STLB_demand_access,1496082,1497435,1497433,-0.0903545062056%,-0.0902210649825%
Core_0_STLB_demand_hit,19614,19221,19219,2.04463867645%,2.05525781778%
Core_0_STLB_demand_miss,1476468,1478214,1478214,-0.118115509662%,-0.118115509662%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.98689,0.987164,0.987165,-0.027756279605%,-0.0278575516757%
Core_0_STLB_demand_mpki,14.7647,14.7821,14.7821,-0.117709932959%,-0.117709932959%
Core_0_STLB_vberti_prefetch_access,3290,0,0,,
Core_0_STLB_vberti_prefetch_hit,1351,0,0,,
Core_0_STLB_vberti_prefetch_miss,1939,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.589362,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01939,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,3290,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1351,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1939,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.589362,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01939,0,0,,
Core_0_STLB_cross_page_prefetch_issued,3290,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,3290,0,0,,
Core_0_STLB_cross_page_prefetch_useful,97,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1842,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,303,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.164495,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,954,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.492006,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0294833,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,6.5693e-05,0,0,,
DRAM_read_traffic_MPKI,28.9083,28.8704,28.6821,0.13127632454%,0.788645182884%
cache_demand.count,1894447,1898446,1929217,-0.210645970441%,-1.80228559048%
cache_prefetch.count,123409,118539,73626,4.10835252533%,67.6160595442%
stlb_demand.count,872667,870053,865366,0.300441467359%,0.843689259805%
stlb_prefetch.count,307,0,0,,
stlb_miss_touch_dram.count,871212,868554,864106,0.306025877493%,0.822352813197%
stlb_miss_touch_dram.share,58.93,58.76,58.46,0.289312457454%,0.803968525488%
