Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2167,0.2166,0.216,0.0461680517082%,0.324074074074%
Core_0_L1D_demand_MPKI,52.8928,52.9005,54.1368,-0.0145556280186%,-2.29788240162%
Core_0_L2C_demand_MPKI,40.5216,40.5327,40.9231,-0.0273852963163%,-0.9811084693%
Core_0_LLC_demand_MPKI,40.4098,40.4183,40.7592,-0.0210300779597%,-0.857229778798%
Core_0_L1D_prefetch_requested,4393219,4258882,0,3.15427851723%,
Core_0_L1D_prefetch_issued,4391166,4257262,0,3.14530794675%,
Core_0_L1D_prefetch_useful,142359,140821,0,1.09216665128%,
Core_0_L1D_prefetch_useless,42316,41843,0,1.13041607915%,
Core_0_L1D_prefetch_late,165,163,0,1.22699386503%,
Core_0_L1D_prefetch_accuracy,0.0324194,0.0330778,0,-1.9904588576%,
Core_0_L1D_prefetch_coverage,0.0262092,0.0259297,0,1.07791451502%,
Core_0_vBerti_Requested,4393219,4258882,0,3.15427851723%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,137249,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,4255970,4258882,0,-0.0683747518715%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0312411,0,0,,
Core_0_vBerti_Issued,4391166,4257262,0,3.14530794675%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0312154,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.000467311,0.000380382,0,22.8530792729%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.00128963,0,0,,
Core_0_DTLB_demand_mpki,34.8781,34.8883,34.7855,-0.0292361622664%,0.266202871886%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,113655,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,109325,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,4330,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,96,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0380978,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.0433,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,113655,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,113655,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,2182,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2052,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0191985,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000625216,0,0,,
Core_0_STLB_demand_access,834025,836225,836257,-0.263087087805%,-0.266903595426%
Core_0_STLB_demand_hit,13001,14556,14608,-10.6828799121%,-11.0008214677%
Core_0_STLB_demand_miss,821024,821669,821649,-0.0784987628838%,-0.07606654423%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.984412,0.982593,0.982532,0.185122426071%,0.191342368493%
Core_0_STLB_demand_mpki,8.21024,8.21669,8.21649,-0.0784987628838%,-0.07606654423%
Core_0_STLB_vberti_prefetch_access,4234,0,0,,
Core_0_STLB_vberti_prefetch_hit,3429,0,0,,
Core_0_STLB_vberti_prefetch_miss,805,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.190128,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.00805,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,4234,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3429,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,805,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.190128,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00805,0,0,,
Core_0_STLB_cross_page_prefetch_issued,4234,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,4234,0,0,,
Core_0_STLB_cross_page_prefetch_useful,93,0,0,,
Core_0_STLB_cross_page_prefetch_useless,712,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,496,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.696629,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,264,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.32795,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.021965,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00011326,0,0,,
DRAM_read_traffic_MPKI,50.3221,50.3152,50.0862,0.0137135497822%,0.470988016659%
cache_demand.count,4040979,4041831,4075917,-0.0210795552808%,-0.857181341033%
cache_prefetch.count,408115,406250,348837,0.459076923077%,16.9930368625%
stlb_demand.count,583095,583435,583867,-0.0582755576885%,-0.132221893%
stlb_prefetch.count,24,0,0,,
stlb_miss_touch_dram.count,674530,675143,665474,-0.0907955796031%,1.36083453298%
stlb_miss_touch_dram.share,82.08,82.17,80.99,-0.109529025192%,1.34584516607%
