Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1549,0.1549,0.155,0%,-0.0645161290323%
Core_0_L1D_demand_MPKI,59.7513,59.7484,60.1356,0.00485368645856%,-0.639055734041%
Core_0_L2C_demand_MPKI,56.0315,56.0524,56.1229,-0.0372865390242%,-0.162856873041%
Core_0_LLC_demand_MPKI,42.5003,42.5003,42.4428,0%,0.135476453014%
Core_0_L1D_prefetch_requested,2441530,2147257,0,13.7046008%,
Core_0_L1D_prefetch_issued,2156071,1956601,0,10.1947203339%,
Core_0_L1D_prefetch_useful,39627,39573,0,0.136456675006%,
Core_0_L1D_prefetch_useless,47294,39915,0,18.4867844169%,
Core_0_L1D_prefetch_late,0,0,0,,
Core_0_L1D_prefetch_accuracy,0.0183793,0.0202254,0,-9.12763159196%,
Core_0_L1D_prefetch_coverage,0.0065883,0.00657969,0,0.130857228836%,
Core_0_vBerti_Requested,2441530,2147257,0,13.7046008%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,297732,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,2143798,2147257,0,-0.161089240831%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.121945,0,0,,
Core_0_vBerti_Issued,2156071,1956601,0,10.1947203339%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.106892,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.116918,0.0887905,0,31.6785016415%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.225925,0,0,,
Core_0_DTLB_demand_mpki,40.0595,40.0689,40.0724,-0.0234595908548%,-0.0321917329633%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,192054,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,186202,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,5852,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,1228,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0304706,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.05852,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,192054,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,192054,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,815,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,3809,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0042436,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000203406,0,0,,
Core_0_STLB_demand_access,3794550,3795355,3795684,-0.0212101371281%,-0.0298760381528%
Core_0_STLB_demand_hit,146239,146141,146430,0.0670585256704%,-0.130437751827%
Core_0_STLB_demand_miss,3648311,3649214,3649254,-0.0247450546885%,-0.0258408978931%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.961461,0.961495,0.961422,-0.00353615983442%,0.00405649132223%
Core_0_STLB_demand_mpki,36.4831,36.4921,36.4925,-0.0246628722381%,-0.0257587175447%
Core_0_STLB_vberti_prefetch_access,4624,0,0,,
Core_0_STLB_vberti_prefetch_hit,2804,0,0,,
Core_0_STLB_vberti_prefetch_miss,1820,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.393599,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.0182,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,4624,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2804,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1820,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.393599,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.0182,0,0,,
Core_0_STLB_cross_page_prefetch_issued,4624,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,4624,0,0,,
Core_0_STLB_cross_page_prefetch_useful,140,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1680,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,374,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.222619,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1498,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.823077,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0302768,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,3.83724e-05,0,0,,
DRAM_read_traffic_MPKI,55.694,55.7127,55.5505,-0.0335650578773%,0.258323507439%
cache_demand.count,4250030,4250028,4244280,4.70585134969e-05%,0.135476453014%
cache_prefetch.count,164829,163205,155614,0.995067553077%,5.92170370275%
stlb_demand.count,1154543,1158037,1155154,-0.301717475348%,-0.0528933804497%
stlb_prefetch.count,0,0,0,,
stlb_miss_touch_dram.count,1160305,1163937,1160946,-0.312044380409%,-0.0552135930526%
stlb_miss_touch_dram.share,31.79,31.9,31.81,-0.344827586207%,-0.0628733102798%
