Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5046,0.5012,0.4774,0.678371907422%,5.69752827817%
Core_0_L1D_demand_MPKI,22.2477,22.4368,29.8335,-0.842811809171%,-25.4271205189%
Core_0_L2C_demand_MPKI,11.555,11.7914,14.5074,-2.0048509931%,-20.3509932862%
Core_0_LLC_demand_MPKI,7.16699,7.34408,9.12752,-2.41132994194%,-21.4793284485%
Core_0_L1D_prefetch_requested,147793910,133029273,0,11.0987880089%,
Core_0_L1D_prefetch_issued,37083541,36463604,0,1.70015284282%,
Core_0_L1D_prefetch_useful,693827,664187,0,4.46259863563%,
Core_0_L1D_prefetch_useless,12164,9935,0,22.4358329139%,
Core_0_L1D_prefetch_late,16912,14570,0,16.0741249142%,
Core_0_L1D_prefetch_accuracy,0.0187098,0.0182151,0,2.71587858425%,
Core_0_L1D_prefetch_coverage,0.237726,0.22841,0,4.07863053281%,
Core_0_vBerti_Requested,147793910,133029273,0,11.0987880089%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,16790829,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,131003081,133029273,0,-1.52311739688%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.11361,0,0,,
Core_0_vBerti_Issued,37083541,36463604,0,1.70015284282%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0643816,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.749086,0.725898,0,3.19438819228%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.85781,0,0,,
Core_0_DTLB_demand_mpki,10.7949,11.0532,11.3614,-2.33687981761%,-4.98618128048%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00078,0.00065,0,20%,
Core_0_DTLB_vberti_cross_page_prefetch,1858386,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1838542,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,19844,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,8259,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0106781,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.19844,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1858386,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1858386,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,11090,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,495,0,0,,
Core_0_DTLB_cross_page_prefetch_late,123,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00596754,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0101689,0,0,,
Core_0_STLB_demand_access,1027502,1036009,1035982,-0.821131862754%,-0.818547040393%
Core_0_STLB_demand_hit,902584,905068,905056,-0.274454516125%,-0.273132270268%
Core_0_STLB_demand_miss,124918,130941,130926,-4.59978158102%,-4.58885171776%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.121574,0.12639,0.126379,-3.81042804019%,-3.80205572128%
Core_0_STLB_demand_mpki,1.24918,1.30941,1.30926,-4.59978158102%,-4.58885171776%
Core_0_STLB_vberti_prefetch_access,11644,44,0,26363.6363636%,
Core_0_STLB_vberti_prefetch_hit,5597,44,0,12620.4545455%,
Core_0_STLB_vberti_prefetch_miss,6047,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.519323,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.06047,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,11585,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,5538,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,6047,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.521968,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.06047,0,0,,
Core_0_STLB_cross_page_prefetch_issued,11585,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,11585,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2654,0,0,,
Core_0_STLB_cross_page_prefetch_useless,3393,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,321,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0946065,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,2171,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.359021,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.229089,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0208039,0,0,,
DRAM_read_traffic_MPKI,11.3647,11.3643,11.3573,0.003519794444%,0.0651563311702%
cache_demand.count,711999,728838,903993,-2.3103899632%,-21.2384387932%
cache_prefetch.count,422144,405207,229367,4.17983894651%,84.0474000183%
stlb_demand.count,1529,2390,2370,-36.0251046025%,-35.4852320675%
stlb_prefetch.count,794,0,0,,
stlb_miss_touch_dram.count,2318,2385,2365,-2.80922431866%,-1.98731501057%
stlb_miss_touch_dram.share,1.77,1.82,1.81,-2.74725274725%,-2.20994475138%
