Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1443,0.1443,0.1444,0%,-0.0692520775623%
Core_0_L1D_demand_MPKI,60.7715,60.7732,61.1195,-0.00279728564565%,-0.569376385605%
Core_0_L2C_demand_MPKI,57.7271,57.7276,57.7932,-0.000866136821906%,-0.114373317276%
Core_0_LLC_demand_MPKI,44.3803,44.392,44.3377,-0.0263561001982%,0.0960807619701%
Core_0_L1D_prefetch_requested,2403077,2112941,0,13.7313819932%,
Core_0_L1D_prefetch_issued,2101173,1909959,0,10.0114190933%,
Core_0_L1D_prefetch_useful,36874,36382,0,1.35231707987%,
Core_0_L1D_prefetch_useless,45437,37944,0,19.747522665%,
Core_0_L1D_prefetch_late,393,366,0,7.37704918033%,
Core_0_L1D_prefetch_accuracy,0.0175492,0.0190486,0,-7.8714446206%,
Core_0_L1D_prefetch_coverage,0.00603105,0.0059509,0,1.34685509755%,
Core_0_vBerti_Requested,2403077,2112941,0,13.7313819932%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,287529,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,2115548,2112941,0,0.123382527009%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.11965,0,0,,
Core_0_vBerti_Issued,2101173,1909959,0,10.0114190933%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.104772,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.125632,0.0960661,0,30.7766215137%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.234359,0,0,,
Core_0_DTLB_demand_mpki,41.8199,41.8276,41.8356,-0.0184088974744%,-0.0375278470967%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,182736,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,176420,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,6316,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,1428,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0345635,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.06316,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,182736,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,182736,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,820,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,4068,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00448735,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00019604,0,0,,
Core_0_STLB_demand_access,3982252,3983010,3983852,-0.0190308334651%,-0.0401621345371%
Core_0_STLB_demand_hit,131377,131268,132049,0.0830362312216%,-0.508901998501%
Core_0_STLB_demand_miss,3850875,3851742,3851803,-0.022509295794%,-0.0240926132515%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.967009,0.967043,0.966854,-0.00351587261373%,0.0160313759885%
Core_0_STLB_demand_mpki,38.5087,38.5174,38.518,-0.0225871943589%,-0.0241445557921%
Core_0_STLB_vberti_prefetch_access,4888,0,0,,
Core_0_STLB_vberti_prefetch_hit,3145,0,0,,
Core_0_STLB_vberti_prefetch_miss,1743,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.356588,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01743,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,4888,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3145,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1743,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.356588,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01743,0,0,,
Core_0_STLB_cross_page_prefetch_issued,4888,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,4888,0,0,,
Core_0_STLB_cross_page_prefetch_useful,144,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1599,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,326,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.203877,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1341,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.769363,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0294599,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,3.73927e-05,0,0,,
DRAM_read_traffic_MPKI,60.4413,60.4606,60.2989,-0.0319216150683%,0.236156878484%
cache_demand.count,4438028,4439198,4433769,-0.0263561120725%,0.0960582294657%
cache_prefetch.count,134119,133383,125250,0.551794456565%,7.08103792415%
stlb_demand.count,1471978,1473483,1470876,-0.102138945614%,0.0749213393923%
stlb_prefetch.count,5,0,0,,
stlb_miss_touch_dram.count,1473788,1475367,1472673,-0.107024218381%,0.0757126666952%
stlb_miss_touch_dram.share,38.25,38.3,38.23,-0.130548302872%,0.0523149359142%
