Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3354,0.3341,0.3264,0.389105058366%,2.75735294118%
Core_0_L1D_demand_MPKI,33.6292,33.744,38.6829,-0.340208629682%,-13.0644289854%
Core_0_L2C_demand_MPKI,19.7827,19.9533,21.9344,-0.854996416633%,-9.80970530309%
Core_0_LLC_demand_MPKI,16.4695,16.5765,18.0348,-0.645492112328%,-8.67933107104%
Core_0_L1D_prefetch_requested,124816084,112676775,0,10.7735680223%,
Core_0_L1D_prefetch_issued,22509890,22267567,0,1.08823294435%,
Core_0_L1D_prefetch_useful,453982,436151,0,4.08826300983%,
Core_0_L1D_prefetch_useless,7110,5336,0,33.2458770615%,
Core_0_L1D_prefetch_late,21039,18513,0,13.6444660509%,
Core_0_L1D_prefetch_accuracy,0.0201681,0.0195868,0,2.96781505912%,
Core_0_L1D_prefetch_coverage,0.11894,0.114459,0,3.91493897378%,
Core_0_vBerti_Requested,124816084,112676775,0,10.7735680223%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,15109934,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,109706150,112676775,0,-2.63641287213%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.121058,0,0,,
Core_0_vBerti_Issued,22509890,22267567,0,1.08823294435%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0665943,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.819656,0.802377,0,2.153476483%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.900792,0,0,,
Core_0_DTLB_demand_mpki,26.3859,26.6374,26.887,-0.944161216936%,-1.86372596422%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00048,0.0003,0,60%,
Core_0_DTLB_vberti_cross_page_prefetch,1143135,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1127759,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,15376,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,7313,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0134507,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.15376,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1143135,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1143135,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,7807,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,256,0,0,,
Core_0_DTLB_cross_page_prefetch_late,193,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00682946,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00295005,0,0,,
Core_0_STLB_demand_access,1570228,1576842,1576900,-0.419445955904%,-0.423108630858%
Core_0_STLB_demand_hit,717359,719183,719247,-0.253621122857%,-0.262496750073%
Core_0_STLB_demand_miss,852869,857659,857653,-0.558497025041%,-0.557801348564%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.54315,0.543909,0.543885,-0.139545401896%,-0.135138862076%
Core_0_STLB_demand_mpki,8.52869,8.57659,8.57653,-0.558497025041%,-0.557801348564%
Core_0_STLB_vberti_prefetch_access,8100,23,0,35117.3913043%,
Core_0_STLB_vberti_prefetch_hit,3302,23,0,14256.5217391%,
Core_0_STLB_vberti_prefetch_miss,4798,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.592346,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.04798,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,1e-05,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,8063,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3266,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,4797,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.59494,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.04797,0,0,,
Core_0_STLB_cross_page_prefetch_issued,8063,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,8063,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2190,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2607,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,864,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.331415,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,2673,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.557223,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.271611,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00256123,0,0,,
DRAM_read_traffic_MPKI,20.2171,20.2219,20.2176,-0.0237366419575%,-0.00247309275088%
cache_demand.count,1638088,1648007,1790214,-0.601878511438%,-8.49764329851%
cache_prefetch.count,366246,354053,212137,3.44383468012%,72.6459787779%
stlb_demand.count,16724,20127,19409,-16.9076365082%,-13.8337884487%
stlb_prefetch.count,654,0,0,,
stlb_miss_touch_dram.count,17374,20123,19405,-13.6609849426%,-10.4663746457%
stlb_miss_touch_dram.share,2.03,2.35,2.26,-13.6170212766%,-10.1769911504%
