dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.686491,2.87791,0.257233,0.257188,4.55848e-05,0,0,0,0.999822788065,0.00017721193505,0,0,0
spec06,429.mcf,4,0.201692303333,6.39168,0.222198625,0.222198625,1.7131625e-08,0,0,0,0.999999114985,8.85015275364e-07,0,0,0
spec06,433.milc,3,1.04063833501,1.78389666667,0.987666333333,0.987651333333,1.49769566667e-05,0,0,0,0.99998451483,1.54851703339e-05,0,0,0
spec06,436.cactusADM,1,1.87821,9.03533,0.327811,0.327143,0,0.000668297,0,0,0.997961336221,0,0.00203866377874,0,0
spec06,450.soplex,1,0.592851,1.05987,0.135699,0.135699,0,0,0,0,1,0,0,0,0
spec06,459.GemsFDTD,3,1.09901739652,1.70613333333,0.328525666667,0.328523,1.51007666667e-06,1.00707333333e-06,0,0,0.999988590614,5.2217073738e-06,6.18767847585e-06,0,0
spec06,471.omnetpp,1,0.409804,4.52055,0.234279,0.233993,0.000286076,0,0,0,0.998778909646,0.00122109035405,0,0,0
spec06,473.astar,2,0.317575072392,11.31784,0.3727785,0.372777,1.711425e-06,0,0,0,0.99999274729,7.2527097937e-06,0,0,0
spec06,483.xalancbmk,1,0.296073,3.46828,0.806856,0.794524,0.0123322,0,0,0,0.984715766893,0.0152842331069,0,0,0
spec06,gmean_spec06,17,0.53374412469,4.68437823529,0.432047382353,0.431259911765,0.000748047839794,3.94893070588e-05,0,0,0.998892945393,0.000986041265283,0.00012101334201,0,0
spec17,602.gcc_s,1,0.478264,1.31377,0.966377,0.966377,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.319167115217,11.423178,0.5358216,0.5358216,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.490886878309,4.568395,0.2118665,0.2109765,0.000890129,0,0,0,0.995783518462,0.00421648153776,0,0,0
spec17,623.xalancbmk_s,3,0.939005844936,2.61807,0.259056033333,0.256262066667,0.00279398433333,0,0,0,0.988670199208,0.0113298007917,0,0,0
spec17,649.fotonik3d_s,1,0.847315,3.39599,0.731144,0.731144,0,0,0,0,1,0,0,0,0
spec17,gmean_spec17,12,0.503865068402,6.56805416667,0.464794175,0.46394735,0.000846850916667,0,0,0,0.996464802879,0.00353519712089,0,0,0
gap,bc,11,0.31417024946,18.4038963636,0.802228818182,0.802228818182,0,0,0,0,1,0,0,0,0
gap,bfs,18,0.225271332932,9.84330222222,0.430437,0.430249722222,0.000187186533333,1.02107e-07,0,0,0.999583703032,0.000415634977659,6.61990538922e-07,0,0
gap,cc,18,0.360249295605,12.6966166667,0.771888055556,0.771882388889,5.65661111111e-06,0,0,0,0.99999254448,7.4555203655e-06,0,0,0
gap,pr,8,0.029532338122,146.57595,0.905383875,0.905383875,0,1.276569375e-07,0,0,0.999999866783,0,1.33217032173e-07,0,0
gap,sssp,10,0.212422768683,53.080731,0.8257384,0.8256825,5.59499052e-05,2.60723e-08,0,0,0.9997558313,0.000244141487768,2.72123282732e-08,0,0
gap,tc,6,0.156674397677,14.434215,0.9783275,0.978327,4.09696666667e-07,0,0,0,0.999999570584,4.29416028554e-07,0,0,0
gap,gmean_gap,71,0.204377576395,33.7772056338,0.730095605634,0.730038774648,5.68047018592e-05,4.39423169014e-08,0,0,0.999858128535,0.000141684793497,1.86671679447e-07,0,0
ligra,ligra_BC,1,0.551663,1.15189,0.216625,0.216621,3.76121e-06,0,0,0,0.999982637231,1.73627690144e-05,0,0,0
ligra,ligra_BFS,1,0.602672,1.04459,0.213133,0.213015,0.00011834,0,0,0,0.999444758231,0.000555241769498,0,0,0
ligra,ligra_BellmanFord,1,0.3928,6.16126,0.382557,0.382556,0,1.24181e-06,0,0,0.999996753911,0,3.24608927395e-06,0,0
ligra,ligra_CF,1,1.05196,1.75727,0.510934,0.510934,0,0,0,0,1,0,0,0,0
