dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,100000001,144740299,0.690893,1142824,848351,294473,2.94473,0.257671,262755,0.229917,53,4.63763e-05,31665,0.0277077,0,0,0,0
spec06,429.mcf,429.mcf-184B,100000001,824823780,0.121238,9992848,9083589,909259,9.09259,0.090991,908561,0.0909211,0,0,698,6.985e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,100000000,835208137,0.119731,14594234,14311602,282632,2.82632,0.019366,281940,0.0193186,1,6.85202e-08,691,4.73475e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,100000002,128761220,0.776631,518590,203383,315207,3.15207,0.607815,293442,0.565846,0,0,21765,0.0419696,0,0,0,0
spec06,429.mcf,429.mcf-51B,100000005,634233979,0.157671,7963716,6911680,1052036,10.5204,0.132104,1050406,0.131899,0,0,1630,0.000204678,0,0,0,0
spec06,433.milc,433.milc-127B,100000002,71895335,1.39091,218172,25,218147,2.18147,0.999885,164,0.0007517,0,0,217983,0.999134,0,0,0,0
spec06,433.milc,433.milc-274B,100000004,55490243,1.80212,126011,4917,121094,1.21094,0.96098,104,0.000825325,5,3.96791e-05,120985,0.960115,0,0,0,0
spec06,433.milc,433.milc-337B,100000000,66129491,1.51218,197368,751,196617,1.96617,0.996195,151,0.000765068,1,5.06668e-06,196465,0.995425,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,100000002,52916647,1.88976,2770576,1855889,914687,9.14687,0.330143,905663,0.326886,0,0,9024,0.00325708,0,0,0,0
spec06,450.soplex,450.soplex-247B,100000000,164363731,0.608407,805198,693180,112018,1.12018,0.139119,76724,0.0952859,0,0,35294,0.0438327,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,100000000,85425924,1.1706,2377668,2199943,177725,1.77725,0.0747476,121159,0.0509571,2,8.4116e-07,56564,0.0237897,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,100000004,73943729,1.35238,901123,793401,107722,1.07722,0.119542,526,0.000583716,0,0,107196,0.118958,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,100000000,81055109,1.23373,522500,293762,228738,2.28738,0.437776,3607,0.00690335,1,1.91388e-06,225130,0.430871,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,100000000,229314704,0.436082,2261368,1734089,527279,5.27279,0.233168,373692,0.16525,620,0.00027417,152967,0.0676436,0,0,0,0
spec06,473.astar,473.astar-359B,100000002,515557167,0.193965,3379708,1656767,1722941,17.2294,0.50979,1705378,0.504593,0,0,17563,0.0051966,0,0,0,0
spec06,473.astar,473.astar-42B,100000000,160983567,0.621181,3052848,2147996,904852,9.04852,0.296396,175144,0.0573707,8,2.6205e-06,729700,0.239023,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,100000000,337727546,0.296097,430942,83116,347826,3.47826,0.807129,338771,0.786117,5308,0.0123172,3747,0.00869491,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,100000000,135326311,0.738955,150466,9828,140638,1.40638,0.934683,21005,0.1396,0,0,119633,0.795083,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,100000003,199933707,0.500166,2446238,206723,2239515,22.3951,0.915494,2238055,0.914897,0,0,1460,0.000596835,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,100000005,494187021,0.202353,2964946,542925,2422021,24.2202,0.816885,2378423,0.802181,0,0,43598,0.0147045,0,0,0,0
