dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.690893,2.94473,0.257671,0.229917,4.63763e-05,0.0277077,0,0,0.892288936507,0.000179982545089,0.107531080948,0,0
spec06,429.mcf,4,0.205330270496,6.397845,0.212569,0.201996175,1.713005e-08,0.010572868875,0,0,0.981546172337,8.84542443885e-07,0.0184529431209,0,0
spec06,433.milc,3,1.55917696013,1.78619333333,0.985686666667,0.000780697666667,1.491526e-05,0.984891333333,0,0,0.000792871378736,1.54587558457e-05,0.999191669865,0,0
spec06,436.cactusADM,1,1.88976,9.14687,0.330143,0.326886,0,0.00325708,0,0,0.990134330104,0,0.00986566989582,0,0
spec06,450.soplex,1,0.608407,1.12018,0.139119,0.0952859,0,0.0438327,0,0,0.684925636951,0,0.315074363049,0,0
spec06,459.GemsFDTD,3,1.24999745335,1.71395,0.210688533333,0.0194813886667,9.18346666667e-07,0.191206233333,0,0,0.23412461127,5.20838495869e-06,0.765870180345,0,0
spec06,471.omnetpp,1,0.436082,5.27279,0.233168,0.16525,0.00027417,0.0676436,0,0,0.708717775599,0.00117584808043,0.290106376321,0,0
spec06,473.astar,2,0.347112910542,13.13896,0.403093,0.28098185,1.31025e-06,0.1221098,0,0,0.59168365966,4.42061243165e-06,0.408311919728,0,0
spec06,483.xalancbmk,1,0.296097,3.47826,0.807129,0.786117,0.0123172,0.00869491,0,0,0.973966868492,0.0152605038151,0.0107726276932,0,0
spec06,gmean_spec06,17,0.598588386829,4.96073882353,0.412518682353,0.178481797588,0.000746349184718,0.233290574441,0,0,0.592019882604,0.000981806779864,0.406998310616,0,0
spec17,602.gcc_s,1,0.738955,1.40638,0.934683,0.1396,0,0.795083,0,0,0.149355081841,0,0.850644918159,0,0
spec17,605.mcf_s,5,0.331328412451,11.431406,0.5220665,0.450832924,0,0.071233693,0,0,0.668404283298,0,0.331595716702,0,0
spec17,620.omnetpp_s,2,0.490243917674,4.69244,0.2143605,0.2050085,0.0009088645,0.008442825,0,0,0.956134239097,0.00425773510308,0.0396080258002,0,0
spec17,623.xalancbmk_s,3,0.938818027733,2.6573,0.25949,0.253529266667,0.002814995,0.0031458,0,0,0.962917199627,0.0112685641648,0.0258142362078,0,0
spec17,649.fotonik3d_s,1,1.16546,3.39514,0.466495,0.001734,0,0.464761,0,0,0.00371707794082,0,0.996282922059,0,0
spec17,gmean_spec17,12,0.544813826905,6.60961083333,0.434891791667,0.297175285,0.000855226166667,0.136861292917,0,0,0.691342804446,0.00352676355839,0.305130431996,0,0
gap,bc,11,0.314312454307,18.5043209091,0.801115181818,0.795953818182,0,0.00516139872727,0,0,0.993958119844,0,0.00604188015576,0,0
gap,bfs,18,0.231527529848,9.86075944444,0.429939144444,0.402898761111,0.0001865748,0.0268536105556,0,0,0.919426578804,0.000414926895678,0.0801584943003,0,0
gap,cc,18,0.37986641491,12.7345227778,0.770889444444,0.617122666667,5.64205555556e-06,0.153761091667,0,0,0.812529806633,7.45138715023e-06,0.18746274198,0,0
gap,pr,8,0.0295661155849,146.6303375,0.9049795,0.90277075,0,0.002208645,0,0,0.997488468907,0,0.00251153109339,0,0
gap,sssp,10,0.213754263405,53.2366,0.8257083,0.8171423,5.58874875e-05,0.0085100765,0,0,0.987977523472,0.000243862857451,0.0117786136703,0,0
gap,tc,6,0.15662441828,14.4934883333,0.977805,0.9603645,3.80688333333e-07,0.017440055,0,0,0.981841989372,3.97774372829e-07,0.0181576128537,0,0
gap,gmean_gap,71,0.20880660162,33.8398907042,0.729449726761,0.679882446479,5.66346817606e-05,0.049510567338,0,0,0.927598439132,0.000141462314249,0.0722600985539,0,0
ligra,ligra_BC,1,0.559409,1.16144,0.216197,0.136249,3.72292e-06,0.0799441,0,0,0.630209050833,1.72200027552e-05,0.369773729164,0,0
ligra,ligra_BFS,1,0.622719,1.05474,0.211308,0.155042,0.000116198,0.0561496,0,0,0.733725847128,0.000549898553198,0.265724254319,0,0
ligra,ligra_BellmanFord,1,0.401733,6.16739,0.381799,0.366303,0,0.0154951,0,0,0.959415571255,0,0.0405844287454,0,0
ligra,ligra_CF,1,1.07325,1.80542,0.5147,0.485194,0,0.0295064,0,0,0.942672619114,0,0.0573273808864,0,0
ligra,ligra_Components,1,0.453374,3.25379,0.0477043,0.0450273,0,0.00267698,0,0,0.943883901543,0,0.0561160984575,0,0
ligra,ligra_Components-Shortcut,1,0.467553,1.26686,0.0174075,0.0152213,0,0.00218628,0,0,0.874406011714,0,0.125593988286,0,0
ligra,ligra_PageRank,3,0.635906695436,22.49231,0.565076333333,0.533474,5.44273333333e-06,0.0315967133333,0,0,0.95234720586,7.27260165506e-06,0.0476455215379,0,0
ligra,ligra_PageRankDelta,3,0.657524752998,3.53072,0.413255666667,0.364050333333,9.46264333333e-06,0.0491960166667,0,0,0.87407963182,2.42873079722e-05,0.125896080872,0,0
ligra,ligra_Radii,3,0.276533015397,8.51576333333,0.329083133333,0.3212935,8.45456666667e-07,0.00778879333333,0,0,0.932514264999,5.62083531234e-06,0.0674801141655,0,0
ligra,gmean_ligra,15,0.516186918343,7.88840133333,0.354090746667,0.323966006667,1.11448946667e-05,0.0301135353333,0,0,0.890742420642,4.52440527181e-05,0.109212335306,0,0
qmm,qmm_fp,3,0.641033524537,2.00346,0.228336666667,0.129483333333,0.000228627466667,0.0986245333333,0,0,0.610770850088,0.00107879447423,0.388150355438,0,0
qmm,qmm_int,8,0.477728442879,6.66837875,0.625923375,0.485258675,0.00050614479,0.140158625875,0,0,0.751147220136,0.000830519250499,0.248022260614,0,0
qmm,qmm_srv,19,1.71668330307,1.87356105263,0.112400021053,0.0717952263158,0.0405766368421,2.81441963158e-05,0,0,0.639523475788,0.36018141609,0.00029510812246,0,0
qmm,gmean_qmm,30,1.10604674828,3.165169,0.260933246667,0.187820956667,0.0258563713573,0.0472559115577,0,0,0.666414545044,0.228444248104,0.105141206852,0,0
parsec,parsec_canneal,6,0.402618503215,6.57043166667,0.387758666667,0.386890333333,3.11059466667e-05,0.000837057833333,0,0,0.997269660798,0.000100840328132,0.00262949887431,0,0
parsec,gmean_parsec,6,0.402618503215,6.57043166667,0.387758666667,0.386890333333,3.11059466667e-05,0.000837057833333,0,0,0.997269660798,0.000100840328132,0.00262949887431,0,0
xsbench,xsbench_XL100hash,2,0.33428706094,4.623815,0.5398738,0.5370436,0,0.002830322,0,0,0.975854303877,0,0.0241456961229,0,0
xsbench,xsbench_XL100nuclide,4,0.154947696824,36.66745,0.96387775,0.96337825,0,0.00049977575,0,0,0.999481515658,0,0.00051848434153,0,0
xsbench,xsbench_XL100unionized,1,0.51622,1.02864,0.0994091,0.0947278,0,0.00468131,0,0,0.952908694976,0,0.0470913050241,0,0
xsbench,xsbench_XL64hash,2,0.300470750978,5.497655,0.592522,0.590179,0,0.002342649,0,0,0.990196419852,0,0.00980358014797,0,0
xsbench,xsbench_XL64nuclide,1,0.155107,36.7096,0.965207,0.964708,0,0.000498778,0,0,0.999483241863,0,0.000516758136761,0,0
xsbench,xsbench_XL64unionized,1,0.515875,1.02923,0.0994371,0.094676,0,0.0047611,0,0,0.95211954568,0,0.0478804543202,0,0
xsbench,xsbench_XXL100hash,3,0.269653205785,6.66366,0.698565,0.696069666667,0,0.00249537566667,0,0,0.984044919785,0,0.0159550802148,0,0
xsbench,xsbench_XXL100nuclide,7,0.174603936115,33.2264657143,0.849025428571,0.847805142857,0,0.00122014071429,0,0,0.993720954642,0,0.00627904535831,0,0
xsbench,xsbench_XXL100unionized,1,0.33542,8.57667,0.543402,0.540358,4.43507e-06,0.00303993,0,0,0.994397592539,8.16167580191e-06,0.00559424578537,0,0
xsbench,xsbench_XXL64hash,2,0.256924695777,8.96373,0.7640645,0.7621255,2.21756e-06,0.0019371035,0,0,0.996773228098,4.08106154241e-06,0.00322269084015,0,0
xsbench,xsbench_XXL64nuclide,3,0.191258978342,28.5262966667,0.824515666667,0.823207666667,1.47810666667e-06,0.001306379,0,0,0.99782228485,2.72099641334e-06,0.00217499415376,0,0
xsbench,xsbench_XXL64unionized,1,0.334747,8.57781,0.543354,0.540316,4.43409e-06,0.00303355,0,0,0.994408829293,8.16059110659e-06,0.00558301011564,0,0
xsbench,gmean_xsbench,28,0.229127697824,20.6756171429,0.728987885714,0.727123678571,6.33521428571e-07,0.00186357746429,0,0,0.989947863108,1.16597782976e-06,0.0100509709137,0,0
all,gmean_all,179,0.36412970082,18.9826876536,0.558100676536,0.49188196357,0.00448622570372,0.061732449465,0,0,0.845115483959,0.0386798854499,0.116204630591,0,0
