dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,100000002,145637256,0.686638,1142121,847966,294155,2.94155,0.257552,263831,0.231001,53,4.64049e-05,30271,0.0265042,0,0,0,0
spec06,429.mcf,429.mcf-184B,100000001,824017252,0.121357,10019638,9110199,909439,9.09439,0.0907657,908619,0.0906838,0,0,820,8.18393e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,100000000,835926607,0.119628,14594517,14311859,282658,2.82658,0.0193674,281979,0.0193209,1,6.85189e-08,678,4.64558e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,100000005,139141132,0.718695,521077,206151,314926,3.14926,0.604375,293471,0.563201,0,0,21455,0.0411743,0,0,0,0
spec06,429.mcf,429.mcf-51B,100000002,632166185,0.158186,7981163,6929051,1052112,10.5211,0.131824,1050429,0.131614,0,0,1683,0.000210872,0,0,0,0
spec06,433.milc,433.milc-127B,100000002,97538320,1.02524,218308,156,218152,2.18152,0.999285,113,0.000517617,0,0,218039,0.998768,0,0,0,0
spec06,433.milc,433.milc-274B,100000004,84870532,1.17827,125818,4782,121036,1.21036,0.961993,301,0.00239234,5,3.97399e-05,120730,0.959561,0,0,0,0
spec06,433.milc,433.milc-337B,100000004,85807345,1.1654,196624,126,196498,1.96498,0.999359,140,0.000712019,1,5.08585e-06,196357,0.998642,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,100000002,53236837,1.8784,2773360,1857265,916095,9.16095,0.33032,906900,0.327004,0,0,9195,0.00331547,0,0,0,0
spec06,450.soplex,450.soplex-247B,100000000,168692285,0.592795,806371,694018,112353,1.12353,0.139332,76582,0.0949712,0,0,35771,0.0443605,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,100000005,94457771,1.05867,2654905,2477109,177796,1.77796,0.0669689,121136,0.0456272,2,7.53323e-07,56658,0.0213409,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,100000001,89748164,1.11423,939053,831324,107729,1.07729,0.114721,316,0.000336509,0,0,107413,0.114384,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,100000005,96260873,1.03884,538759,310259,228500,2.285,0.424123,2394,0.00444355,1,1.85612e-06,226105,0.419677,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,100000000,241867007,0.41345,2244423,1716488,527935,5.27935,0.235221,372292,0.165874,616,0.000274458,155027,0.0690721,0,0,0,0
spec06,473.astar,473.astar-359B,100000002,515171453,0.19411,3383663,1656379,1727284,17.2728,0.510478,1705809,0.504131,0,0,21475,0.00634667,0,0,0,0
spec06,473.astar,473.astar-42B,100000000,184902576,0.540825,3103054,2184508,918546,9.18546,0.296014,151792,0.048917,8,2.57811e-06,766746,0.247094,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,100000000,337314003,0.29646,430849,83086,347763,3.47763,0.807157,338905,0.786598,5302,0.0123059,3556,0.00825347,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,100000000,204240138,0.48962,160694,17881,142813,1.42813,0.888726,20580,0.128069,0,0,122233,0.760657,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,100000000,199995743,0.500011,2446240,206779,2239461,22.3946,0.915471,2238044,0.914891,0,0,1417,0.000579256,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,100000005,499868847,0.200052,2968174,546163,2422011,24.2201,0.815994,2378767,0.801424,0,0,43244,0.0145692,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,100000000,174324784,0.573642,344601,214361,130240,1.3024,0.377944,13724,0.0398258,0,0,116516,0.338119,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,100000001,689154949,0.145105,8605791,8490120,115671,1.15671,0.0134411,30104,0.00349811,0,0,85567,0.00994296,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,100000000,241971873,0.413271,1628886,820814,808072,8.08072,0.496089,806074,0.494862,0,0,1998,0.00122661,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,100000002,213707261,0.46793,2274629,1776268,498361,4.98361,0.219096,482008,0.211906,1723,0.000757486,14630,0.00643182,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,100000000,194021911,0.515406,2098212,1658642,439570,4.3957,0.209497,416268,0.198392,2209,0.0010528,21093,0.0100528,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,100000005,147829046,0.676457,725760,243711,482049,4.82049,0.664199,472743,0.651376,5170,0.00712357,4136,0.00569885,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,100000000,85097035,1.17513,2380885,2247562,133323,1.33323,0.0559972,126040,0.0529383,1786,0.000750141,5497,0.00230881,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,100000000,96225022,1.03923,3125177,2943539,181638,1.81638,0.0581209,174828,0.0559418,1767,0.000565408,5043,0.00161367,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,100000001,110363564,0.906096,687910,348381,339529,3.39529,0.493566,4567,0.00663895,0,0,334962,0.486927,0,0,0,0
gap,bc,bc.kron-2608B,100000004,207958091,0.480866,1850928,34998,1815930,18.1593,0.981092,1806604,0.976053,0,0,9326,0.00503855,0,0,0,0
gap,bc,bc.kron-5154B,100000002,103826033,0.96315,291158,4826,286332,2.86332,0.983425,283988,0.975374,0,0,2344,0.00805061,0,0,0,0
gap,bc,bc.road-131B,100000004,616452361,0.162219,1502245,654451,847794,8.47794,0.564351,843419,0.561439,0,0,4375,0.00291231,0,0,0,0
gap,bc,bc.road-174B,100000005,431296326,0.231859,1745797,867840,877957,8.77957,0.502898,874791,0.501084,0,0,3166,0.0018135,0,0,0,0
gap,bc,bc.road-79B,100000003,356340430,0.280631,1957391,1219320,738071,7.38071,0.377069,735553,0.375782,0,0,2518,0.00128641,0,0,0,0
gap,bc,bc.road-95B,100000000,468246483,0.213563,1452454,659657,792797,7.92797,0.545833,789253,0.543393,0,0,3544,0.00244001,0,0,0,0
gap,bc,bc.twitter-1658B,100000002,246944024,0.40495,1017091,29123,987968,9.87968,0.971366,982672,0.966159,0,0,5296,0.00520701,0,0,0,0
gap,bc,bc.twitter-2320B,100000003,169746139,0.589115,1971182,63209,1907973,19.0797,0.967933,1898108,0.962929,0,0,9865,0.00500461,0,0,0,0
gap,bc,bc.twitter-309B,100000000,495053223,0.201998,4330225,57043,4273182,42.7318,0.986827,4231375,0.977172,0,0,41807,0.00965469,0,0,0,0
gap,bc,bc.twitter-876B,100000002,558625546,0.179011,7116465,370372,6746093,67.4609,0.947956,6637133,0.932645,0,0,108960,0.015311,0,0,0,0
gap,bc,bc.urand-3004B,100000002,304485750,0.328423,1100734,19173,1081561,10.8156,0.982582,1081301,0.982345,0,0,260,0.000236206,0,0,0,0
gap,bfs,bfs.kron-128B,100000002,194583910,0.513917,117790,8194,109596,1.09596,0.930436,84511,0.717472,0,0,25085,0.212964,0,0,0,0
gap,bfs,bfs.kron-542B,100000001,495831818,0.201681,3540570,1777242,1763328,17.6333,0.498035,1727322,0.487866,41,1.15801e-05,35965,0.010158,0,0,0,0
gap,bfs,bfs.road-112B,100000000,525002666,0.190475,1302049,511491,790558,7.90558,0.607165,783965,0.602101,1613,0.00123882,4980,0.00382474,0,0,0,0
gap,bfs,bfs.road-128B,100000000,595144009,0.168027,1528947,554753,974194,9.74194,0.637167,968322,0.633326,1202,0.000786162,4670,0.00305439,0,0,0,0
gap,bfs,bfs.road-140B,100000005,575463266,0.173773,1350410,490700,859710,8.5971,0.636629,853679,0.632163,1056,0.000781985,4975,0.00368407,0,0,0,0
gap,bfs,bfs.road-19B,100000001,424355987,0.235651,1286909,1057753,229156,2.29156,0.178067,225915,0.175549,609,0.000473227,2632,0.00204521,0,0,0,0
gap,bfs,bfs.twitter-10B,100000004,282524848,0.353951,473245,195794,277451,2.77451,0.586273,249655,0.527539,0,0,27796,0.0587349,0,0,0,0
gap,bfs,bfs.twitter-160B,100000000,500882375,0.199648,3574769,3298135,276634,2.76634,0.0773851,237922,0.0665559,0,0,38712,0.0108292,0,0,0,0
gap,bfs,bfs.twitter-163B,100000003,317152192,0.315306,558750,248855,309895,3.09895,0.554622,282655,0.50587,0,0,27240,0.0487517,0,0,0,0
gap,bfs,bfs.twitter-242B,100000001,435209631,0.229774,854723,626471,228252,2.28252,0.267048,203233,0.237776,0,0,25019,0.0292715,0,0,0,0
gap,bfs,bfs.twitter-408B,100000002,312330196,0.320174,702397,527094,175303,1.75303,0.249578,149084,0.21225,40,5.69479e-05,26179,0.0372709,0,0,0,0
gap,bfs,bfs.twitter-44B,100000005,297269871,0.336395,6876336,6581941,294395,2.94395,0.0428128,260967,0.0379515,0,0,33428,0.00486131,0,0,0,0
gap,bfs,bfs.urand-118B,100000000,722961489,0.13832,4416202,114467,4301735,43.0174,0.97408,4285982,0.970513,0,0,15753,0.00356709,0,0,0,0
gap,bfs,bfs.urand-161B,100000001,526546194,0.189917,6980356,5772993,1207363,12.0736,0.172966,1140663,0.16341,0,0,66700,0.00955539,0,0,0,0
gap,bfs,bfs.urand-356B,100000005,659755664,0.151571,4303042,115638,4187404,41.874,0.973126,4171741,0.969486,0,0,15663,0.00363998,0,0,0,0
gap,bfs,bfs.urand-36B,100000001,345220172,0.28967,3942372,3274310,668062,6.68062,0.169457,623811,0.158232,40,1.01462e-05,44211,0.0112143,0,0,0,0
gap,bfs,bfs.urand-410B,100000001,578654808,0.172815,5669106,5215933,453173,4.53173,0.0799373,359022,0.0633296,0,0,94151,0.0166077,0,0,0,0
gap,bfs,bfs.urand-60B,100000000,556096239,0.179825,6164859,5522433,642426,6.42426,0.104208,559500,0.0907563,0,0,82926,0.0134514,0,0,0,0
gap,cc,cc.kron-10B,100000002,516045416,0.193781,1712244,534838,1177406,11.7741,0.687639,1143224,0.667676,0,0,34182,0.0199633,0,0,0,0
gap,cc,cc.kron-17B,100000004,671746674,0.148866,1940914,119234,1821680,18.2168,0.938568,1780400,0.9173,0,0,41280,0.0212683,0,0,0,0
gap,cc,cc.kron-78B,100000004,668051180,0.149689,1942001,119312,1822689,18.2269,0.938562,1781266,0.917232,0,0,41423,0.0213301,0,0,0,0
gap,cc,cc.kron-82B,100000000,713267893,0.1402,3727344,1983995,1743349,17.4335,0.467719,1735760,0.465683,0,0,7589,0.00203603,0,0,0,0
