dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.686638,2.94155,0.257552,0.231001,4.64049e-05,0.0265042,0,0,0.89691149224,0.000180177117506,0.102908330642,0,0
spec06,429.mcf,4,0.201559181202,6.3978325,0.211583025,0.201204925,1.7129725e-08,0.010378366775,0,0,0.981742348448,8.84461080175e-07,0.0182567670911,0,0
spec06,433.milc,3,1.12076645874,1.78562,0.986879,0.00120732533333,1.49419166667e-05,0.985657,0,0,0.00123910877196,1.54663779286e-05,0.99874542485,0,0
spec06,436.cactusADM,1,1.8784,9.16095,0.33032,0.327004,0,0.00331547,0,0,0.989962831366,0,0.0100371686343,0,0
spec06,450.soplex,1,0.592795,1.12353,0.139332,0.0949712,0,0.0443605,0,0,0.681619538419,0,0.318380461581,0,0
spec06,459.GemsFDTD,3,1.07010905544,1.71341666667,0.201937633333,0.0168024196667,8.69814333333e-07,0.185133966667,0,0,0.231576825018,5.20840486935e-06,0.768417966577,0,0
spec06,471.omnetpp,1,0.41345,5.27935,0.235221,0.165874,0.000274458,0.0690721,0,0,0.705185297432,0.00116681030809,0.293647892259,0,0
spec06,473.astar,2,0.324005464074,13.22913,0.403246,0.276524,1.289055e-06,0.126720335,0,0,0.576409830756,4.35470841961e-06,0.423585814536,0,0
spec06,483.xalancbmk,1,0.29646,3.47763,0.807157,0.786598,0.0123059,0.00825347,0,0,0.97452863013,0.015246015246,0.0102253546237,0,0
spec06,gmean_spec06,17,0.539755774254,4.97233588235,0.411109176471,0.177490890294,0.000745696748347,0.2328725163,0,0,0.589790861545,0.000980427898892,0.409228710556,0,0
spec17,602.gcc_s,1,0.48962,1.42813,0.888726,0.128069,0,0.760657,0,0,0.144104528299,0,0.855895471701,0,0
spec17,605.mcf_s,5,0.321614885483,11.430906,0.52378782,0.450900182,0,0.0728874052,0,0,0.668934038878,0,0.331065961122,0,0
spec17,620.omnetpp_s,2,0.491094623856,4.689655,0.2142965,0.205149,0.000905143,0.00824231,0,0,0.957087770064,0.00424134941816,0.0386708805179,0,0
spec17,623.xalancbmk_s,3,0.93830909946,2.6567,0.259439033333,0.2534187,0.00281303966667,0.00320711,0,0,0.962858673437,0.0112830765177,0.0258582500451,0,0
spec17,649.fotonik3d_s,1,0.906096,3.39529,0.493566,0.00663895,0,0.486927,0,0,0.0134509865137,0,0.986549013486,0,0
spec17,gmean_spec17,12,0.509241182243,6.61061333333,0.434011766667,0.296646913333,0.000854117083333,0.136510581333,0,0,0.692081439137,0.00352766069912,0.304390900164,0,0
gap,bc,11,0.314311775519,18.5051354545,0.801030181818,0.795852272727,0,0.00517771872727,0,0,0.993938472392,0,0.00606152760805,0,0
gap,bfs,18,0.227594257313,9.86035277778,0.429944011111,0.402897016667,0.000186603788889,0.0268603211111,0,0,0.919371956551,0.000415076302441,0.0802129671464,0,0
gap,cc,18,0.372215527358,12.73644,0.770550611111,0.616215444444,5.64288888889e-06,0.154329606667,0,0,0.811596939963,7.45245334764e-06,0.188395607583,0,0
gap,pr,8,0.0295388208758,146.6358625,0.904976375,0.902705,0,0.00227131375,0,0,0.997415787053,0,0.00258421294669,0,0
gap,sssp,10,0.212704006461,53.229105,0.8238507,0.8155129,5.58864044e-05,0.0082821198,0,0,0.98816878257,0.00024384447877,0.011587372951,0,0
gap,tc,6,0.157012919499,14.51685,0.978034833333,0.9546975,3.689e-07,0.0233368466667,0,0,0.975710640214,3.84923915939e-07,0.0242889748622,0,0
gap,gmean_gap,71,0.206710134213,33.8419409859,0.729109326761,0.678920469014,5.66410935775e-05,0.0501322027324,0,0,0.92684565207,0.000141496787822,0.073012851142,0,0
ligra,ligra_BC,1,0.554932,1.16167,0.216064,0.136518,3.71988e-06,0.0795422,0,0,0.631840367746,1.72165933527e-05,0.36814241566,0,0
ligra,ligra_BFS,1,0.609721,1.05573,0.208751,0.153072,0.000114684,0.0555646,0,0,0.733274606197,0.000549382891459,0.266176010912,0,0
ligra,ligra_BellmanFord,1,0.397788,6.16744,0.381779,0.366225,0,0.0155536,0,0,0.959260244121,0,0.0407397558793,0,0
ligra,ligra_CF,1,1.06324,1.81064,0.511066,0.480565,0,0.0305007,0,0,0.940319445058,0,0.0596805549419,0,0
ligra,ligra_Components,1,0.452034,3.26401,0.0479041,0.0451073,0,0.00279674,0,0,0.941617825926,0,0.0583821740742,0,0
ligra,ligra_Components-Shortcut,1,0.467049,1.32201,0.0179769,0.015615,0,0.00236186,0,0,0.868616727559,0,0.131383272441,0,0
ligra,ligra_PageRank,3,0.627204666902,22.51541,0.565030666667,0.533319,5.44643333333e-06,0.03170639,0,0,0.95187650374,7.28014640374e-06,0.0481162161137,0,0
ligra,ligra_PageRankDelta,3,0.647676170567,3.5473,0.404013,0.355089333333,9.44598333333e-06,0.0489143433333,0,0,0.874190483368,2.42621402493e-05,0.125785254492,0,0
ligra,ligra_Radii,3,0.275375918851,8.51735666667,0.329068566667,0.321256166667,8.4554e-07,0.00781148666667,0,0,0.931879904218,5.62130925914e-06,0.0681144744725,0,0
ligra,gmean_ligra,15,0.510996347035,7.90144666667,0.351858513333,0.32173972,1.10411833333e-05,0.0301077573333,0,0,0.889917992706,4.52060181699e-05,0.110036801276,0,0
qmm,qmm_fp,3,0.616525189403,2.0017,0.228078333333,0.128069333333,0.000228807133333,0.0997805333333,0,0,0.606657143031,0.0010801852672,0.392262671702,0,0
qmm,qmm_int,8,0.457739936752,6.66935125,0.62567075,0.48484275,0.000504813045,0.14032306755,0,0,0.75113522971,0.000828317715208,0.248036452575,0,0
qmm,qmm_srv,19,1.71704074407,1.87355894737,0.112411657895,0.0718048631579,0.0405812052632,2.54977280526e-05,0,0,0.639545707891,0.360186847693,0.00026744441686,0,0
qmm,gmean_qmm,30,1.08940110408,3.165251,0.260847416667,0.187574746667,0.0258589275253,0.0474136865744,0,0,0.666014057223,0.228447240123,0.105538702654,0,0
parsec,parsec_canneal,6,0.402589006519,6.57065666667,0.3877785,0.386899166667,3.1104355e-05,0.000848235833333,0,0,0.997234073335,0.000100834730651,0.00266509193448,0,0
parsec,gmean_parsec,6,0.402589006519,6.57065666667,0.3877785,0.386899166667,3.1104355e-05,0.000848235833333,0,0,0.997234073335,0.000100834730651,0.00266509193448,0,0
xsbench,xsbench_XL100hash,2,0.333187323729,4.623785,0.5399999,0.53716635,0,0.002833742,0,0,0.975786008196,0,0.0242139918042,0,0
xsbench,xsbench_XL100nuclide,4,0.155012935319,36.666775,0.9641505,0.96366825,0,0.00048218925,0,0,0.999499896543,0,0.00050010345705,0,0
xsbench,xsbench_XL100unionized,1,0.513146,1.02875,0.0994079,0.0946798,0,0.00472809,0,0,0.952437424058,0,0.0475625759417,0,0
xsbench,xsbench_XL64hash,2,0.299896412679,5.497845,0.5925795,0.5902215,0,0.002358119,0,0,0.990170343973,0,0.00982965602715,0,0
xsbench,xsbench_XL64nuclide,1,0.154982,36.709,0.965433,0.964952,0,0.000481021,0,0,0.999501756519,0,0.000498243480611,0,0
xsbench,xsbench_XL64unionized,1,0.513292,1.0288,0.0994204,0.0947093,0,0.00471106,0,0,0.952614696734,0,0.0473853032659,0,0
xsbench,xsbench_XXL100hash,3,0.269157568671,6.66368,0.698581,0.696101666667,0,0.002479367,0,0,0.98418577686,0,0.0158142231397,0,0
xsbench,xsbench_XXL100nuclide,7,0.174453840871,33.2255642857,0.849182285714,0.847979428571,0,0.001202602,0,0,0.993715430457,0,0.00628456954341,0,0
xsbench,xsbench_XXL100unionized,1,0.334354,8.57662,0.543399,0.540389,4.43507e-06,0.00300571,0,0,0.994460521744,8.16172338287e-06,0.00553131653262,0,0
xsbench,xsbench_XXL64hash,2,0.256939989208,8.96372,0.7640315,0.7621075,2.21755e-06,0.0019219485,0,0,0.996807124126,4.08108057685e-06,0.00318879479379,0,0
xsbench,xsbench_XXL64nuclide,3,0.191154796286,28.5256966667,0.824663666667,0.823397333333,1.47821e-06,0.00126491933333,0,0,0.997885591311,2.72099641334e-06,0.00211168769275,0,0
xsbench,xsbench_XXL64unionized,1,0.334076,8.57785,0.54337,0.540343,4.4342e-06,0.00302286,0,0,0.994428673852,8.16055305234e-06,0.00556316559511,0,0
xsbench,gmean_xsbench,28,0.22881060694,20.6752107143,0.729102289286,0.727253207143,6.33535714286e-07,0.00184843535714,0,0,0.989971133192,1.1659795296e-06,0.0100277008284,0,0
all,gmean_all,179,0.356219776859,18.9857203911,0.557589914525,0.491163599972,0.0044865115978,0.0619397693259,0,0,0.844520955249,0.0386803263931,0.116798718358,0,0
