,value
num_traces,179.0
discard_stlb_data_demand_mpki_amean,18.842349688255602
translation_only_stlb_data_demand_mpki_amean,18.560790643119912
translation_only_vs_discard_ipc_pct_geomean,0.7198345763086644
cross_requested_mpki_amean,149.6709341950842
pq_drop_rate_pct_weighted,87.3482642479293
reach_stlb_pct_of_requested_weighted,0.4710281411196863
trigger_page_walk_pct_of_requested_weighted,0.2347411085802012
useful_pct_of_requested_weighted,0.1592716741307735
combined_fill_productivity_pct_weighted,22.78379353478423
useful_vs_discard_miss_pct_weighted,1.2651469048246586
demand_miss_reduction_pct_weighted,1.4942883996918093
too_early_among_useless_pct_weighted,13.65011511457547
combined_local_pollution_candidates_per_fill_pct_weighted,30.944884483814267
cross_pq_drop_rate_pct_n,179.0
cross_pq_drop_rate_pct_amean,54.07722868067039
cross_pq_drop_rate_pct_median,69.7488
cross_pq_drop_rate_pct_p25,22.5477
cross_pq_drop_rate_pct_p75,85.34895
reach_stlb_pct_of_requested_n,179.0
reach_stlb_pct_of_requested_amean,3.113386097816967
reach_stlb_pct_of_requested_median,0.6121081239304229
reach_stlb_pct_of_requested_p25,0.14693047432734557
reach_stlb_pct_of_requested_p75,1.5495582055054888
trigger_page_walk_pct_of_requested_n,179.0
trigger_page_walk_pct_of_requested_amean,1.6128778398052754
trigger_page_walk_pct_of_requested_median,0.3919786469135482
trigger_page_walk_pct_of_requested_p25,0.09936805983179808
trigger_page_walk_pct_of_requested_p75,0.7299781627949464
useful_pct_of_requested_n,179.0
useful_pct_of_requested_amean,0.6927791074404065
useful_pct_of_requested_median,0.1423076391626225
useful_pct_of_requested_p25,0.030221619390361915
useful_pct_of_requested_p75,0.5285962913404834
combined_fill_productivity_pct_n,174.0
combined_fill_productivity_pct_amean,25.449211036277223
combined_fill_productivity_pct_median,22.589500869628097
combined_fill_productivity_pct_p25,10.711431134224156
combined_fill_productivity_pct_p75,43.67357183655471
useful_vs_discard_miss_pct_n,179.0
useful_vs_discard_miss_pct_amean,9.658679440447083
useful_vs_discard_miss_pct_median,0.42884835939603533
useful_vs_discard_miss_pct_p25,0.061848570248923374
useful_vs_discard_miss_pct_p75,4.834340606307171
demand_miss_reduction_pct_n,179.0
demand_miss_reduction_pct_amean,11.044148591240505
demand_miss_reduction_pct_median,0.5091621857221973
demand_miss_reduction_pct_p25,0.0747024239906238
demand_miss_reduction_pct_p75,5.666742730097755
too_early_among_useless_pct_n,172.0
too_early_among_useless_pct_amean,17.200933938365782
too_early_among_useless_pct_median,10.361093038386468
too_early_among_useless_pct_p25,4.684380504991192
too_early_among_useless_pct_p75,23.983939161630545
combined_local_pollution_candidates_per_fill_pct_n,174.0
combined_local_pollution_candidates_per_fill_pct_amean,53.54986599317658
combined_local_pollution_candidates_per_fill_pct_median,53.866703110803584
combined_local_pollution_candidates_per_fill_pct_p25,33.98342527003642
combined_local_pollution_candidates_per_fill_pct_p75,81.7249813745336
