outcome,predictor,spearman_rho,p_value,n
demand_miss_reduction_pct,discard_stlb_data_demand_mpki,-0.31312865541435847,1.9736450626223648e-05,179
demand_miss_reduction_pct,cross_requested_mpki,0.7867809024235286,6.157800535709143e-39,179
demand_miss_reduction_pct,cross_pq_drop_rate_pct,0.5763691022076114,3.1118658634300996e-17,179
demand_miss_reduction_pct,reach_stlb_pct_of_requested,-0.16826498314634647,0.024351445693794074,179
demand_miss_reduction_pct,trigger_page_walk_pct_of_requested,-0.004387720033548316,0.9535154763218896,179
demand_miss_reduction_pct,useful_pct_of_requested,0.3837636826894879,1.1397798900751381e-07,179
demand_miss_reduction_pct,combined_fill_productivity_pct,0.6470227441237716,5.147639257832969e-22,174
demand_miss_reduction_pct,useful_vs_discard_miss_pct,0.9752112714894386,6.940924835365946e-118,179
demand_miss_reduction_pct,too_early_among_useless_pct,0.24845000358924324,0.0010150735011190167,172
demand_miss_reduction_pct,combined_local_pollution_candidates_per_fill_pct,-0.5045095530150171,1.2666208754392113e-12,174
translation_only_vs_discard_ipc_pct,discard_stlb_data_demand_mpki,-0.17754076260037324,0.01742512430261205,179
translation_only_vs_discard_ipc_pct,cross_requested_mpki,0.4615499566839764,7.887755178203274e-11,179
translation_only_vs_discard_ipc_pct,cross_pq_drop_rate_pct,0.37094597978014454,3.192565222155083e-07,179
translation_only_vs_discard_ipc_pct,reach_stlb_pct_of_requested,-0.1079898194118449,0.15018036950922115,179
translation_only_vs_discard_ipc_pct,trigger_page_walk_pct_of_requested,0.04245121380417827,0.5725949033768404,179
translation_only_vs_discard_ipc_pct,useful_pct_of_requested,0.3036901727937331,3.5858434301499225e-05,179
translation_only_vs_discard_ipc_pct,combined_fill_productivity_pct,0.5313482209166484,4.5868906610854485e-14,174
translation_only_vs_discard_ipc_pct,useful_vs_discard_miss_pct,0.6123554499883552,8.376105767303625e-20,179
translation_only_vs_discard_ipc_pct,too_early_among_useless_pct,0.054397372324595385,0.4784872497853553,172
translation_only_vs_discard_ipc_pct,combined_local_pollution_candidates_per_fill_pct,-0.32457351233252507,1.2456267446391414e-05,174
