trace_tag,dataset,workload,instructions,discard_ipc,translation_only_ipc,translation_only_vs_discard_ipc_pct,vberti_end_to_end_issued,vberti_end_to_end_useful,vberti_end_to_end_accuracy_pct,discard_stlb_data_demand_miss,translation_only_stlb_data_demand_miss,discard_stlb_data_demand_mpki,translation_only_stlb_data_demand_mpki,demand_miss_reduction_count,demand_miss_reduction_pct,cross_requested,cross_in_pq,pq_drop_rate_pct,cross_pq_drop_rate_pct,dtlb_cross_lookups,dtlb_cross_misses,dtlb_cross_fills,dtlb_cross_useful,dtlb_cross_late,dtlb_cross_pollution_evict,stlb_cross_lookups,stlb_cross_misses,stlb_cross_fills,stlb_cross_useful,stlb_cross_useless,stlb_cross_late,stlb_cross_too_early,stlb_cross_pollution_evict,tlb_cross_fills,tlb_cross_useful,tlb_cross_useless,tlb_cross_late,tlb_cross_too_early,tlb_cross_pollution_evict_sum,cross_requested_mpki,stlb_cross_lookup_mpki,stlb_cross_page_walk_mpki,stlb_cross_useful_mpki,tlb_cross_useful_mpki,pq_survival_pct,reach_dtlb_pct_of_requested,reach_stlb_pct_of_requested,trigger_page_walk_pct_of_requested,useful_pct_of_requested,dtlb_miss_pct_of_lookup,stlb_miss_pct_of_lookup,combined_fill_productivity_pct,translation_only_requested,translation_only_issued,translation_only_dropped_after_translation,stlb_accuracy_pct,stlb_coverage_pct_logged,stlb_too_early_among_useless_pct,stlb_late_among_useful_pct,dtlb_late_among_useful_pct,stlb_pollution_candidate_among_cross_fill_pct,tlb_accuracy_pct,tlb_coverage_pct_logged,useful_vs_discard_miss_pct,net_reduction_per_useful_pct,too_early_among_useless_pct,combined_local_pollution_candidates_per_fill_pct,late_per_fill_pct
bc.kron-2608B,gap,bc,100000004.0,0.4802,0.4809,0.1457725947521915,5271173.0,100912.0,1.9144125984861433,1814402.0,1806604.0,18.14401927423923,18.066039277358428,7798.0,0.42978347687006524,260292.0,256789.0,0.439757,1.3457999999999999,175622.0,31767.0,10493.0,7810.0,32.0,550.0,10525.0,9326.0,9326.0,38.0,9288.0,0.0,11.0,5640.0,19819.0,7810.0,2715.0,32.0,10.0,6190.0,2.602919895883204,0.10524999579000016,0.09325999626960015,0.0003799999848000006,0.07809999687600012,98.65420374041462,67.47114778786901,4.043535721420558,3.5828992055076605,3.0004763880564904,18.088280511553222,88.60807600950119,39.4066300015137,260292.0,256789.0,256789.0,0.361045,0.00210335,0.11843238587424633,0.0,0.40973111395646605,60.476088355136184,4.44705,0.430442,0.4304448518024121,99.84635083226632,0.3683241252302026,31.23265553256976,0.16146122407790503
bc.kron-5154B,gap,bc,100000002.0,0.9585,0.9631,0.47991653625456543,8213392.0,16020.0,0.19504730810364343,286106.0,283988.0,2.8610599427788013,2.8398799432024013,2118.0,0.7402850691701677,142117.0,142000.0,0.10837500000000001,0.0823265,135828.0,7649.0,2493.0,2118.0,9.0,71.0,2502.0,2344.0,2344.0,8.0,2336.0,0.0,0.0,764.0,4837.0,2118.0,384.0,9.0,1.0,835.0,1.4211699715766006,0.02501999949960001,0.02343999953120001,7.999999840000003e-05,0.02117999957640001,99.91767346622854,95.57477289838654,1.760521260651435,1.6493452577805612,1.4903213549399437,5.631386753835733,93.68505195843325,43.787471573289224,142117.0,142000.0,142000.0,0.31974400000000003,0.00281694,0.0,0.0,0.424929178470255,32.593856655290104,1.5593299999999999,0.740285,0.7402850691701677,100.0,0.26041666666666663,17.262766177382673,0.18606574322927436
bc.road-131B,gap,bc,100000004.0,0.1622,0.1622,0.0,36244870.0,10431.0,0.028779245173178994,847638.0,843419.0,8.476379660944813,8.434189662632413,4219.0,0.4977360618565944,6712973.0,2045319.0,56.0795,69.5318,1348653.0,16842.0,6584.0,5084.0,2.0,6217.0,6586.0,4375.0,4375.0,1536.0,2839.0,0.0,320.0,4280.0,10959.0,2472.0,537.0,2.0,352.0,10497.0,67.1297273148109,0.06585999736560011,0.04374999825000007,0.015359999385600025,0.02471999901120004,30.46815472071763,20.090249134027502,0.09810854296598542,0.0651723163492539,0.03682422080350986,1.2488015820229519,66.4287883389007,22.556802627977003,6712973.0,2045319.0,2045319.0,23.322200000000002,0.181785,11.271574498062698,0.0,0.03933910306845004,97.82857142857144,0.18329399999999998,0.292236,0.2916339286346294,170.67152103559872,65.54934823091247,95.78428688748973,0.018249840313897252
bc.road-174B,gap,bc,100000005.0,0.2324,0.2319,-0.21514629948364838,35903368.0,8564.0,0.0238529154145093,877656.0,874791.0,8.776559561172022,8.747909562604521,2865.0,0.32643769312805926,6793320.0,2100909.0,55.8984,69.0739,1398741.0,16183.0,6909.0,4830.0,1.0,6733.0,6910.0,3166.0,3166.0,1310.0,1856.0,0.0,197.0,3114.0,10075.0,2041.0,517.0,0.0,295.0,9847.0,67.93319660334016,0.06909999654500017,0.03165999841700008,0.013099999345000033,0.020409998979500053,30.92610093444737,20.589947183409585,0.1017175696125017,0.046604605700894405,0.030044219910147028,1.1569690171375544,45.81765557163531,20.258064516129032,6793320.0,2100909.0,2100909.0,18.958,0.149526,10.614224137931034,0.0,0.020703933747412008,98.3575489576753,0.14591700000000002,0.23276999999999998,0.2325512501481218,140.37236648701617,57.05996131528046,97.73697270471465,0.0
bc.road-79B,gap,bc,100000003.0,0.2811,0.2806,-0.1778726431874822,36393971.0,6765.0,0.018588243640684333,737500.0,735553.0,7.374999778750007,7.355529779334106,1947.0,0.264,6566697.0,1986505.0,55.7923,69.7488,1332280.0,14333.0,6056.0,4400.0,1.0,5929.0,6057.0,2518.0,2518.0,1147.0,1371.0,0.0,182.0,2402.0,8574.0,1672.0,765.0,1.0,356.0,8331.0,65.66696802999095,0.060569998182900056,0.025179999244600022,0.01146999965590001,0.016719999498400015,30.251205438594162,20.288434200633894,0.09223815260548797,0.038345000538322384,0.025461811318536552,1.0758249016723211,41.57173518243355,19.500816421740144,6566697.0,1986505.0,1986505.0,18.9368,0.155694,13.274981765134939,0.0,0.022727272727272728,95.39316918189039,0.125499,0.226796,0.22671186440677968,116.44736842105263,46.5359477124183,97.16585024492652,0.011663167716351761
bc.road-95B,gap,bc,100000000.0,0.2141,0.2136,-0.23353573096683844,36066596.0,11722.0,0.03250098789472674,792505.0,789253.0,7.92505,7.89253,3252.0,0.41034441423082507,6775212.0,2097365.0,56.077999999999996,69.0436,1384705.0,14728.0,6399.0,4925.0,1.0,6174.0,6400.0,3544.0,3544.0,1368.0,2176.0,0.0,291.0,3488.0,9943.0,2145.0,729.0,1.0,359.0,9662.0,67.75212,0.064,0.03544,0.01368,0.02145,30.95644830006795,20.437810654485794,0.09446198879090426,0.05230832629296323,0.03165952593070151,1.0636200490357153,55.375,21.572965905662276,6775212.0,2097365.0,2097365.0,21.375,0.173029,13.373161764705882,0.0,0.02030456852791878,98.41986455981942,0.15490700000000002,0.27103900000000003,0.2706607529290036,151.6083916083916,49.24554183813443,97.17389117972442,0.010057326762546516
bc.twitter-1658B,gap,bc,100000002.0,0.4043,0.405,0.17313875834776837,8646217.0,45455.0,0.5257212489577812,987701.0,982672.0,9.877009802459805,9.826719803465604,5029.0,0.5091621857221973,626397.0,448514.0,15.895999999999999,28.3978,320076.0,17199.0,5333.0,5050.0,46.0,200.0,5379.0,5296.0,5296.0,102.0,5194.0,0.0,940.0,2689.0,10629.0,5047.0,332.0,46.0,78.0,2889.0,6.263969874720602,0.05378999892420002,0.05295999894080002,0.0010199999796000005,0.05046999899060002,71.60219477424062,51.097945871388276,0.8587205877422784,0.8454702049977889,0.8057190567643204,5.373411314812732,98.45696226064324,47.48330040455358,626397.0,448514.0,448514.0,1.89626,0.0103788,18.09780515979977,0.0,0.9108910891089108,50.77416918429003,1.57681,0.510975,0.5109845995903618,99.64335248662572,23.49397590361446,27.18035563082134,0.43277824818891714
bc.twitter-2320B,gap,bc,100000003.0,0.5912,0.5891,-0.3552097428958012,6969052.0,79116.0,1.1352476635272633,1905458.0,1898108.0,19.05457942836262,18.98107943056762,7350.0,0.3857340334974584,207857.0,198127.0,1.25934,4.6811,158238.0,28391.0,10702.0,7369.0,189.0,1418.0,10891.0,9865.0,9865.0,282.0,9583.0,0.0,2189.0,6935.0,20567.0,7369.0,3522.0,189.0,384.0,8353.0,2.078569937642902,0.1089099967327001,0.09864999704050009,0.0028199999154000024,0.07368999778930006,95.31889712638979,76.12829974453591,5.239659958529181,4.7460513718566135,3.545225804278903,17.941960843792263,90.57937746763383,35.82924101716342,207857.0,198127.0,198127.0,2.58929,0.014854700000000002,22.842533653344464,0.0,2.5647984801194195,70.29903699949315,4.65691,0.386727,0.3867311690942545,99.74216311575519,10.90289608177172,40.61360431759615,0.9189478290465309
bc.twitter-309B,gap,bc,100000000.0,0.2008,0.202,0.5976095617529875,9976630.0,353554.0,3.543821911807895,4271722.0,4231375.0,42.71722,42.31375,40347.0,0.9445137113323386,4051452.0,2296678.0,45.6417,43.312200000000004,1998603.0,104826.0,47133.0,40300.0,932.0,3672.0,48065.0,41806.0,41806.0,1294.0,40512.0,0.0,1385.0,5230.0,88939.0,40034.0,6730.0,932.0,371.0,8902.0,40.51452,0.48065,0.41806,0.01294,0.40034,56.687775148267825,49.33053631142613,1.1863647897099607,1.0318769665788956,0.9881395608290557,5.244963607079545,86.97805055653802,45.01287399228685,4051452.0,2296678.0,2296678.0,2.69219,0.0305717,3.4187401263823065,0.0,2.3126550868486353,12.510166004879682,2.0031,0.9372550000000001,0.9371864554856332,100.7818354398761,5.512630014858841,10.009107365722574,1.047909241165293
bc.twitter-876B,gap,bc,100000002.0,0.1789,0.179,0.05589714924538747,10518362.0,84811.0,0.8063137587392408,6642049.0,6637133.0,66.42048867159022,66.37132867257343,4916.0,0.07401330523156333,1852898.0,577360.0,47.6247,68.8402,462743.0,143787.0,113169.0,7594.0,106.0,11973.0,113275.0,108960.0,108960.0,2401.0,106559.0,0.0,71193.0,74209.0,222129.0,7573.0,105348.0,105.0,7258.0,86182.0,18.52897962942041,1.1327499773450005,1.0895999782080004,0.02400999951980001,0.07572999848540003,31.15983718477758,24.97401368019179,6.11339642009436,5.88051797778399,0.4087111109192195,31.072755287492193,96.19068638269698,3.4092801930409804,1852898.0,577360.0,577360.0,2.11962,0.0361622,66.81087472667724,0.0,1.3958388201211482,68.10664464023495,1.6365500000000002,0.11397,0.1140160212609091,64.91482899775518,6.889547025097771,38.79817583476268,0.04726982969355645
bc.urand-3004B,gap,bc,100000002.0,0.3283,0.3284,0.03045994517212325,1849641.0,2625.0,0.14191943193300754,1081555.0,1081301.0,10.815549783689004,10.813009783739805,254.0,0.023484704892492752,203746.0,192912.0,3.4091799999999997,5.317410000000001,169669.0,284.0,268.0,260.0,0.0,80.0,268.0,260.0,260.0,5.0,255.0,0.0,16.0,119.0,528.0,248.0,20.0,0.0,0.0,199.0,2.0374599592508007,0.002679999946400001,0.002599999948000001,4.999999900000002e-05,0.002479999950400001,94.68259499572997,83.27476367634212,0.13153632463950213,0.1276098671875767,0.12172018100968854,0.1673847314477011,97.01492537313433,46.96969696969697,203746.0,192912.0,192912.0,1.8656699999999997,0.000462404,6.2745098039215685,0.0,0.0,45.76923076923077,0.146167,0.022930100000000002,0.02292994808400867,102.41935483870968,0.0,37.68939393939394,0.0
bfs.kron-128B,gap,bfs,100000002.0,0.5006,0.5139,2.6568118258090356,48128395.0,531648.0,1.1046451891861342,109597.0,84511.0,1.0959699780806005,0.8451099830978004,25086.0,22.889312663667802,24390068.0,3128685.0,71.7367,87.1723,1806649.0,103185.0,25063.0,25084.0,28.0,524.0,25091.0,25085.0,25085.0,22.0,25063.0,0.0,0.0,5265.0,50148.0,25084.0,7.0,28.0,0.0,5789.0,243.9006751219865,0.2509099949818001,0.2508499949830001,0.00021999999560000009,0.2508399949832001,12.827701013379707,7.407314321550887,0.10287384192614797,0.10284924174873149,0.10284514171916208,5.711402712978559,99.97608704316289,50.01994097471485,24390068.0,3128685.0,3128685.0,0.0876808,0.0260253,0.0,0.0,0.1116249402009249,20.98863862866255,1.38843,22.8879,22.8874877961988,100.00797321001436,0.0,11.543830262423228,0.05583472920156338
bfs.kron-542B,gap,bfs,100000001.0,0.2,0.2017,0.8499999999999952,55191787.0,559674.0,1.014053051045439,1757399.0,1727322.0,17.573989824260103,17.273219827267802,30077.0,1.7114497049332564,41719343.0,4173292.0,80.2025,89.99669999999999,2382604.0,98099.0,41255.0,31391.0,449.0,27782.0,41704.0,35965.0,35965.0,4956.0,31009.0,0.0,1898.0,31066.0,77220.0,31273.0,10239.0,449.0,5448.0,58848.0,417.19342582806576,0.41703999582960005,0.35964999640350004,0.04955999950440001,0.31272999687270003,10.00325436572671,5.711029533710539,0.09996322329428821,0.08620701433385468,0.07496043262234499,4.117301910011063,86.23873009783235,40.4985754985755,41719343.0,4173292.0,4173292.0,11.8838,0.28609,6.120803637653585,0.0,1.4303462775954892,86.37842346725984,1.31256,1.7782499999999999,1.7795048250283516,96.17561474754581,53.20832112510987,76.20823620823622,0.5814555814555814
