level,dataset,workload,label,aggregation,num_traces,stlb_accuracy_pct,stlb_accuracy_pct_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,9.14104,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,12.864711499999999,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.01555236666666667,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,10.6773,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,10.726700000000001,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,5.075539666666667,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,15.623500000000002,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,4.83519,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,2.1282200000000002,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.430326,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,3.2073504,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,20.74275,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,11.538476666666668,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,9.41694,1
workload,gap,bc,bc,trace_equal_amean,11,8.585074454545454,11
workload,gap,bfs,bfs,trace_equal_amean,18,5.488403488888889,18
workload,gap,cc,cc,trace_equal_amean,18,8.557025055555558,18
workload,gap,pr,pr,trace_equal_amean,8,12.1910975,8
workload,gap,sssp,sssp,trace_equal_amean,10,3.2134907999999998,10
workload,gap,tc,tc,trace_equal_amean,6,1.6478096666666666,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,6.07646,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,6.0936200000000005,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,2.2713400000000004,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,14.028199999999998,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,12.124600000000001,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,7.16502,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,11.673263333333333,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,1.0719036666666666,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,20.961366666666667,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,17.22174,3
workload,qmm,qmm_int,int,trace_equal_amean,8,6.216131624999999,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,6.451755814736842,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,32.75259666666667,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,12.794714999999998,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,3.6859225,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,23.6998,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,12.600565000000001,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,3.55184,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,23.896,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,9.048596666666667,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,6.805645714285715,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,27.6684,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,14.710575000000002,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,13.127410000000003,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,27.5457,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,7.335250711764706,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,8.498745666666666,12
benchmark,gap,,amean_gap,trace_equal_amean,71,6.8563954760563375,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,9.925256066666666,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,7.4659211160000005,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,32.75259666666667,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,11.26731,28
all,all,,amean_all,trace_equal_amean,179,8.929301806592179,179
