level,dataset,workload,label,aggregation,num_traces,stlb_coverage_pct_logged,stlb_coverage_pct_logged_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,1.70417,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,0.341559225,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,9.539833333333332,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,0.174906,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,8.290519999999999,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,66.36525999999999,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,9.2966,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,12.590573999999998,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,0.0235268,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,2.62598,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,8.295506400000003,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,1.2063495,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,1.0646820000000001,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,89.4738,1
workload,gap,bc,bc,trace_equal_amean,11,0.06885309945454544,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.4883553500000001,18
workload,gap,cc,cc,trace_equal_amean,18,0.5443822223333333,18
workload,gap,pr,pr,trace_equal_amean,8,0.029274137500000002,8
workload,gap,sssp,sssp,trace_equal_amean,10,0.044689531,10
workload,gap,tc,tc,trace_equal_amean,6,0.04803001166666666,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,3.58466,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,2.7662,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,0.10704899999999999,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,1.08065,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,2.5186699999999997,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,5.09595,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,0.4980916666666666,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,0.1812843333333333,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,2.8351256666666664,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,17.043876666666666,3
workload,qmm,qmm_int,int,trace_equal_amean,8,7.270492237499999,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,0.0024380941052631576,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,0.1853851015,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,1.26866305,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0038952025,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,2.54717,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.44565689999999997,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.00370653,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,2.5398,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.69216176,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.3017956171428572,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.25645799999999996,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.13153834,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.09085971333333333,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.257479,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,16.103081629411765,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,11.598671416666667,12
benchmark,gap,,amean_gap,trace_equal_amean,71,0.28613984332394365,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,1.7131122666666665,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,3.6447297229333335,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,0.1853851015,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.49191230928571433,28
all,all,,amean_all,trace_equal_amean,179,3.257970975044693,179
