level,dataset,workload,label,aggregation,num_traces,stlb_too_early_among_useless_pct,stlb_too_early_among_useless_pct_n,stlb_cross_too_early,stlb_cross_too_early_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,14.64041095890411,1,3762.0,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,29.39215353410148,4,128.25,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.009150873711716547,3,18.666666666666668,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,8.840052875082618,1,535.0,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,15.81738768718802,1,4563.0,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,0.24955662166940687,3,110.0,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,16.244028560176705,1,18974.0,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,32.80457474056472,2,35481.0,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,34.67625899280576,1,1205.0,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.005752888772004799,1,7.0,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,15.724361878699943,5,639.0,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,47.806096071169264,2,5954.0,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,9.322926864844169,3,249.33333333333334,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,0.015533193759708247,1,46.0,1
workload,gap,bc,bc,trace_equal_amean,11,15.099712547439468,11,6974.909090909091,11
workload,gap,bfs,bfs,trace_equal_amean,18,3.180204326227126,18,345.8888888888889,18
workload,gap,cc,cc,trace_equal_amean,18,15.799924295471031,18,2603.6111111111113,18
workload,gap,pr,pr,trace_equal_amean,8,14.27123373436461,8,5819.0,8
workload,gap,sssp,sssp,trace_equal_amean,10,15.595626127376443,10,5885.2,10
workload,gap,tc,tc,trace_equal_amean,6,14.565706029605565,6,2768.5,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,1.0740065439468491,1,430.0,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,6.939295644114921,1,1797.0,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,1.3558214562829256,1,332.0,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,14.799910574558462,1,1324.0,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,18.876586551444774,1,2097.0,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,6.275104882620726,1,703.0,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,45.7010596884503,3,20144.333333333332,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,1.647588657956578,3,184.66666666666666,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,14.642748241660072,3,2626.3333333333335,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,14.140509090837888,3,5545.0,3
workload,qmm,qmm_int,int,trace_equal_amean,8,21.449926568945408,8,4465.75,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,18.819428172482947,14,15.68421052631579,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,70.76933437580722,6,260.0,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,38.990938228156516,2,349.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,22.479892321863254,4,379.75,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,8.190394511149227,1,191.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,44.186094680761805,2,484.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,24.217365623154162,1,410.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,9.56484274019819,1,222.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,47.3354664743262,3,430.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,21.424298830639657,7,350.7142857142857,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,34.98039215686274,1,892.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,51.20168368534914,2,700.5,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,28.62551983985325,3,530.0,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,34.280155642023345,1,881.0,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,16.127766186931524,17,5935.294117647059,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,16.85200568440854,12,1325.3333333333333,12
benchmark,gap,,amean_gap,trace_equal_amean,71,12.186753810404447,71,3546.9014084507044,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,15.686327694477963,15,5036.6,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,19.09971736955353,25,1755.3,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,70.76933437580722,6,260.0,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,30.277257282371128,28,447.0357142857143,28
all,all,,amean_all,trace_equal_amean,179,19.11967053877412,174,2854.2960893854747,179
