level,dataset,workload,label,aggregation,num_traces,stlb_pollution_candidate_among_cross_fill_pct,stlb_pollution_candidate_among_cross_fill_pct_n,stlb_cross_pollution_evict,stlb_cross_pollution_evict_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,44.128043341812294,1,13358.0,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,63.93287453131144,4,1167.0,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.00932003203528114,3,19.0,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,80.57845831697422,1,6157.0,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,23.762265522350507,1,8500.0,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,15.538718900869954,3,8860.666666666666,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,27.636476226721797,1,42844.0,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,55.44963628429629,2,68382.0,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,90.77615298087738,1,3228.0,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.10308181914867506,1,126.0,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,47.25479153125063,5,6747.0,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,66.43230566427836,2,11771.5,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,78.16763597793668,3,3757.0,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,0.21584537947588084,1,723.0,1
workload,gap,bc,bc,trace_equal_amean,11,66.41166788513739,11,9897.272727272728,11
workload,gap,bfs,bfs,trace_equal_amean,18,71.12115462601663,18,22982.11111111111,18
workload,gap,cc,cc,trace_equal_amean,18,56.16386931200321,18,21283.555555555555,18
workload,gap,pr,pr,trace_equal_amean,8,96.28186907009615,8,26095.25,8
workload,gap,sssp,sssp,trace_equal_amean,10,79.24613170309826,10,18660.1,10
workload,gap,tc,tc,trace_equal_amean,6,38.35217688758977,6,4523.0,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,15.746521688296506,1,6734.0,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,11.782918149466193,1,3311.0,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,95.57740535806695,1,24010.0,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,35.21191930409032,1,3805.0,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,87.04461942257218,1,16582.0,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,61.655823593758996,1,10709.0,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,67.06166037694022,3,41619.333333333336,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,48.28254971784864,3,6315.333333333333,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,77.60023220593187,3,17422.333333333332,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,30.22868909207644,3,18712.0,3
workload,qmm,qmm_int,int,trace_equal_amean,8,40.24084745557782,8,10034.75,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,94.52711655170872,14,52.421052631578945,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,95.07770532810372,6,833.1666666666666,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,35.309118486132235,2,1080.5,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,81.19119253991632,4,1488.75,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,39.3214796648273,1,1924.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,43.4167631684105,2,1487.5,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,82.12137780207763,1,1502.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,39.54871794871795,1,1928.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,28.64139757618753,3,856.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,70.98308709572075,7,1398.7142857142858,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,56.272401433691755,1,2669.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,39.393594593996625,2,1431.0,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,69.84381790250708,3,1711.0,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,55.93042749371333,1,2669.0,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,40.00919316948766,17,14244.588235294117,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,50.33003367643706,12,5783.166666666667,12
benchmark,gap,,amean_gap,trace_equal_amean,71,67.80969166955153,71,18706.38028169014,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,59.05683562789423,15,17414.8,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,69.43969914579095,25,4580.333333333333,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,95.07770532810372,6,833.1666666666666,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,58.090549396639325,28,1504.892857142857,28
all,all,,amean_all,trace_equal_amean,179,62.74397370502531,174,11650.709497206704,179
