level,dataset,workload,label,aggregation,num_traces,dtlb_late_among_useful_pct,dtlb_late_among_useful_pct_n,dtlb_cross_late,dtlb_cross_late_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,11.475409836065573,1,4060.0,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,0.10198927507319011,4,26.75,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.7435230076499452,3,948.6666666666666,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,5.266757865937072,1,77.0,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,2.76582410695634,1,1324.0,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,0.0912851962994193,3,152.66666666666666,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,0.18343646251824677,1,142.0,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,4.852864135404701,2,4132.5,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,3.3735795454545454,1,95.0,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.016255170047139993,1,18.0,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,0.31524800446245566,5,287.4,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,0.3159754961382223,2,13.5,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,2.9990334604570705,3,537.3333333333334,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,1.0569347959696793,1,3405.0,1
workload,gap,bc,bc,trace_equal_amean,11,0.7383562406087172,11,119.9090909090909,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.6633768390556896,18,223.66666666666666,18
workload,gap,cc,cc,trace_equal_amean,18,4.599590119189311,18,3597.0,18
workload,gap,pr,pr,trace_equal_amean,8,1.0617604162401744,8,262.5,8
workload,gap,sssp,sssp,trace_equal_amean,10,2.1871265011817225,10,349.7,10
workload,gap,tc,tc,trace_equal_amean,6,11.297799137325773,6,512.3333333333334,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,14.75748439020916,1,6216.0,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,5.563600848684875,1,1652.0,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,1.8740629685157422,1,475.0,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,3.068252974326863,1,196.0,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,1.2439233628824706,1,174.0,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,0.8576075706047612,1,116.0,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,3.471861493609662,3,1127.0,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,9.867055644499695,3,3503.3333333333335,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,1.0412638047598943,3,197.33333333333334,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,1.9870537470329446,3,1250.3333333333333,3
workload,qmm,qmm_int,int,trace_equal_amean,8,9.024221793636329,8,4282.875,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,31.049979080211628,9,754.1052631578947,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,14.301971720973143,6,47.166666666666664,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.37521647104098516,2,39.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0,4,0.0,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.7517328907546617,1,77.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.6519498819201476,2,62.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.11961722488038277,1,1.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.4984849965790245,1,51.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.3922284046337681,3,43.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.1159509373864938,7,11.857142857142858,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,2.2141182599635325,1,170.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,1.2674599068804966,2,98.0,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.7649845699135046,3,58.666666666666664,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,2.39513205592957,1,185.0,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,2.0990069294048257,17,1022.0,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,1.0232067801647295,12,541.5833333333334,12
benchmark,gap,,amean_gap,trace_equal_amean,71,2.831091085363368,71,1109.3239436619717,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,4.700364996255441,15,1554.1333333333334,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,17.880237365604707,20,1744.7333333333333,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,14.301971720973143,6,47.166666666666664,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.530415479754918,28,45.357142857142854,28
all,all,,amean_all,trace_equal_amean,179,4.602028119748877,169,1004.7039106145252,179
