outcome,predictor,spearman_rho,p_value,n
demand_miss_reduction_pct,discard_stlb_data_demand_mpki,-0.6640321583178725,6.786252758314815e-14,99
demand_miss_reduction_pct,cross_requested_mpki,0.797464440321583,5.2430505297605475e-23,99
demand_miss_reduction_pct,cross_pq_drop_rate_pct,0.682634508348794,7.153272524266176e-15,99
demand_miss_reduction_pct,reach_stlb_pct_of_requested,-0.5116635745207173,6.212908982346376e-08,99
demand_miss_reduction_pct,trigger_page_walk_pct_of_requested,-0.3187631416202845,0.0013012986533487828,99
demand_miss_reduction_pct,useful_pct_of_requested,0.22158317872603586,0.02751016240506217,99
demand_miss_reduction_pct,combined_fill_productivity_pct,0.7489053803339517,4.964980787008649e-19,99
demand_miss_reduction_pct,useful_vs_discard_miss_pct,0.9899567099567099,3.137845205105578e-84,99
demand_miss_reduction_pct,too_early_among_useless_pct,0.38028918109502713,0.00010329986432469729,99
demand_miss_reduction_pct,combined_local_pollution_candidates_per_fill_pct,-0.10419294990723561,0.3047327589108209,99
translation_only_vs_discard_ipc_pct,discard_stlb_data_demand_mpki,-0.38626122703378074,7.853088528747439e-05,99
translation_only_vs_discard_ipc_pct,cross_requested_mpki,0.4986827585010144,1.4948911262975574e-07,99
translation_only_vs_discard_ipc_pct,cross_pq_drop_rate_pct,0.4892105304956471,2.7736774030127666e-07,99
translation_only_vs_discard_ipc_pct,reach_stlb_pct_of_requested,-0.18103788031448556,0.07292876503684968,99
translation_only_vs_discard_ipc_pct,trigger_page_walk_pct_of_requested,0.007229620720904926,0.9433809142794495,99
translation_only_vs_discard_ipc_pct,useful_pct_of_requested,0.32861011269895535,0.0008974934608491364,99
translation_only_vs_discard_ipc_pct,combined_fill_productivity_pct,0.6749690371934485,1.8438845957276228e-14,99
translation_only_vs_discard_ipc_pct,useful_vs_discard_miss_pct,0.7472466592592564,6.539523109903283e-19,99
translation_only_vs_discard_ipc_pct,too_early_among_useless_pct,0.11487619123968333,0.25753345074806394,99
translation_only_vs_discard_ipc_pct,combined_local_pollution_candidates_per_fill_pct,-0.2831942176647188,0.004506384892900797,99
