level,dataset,workload,label,aggregation,num_traces,stlb_accuracy_pct,stlb_accuracy_pct_n
workload,gap,bc,bc,trace_equal_amean,11,8.585074454545454,11
workload,gap,bfs,bfs,trace_equal_amean,18,5.488403488888889,18
workload,gap,cc,cc,trace_equal_amean,18,8.557025055555558,18
workload,gap,pr,pr,trace_equal_amean,8,12.1910975,8
workload,gap,sssp,sssp,trace_equal_amean,10,3.2134907999999998,10
workload,gap,tc,tc,trace_equal_amean,6,1.6478096666666666,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,12.794714999999998,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,3.6859225,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,23.6998,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,12.600565000000001,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,3.55184,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,23.896,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,9.048596666666667,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,6.805645714285715,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,27.6684,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,14.710575000000002,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,13.127410000000003,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,27.5457,1
benchmark,gap,,amean_gap,trace_equal_amean,71,6.8563954760563375,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,11.26731,28
all,all,,amean_all,trace_equal_amean,99,8.103926856565657,99
