level,dataset,workload,label,aggregation,num_traces,stlb_pollution_candidate_among_cross_fill_pct,stlb_pollution_candidate_among_cross_fill_pct_n,stlb_cross_pollution_evict,stlb_cross_pollution_evict_n
workload,gap,bc,bc,trace_equal_amean,11,66.41166788513739,11,9897.272727272728,11
workload,gap,bfs,bfs,trace_equal_amean,18,71.12115462601663,18,22982.11111111111,18
workload,gap,cc,cc,trace_equal_amean,18,56.16386931200321,18,21283.555555555555,18
workload,gap,pr,pr,trace_equal_amean,8,96.28186907009615,8,26095.25,8
workload,gap,sssp,sssp,trace_equal_amean,10,79.24613170309826,10,18660.1,10
workload,gap,tc,tc,trace_equal_amean,6,38.35217688758977,6,4523.0,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,35.309118486132235,2,1080.5,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,81.19119253991632,4,1488.75,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,39.3214796648273,1,1924.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,43.4167631684105,2,1487.5,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,82.12137780207763,1,1502.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,39.54871794871795,1,1928.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,28.64139757618753,3,856.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,70.98308709572075,7,1398.7142857142858,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,56.272401433691755,1,2669.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,39.393594593996625,2,1431.0,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,69.84381790250708,3,1711.0,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,55.93042749371333,1,2669.0,1
benchmark,gap,,amean_gap,trace_equal_amean,71,67.80969166955153,71,18706.38028169014,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,58.090549396639325,28,1504.892857142857,28
all,all,,amean_all,trace_equal_amean,99,65.06084334994,99,13841.31313131313,99
