level,dataset,workload,label,aggregation,num_traces,vberti_end_to_end_accuracy_pct,vberti_end_to_end_accuracy_pct_n
workload,gap,bc,bc,trace_equal_amean,11,0.7605641194252795,11
workload,gap,bfs,bfs,trace_equal_amean,18,1.6911417710069732,18
workload,gap,cc,cc,trace_equal_amean,18,3.458995041714588,18
workload,gap,pr,pr,trace_equal_amean,8,1.2461435460147179,8
workload,gap,sssp,sssp,trace_equal_amean,10,1.4087210517478046,10
workload,gap,tc,tc,trace_equal_amean,6,1.8130197859561819,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.7996119788156366,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.012052855340773867,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.584112679987131,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.8341367128188046,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.012412973978595088,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.5927326896839203,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.9082284500268342,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.09565571558883094,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.7547322445829151,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.9121564327712759,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.2609623052556126,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.7630013315568037,1
benchmark,gap,,amean_gap,trace_equal_amean,71,1.9155372611830854,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.4294348523190376,28
all,all,,amean_all,trace_equal_amean,99,1.4952254687770918,99
