level,dataset,workload,label,aggregation,num_traces,dtlb_late_among_useful_pct,dtlb_late_among_useful_pct_n,dtlb_cross_late,dtlb_cross_late_n
workload,gap,bc,bc,trace_equal_amean,11,0.7383562406087172,11,119.9090909090909,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.6633768390556896,18,223.66666666666666,18
workload,gap,cc,cc,trace_equal_amean,18,4.599590119189311,18,3597.0,18
workload,gap,pr,pr,trace_equal_amean,8,1.0617604162401744,8,262.5,8
workload,gap,sssp,sssp,trace_equal_amean,10,2.1871265011817225,10,349.7,10
workload,gap,tc,tc,trace_equal_amean,6,11.297799137325773,6,512.3333333333334,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.37521647104098516,2,39.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0,4,0.0,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.7517328907546617,1,77.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.6519498819201476,2,62.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.11961722488038277,1,1.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.4984849965790245,1,51.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.3922284046337681,3,43.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.1159509373864938,7,11.857142857142858,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,2.2141182599635325,1,170.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,1.2674599068804966,2,98.0,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.7649845699135046,3,58.666666666666664,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,2.39513205592957,1,185.0,1
benchmark,gap,,amean_gap,trace_equal_amean,71,2.831091085363368,71,1109.3239436619717,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.530415479754918,28,45.357142857142854,28
all,all,,amean_all,trace_equal_amean,99,2.1803949544842105,99,808.4040404040404,99
