Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,,,,"=IFERROR((B2-C2)/C2,"""")","=IFERROR((B2-D2)/D2,"""")"
Core_0_L1D_demand_MPKI,,,,"=IFERROR((B3-C3)/C3,"""")","=IFERROR((B3-D3)/D3,"""")"
Core_0_L2C_demand_MPKI,,,,"=IFERROR((B4-C4)/C4,"""")","=IFERROR((B4-D4)/D4,"""")"
Core_0_LLC_demand_MPKI,,,,"=IFERROR((B5-C5)/C5,"""")","=IFERROR((B5-D5)/D5,"""")"
Core_0_L1D_prefetch_requested,,,,"=IFERROR((B6-C6)/C6,"""")","=IFERROR((B6-D6)/D6,"""")"
Core_0_L1D_prefetch_issued,,,,"=IFERROR((B7-C7)/C7,"""")","=IFERROR((B7-D7)/D7,"""")"
Core_0_L1D_prefetch_useful,,,,"=IFERROR((B8-C8)/C8,"""")","=IFERROR((B8-D8)/D8,"""")"
Core_0_L1D_prefetch_useless,,,,"=IFERROR((B9-C9)/C9,"""")","=IFERROR((B9-D9)/D9,"""")"
Core_0_L1D_prefetch_late,,,,"=IFERROR((B10-C10)/C10,"""")","=IFERROR((B10-D10)/D10,"""")"
Core_0_L1D_prefetch_accuracy,,,,"=IFERROR((B11-C11)/C11,"""")","=IFERROR((B11-D11)/D11,"""")"
Core_0_L1D_prefetch_coverage,,,,"=IFERROR((B12-C12)/C12,"""")","=IFERROR((B12-D12)/D12,"""")"
Core_0_vBerti_Requested,,,,"=IFERROR((B13-C13)/C13,"""")","=IFERROR((B13-D13)/D13,"""")"
Core_0_vBerti_Cross_page_prefetch_in_Requested,,,,"=IFERROR((B14-C14)/C14,"""")","=IFERROR((B14-D14)/D14,"""")"
Core_0_vBerti_Same_page_prefetch_in_Requested,,,,"=IFERROR((B15-C15)/C15,"""")","=IFERROR((B15-D15)/D15,"""")"
Core_0_vBerti_Cross_page_prefetch_of_Requested,,,,"=IFERROR((B16-C16)/C16,"""")","=IFERROR((B16-D16)/D16,"""")"
Core_0_vBerti_Issued,,,,"=IFERROR((B17-C17)/C17,"""")","=IFERROR((B17-D17)/D17,"""")"
Core_0_vBerti_Cross_page_prefetch_of_Issued,,,,"=IFERROR((B18-C18)/C18,"""")","=IFERROR((B18-D18)/D18,"""")"
